ensembl_gene_id,hgnc_symbol,sample_control_1,sample_control_2,sample_control_3,sample_control_4,sample_control_5,sample_control_6,sample_control_7,sample_control_8,sample_control_9
ENSG00000072110,ACTN1,1583,2723,2461,1840,2657,2037,1858,2908,1663
ENSG00000069122,ADGRF5,264,544,830,245,424,605,275,477,533
ENSG00000153207,AHCTF1,382,532,725,362,739,723,423,553,641
ENSG00000072210,ALDH3A2,974,1493,1156,647,1617,1128,939,1809,1303
ENSG00000073331,ALPK1,6,21,41,9,40,37,19,36,22
ENSG00000132466,ANKRD17,899,1908,2353,883,2342,1499,1079,2691,1416
ENSG00000135046,ANXA1,125,135,173,87,200,220,100,313,214
ENSG00000042753,AP2S1,2692,2995,2448,2801,2387,2857,3920,3318,2353
ENSG00000137962,ARHGAP29,182,331,494,217,272,504,215,530,464
ENSG00000166233,ARIH1,653,1492,1754,780,1453,1217,828,1786,966
ENSG00000149311,ATM,141,522,551,239,554,344,169,460,298
ENSG00000017260,ATP2C1,1199,2709,2982,1427,2511,1750,1294,3164,1629
ENSG00000165629,ATP5C1,1950,3653,3006,2951,2501,3284,2169,3381,2545
ENSG00000124172,ATP5E,4308,3801,3005,3994,3101,4646,5696,4269,3907
ENSG00000175756,AURKAIP1,2524,2152,1764,2247,2132,2650,3088,2451,2398
ENSG00000214413,BBIP1,161,298,279,162,332,265,174,295,243
ENSG00000182492,BGN,664,486,486,542,492,1344,720,819,480
ENSG00000171634,BPTF,483,1022,1007,407,1437,923,772,1118,848
ENSG00000111801,BTN3A3,100,231,230,108,223,172,154,285,214
ENSG00000133935,C14orf1,788,850,737,805,646,952,808,1054,854
ENSG00000125462,C1orf61,7507,4297,4954,6105,3541,7299,6575,5527,13193
ENSG00000196821,C6orf106,3781,8620,7889,4628,6800,7546,6614,9163,5026
ENSG00000120860,CCDC53,497,645,535,572,429,611,528,629,662
ENSG00000125633,CCDC93,141,320,384,140,399,297,218,354,341
ENSG00000163468,CCT3,2777,3427,3466,2366,3326,3293,2823,4536,3255
ENSG00000130177,CDC16,571,1103,974,661,698,854,722,975,858
ENSG00000140937,CDH11,341,497,599,279,448,631,302,559,502
ENSG00000149187,CELF1,1892,2799,3628,1732,2507,2444,3002,2519,2404
ENSG00000099814,CEP170B,3800,6582,6047,4877,5713,6049,7800,8869,5840
ENSG00000005194,CIAPIN1,634,1364,1273,689,1097,1000,681,1386,665
ENSG00000171365,CLCN5,62,182,198,68,130,203,71,225,91
ENSG00000074201,CLNS1A,929,1392,1229,1018,1116,1417,954,1555,1355
ENSG00000183978,COA3,1527,1651,1288,1368,1269,1480,1960,1534,1458
ENSG00000187498,COL4A1,39,86,104,55,89,202,51,252,67
ENSG00000181789,COPG1,2269,3633,3405,2709,2441,3550,2855,4648,2637
ENSG00000182158,CREB3L2,119,246,221,84,275,300,209,371,248
ENSG00000143162,CREG1,359,885,872,364,954,604,341,910,705
ENSG00000159176,CSRP1,17056,8308,7563,9047,11249,19882,17635,17950,22536
ENSG00000101439,CST3,36630,12565,14748,25655,15695,25243,27406,32118,50834
ENSG00000175215,CTDSP2,1487,1414,1634,833,1961,2255,1694,1831,2496
ENSG00000168036,CTNNB1,2326,4878,6383,2384,4407,4124,2592,5036,4123
ENSG00000197021,CXorf40B,201,464,499,230,330,296,269,545,275
ENSG00000138061,CYP1B1,77,184,239,139,117,124,152,318,174
ENSG00000011465,DCN,463,477,603,323,311,738,312,778,519
ENSG00000108654,DDX5,1746,5052,4715,2529,5607,3406,2107,5635,3025
ENSG00000119689,DLST,1046,1654,1628,1000,1397,1394,1372,1900,1352
ENSG00000198947,DMD,505,787,1001,497,1021,653,465,1261,816
ENSG00000151914,DST,2464,5977,5770,2553,9408,4915,3015,8113,5232
ENSG00000125977,EIF2S2,618,1494,1309,704,1149,1118,761,1534,1093
ENSG00000087502,ERGIC2,362,843,861,400,703,563,339,752,489
ENSG00000100632,ERH,1551,1588,1302,1516,1211,1924,1989,1901,1616
ENSG00000048828,FAM120A,688,1451,1513,820,1427,1231,836,1573,1444
ENSG00000135842,FAM129A,25,30,46,21,47,34,31,40,45
ENSG00000152102,FAM168B,3881,8651,9043,4600,8724,6143,6515,9584,5459
ENSG00000166147,FBN1,96,183,196,85,276,162,114,150,133
ENSG00000109670,FBXW7,3069,5336,6363,3231,4588,4123,3318,5464,3130
ENSG00000146729,GBAS,1001,1606,1686,1600,1098,2022,1279,2091,1606
ENSG00000105373,GLTSCR2,2893,1883,1775,2112,2137,2645,2842,2735,2943
ENSG00000144366,GULP1,116,266,379,149,207,183,132,270,119
ENSG00000244734,HBB,1801,313,1758,728,5088,590,6947,8713,20448
ENSG00000111727,HCFC2,102,228,291,75,301,220,84,302,189
ENSG00000103415,HMOX2,1810,2966,2188,2149,2550,2482,2339,3255,1896
ENSG00000096746,HNRNPH3,1554,2280,1866,1408,2197,2088,1908,2713,1637
ENSG00000105323,HNRNPUL1,2813,2524,2345,2176,2582,3413,3230,3622,3633
ENSG00000096384,HSP90AB1,20702,39992,41474,23706,28997,28323,28075,50348,20336
ENSG00000115738,ID2,1515,2414,2288,2008,2467,3123,1699,2985,1996
ENSG00000115594,IL1R1,83,25,41,64,117,204,31,130,141
ENSG00000091409,ITGA6,301,481,607,267,440,903,472,640,1061
ENSG00000101384,JAG1,182,284,235,141,226,410,242,335,254
ENSG00000136504,KAT7,826,1386,1636,729,1235,1073,1184,1554,948
ENSG00000178695,KCTD12,723,1271,1531,867,1458,1474,1043,1799,1131
ENSG00000147050,KDM6A,152,188,364,120,305,173,117,264,181
ENSG00000126214,KLC1,3534,3505,3066,3710,3168,3350,4564,3766,2723
ENSG00000025800,KPNA6,690,1950,2368,786,2064,1333,1258,2510,1066
ENSG00000102897,LYRM1,529,894,688,594,577,728,633,823,645
ENSG00000112893,MAN2A1,325,482,470,191,740,478,256,573,374
ENSG00000139793,MBNL2,2445,3793,3909,2175,5191,3003,2432,5333,2692
ENSG00000197771,MCMBP,368,439,494,339,506,471,401,525,584
ENSG00000106484,MEST,282,450,395,243,363,331,406,361,274
ENSG00000071073,MGAT4A,442,1091,1372,611,1079,755,776,875,673
ENSG00000119684,MLH3,176,375,333,144,419,292,201,333,266
ENSG00000061987,MON2,378,871,1002,419,1065,691,473,1119,583
ENSG00000051825,MPHOSPH9,84,192,166,76,216,132,141,145,138
ENSG00000166902,MRPL16,560,898,678,663,765,833,570,720,818
ENSG00000239789,MRPS17,355,400,371,382,337,413,453,455,373
ENSG00000119950,MXI1,2299,2037,1712,1791,2680,2936,2554,3061,2991
ENSG00000172936,MYD88,74,52,71,49,75,164,79,89,103
ENSG00000196531,NACA,4849,6258,5330,4906,4774,6991,6115,8107,5401
ENSG00000151366,NDUFC2,1395,2150,1775,1613,1332,1581,1965,2202,1582
ENSG00000168653,NDUFS5,6222,4777,3284,5378,3298,5676,8107,4879,4554
ENSG00000010322,NISCH,3410,5054,5805,2843,5289,4366,4880,8821,4625
