Gene1,Gene2,corRvec,Interaction
ACTN1,AHCTF1,0.5,Correlation
ACTN1,ALDH3A2,0.535714286,Correlation
AHCTF1,ALDH3A2,0.428571429,Correlation
ACTN1,ALPK1,0.540562478,Correlation
AHCTF1,ALPK1,0.48650623,Correlation
ALDH3A2,ALPK1,0.198206242,Correlation
ACTN1,ANKRD17,0.392857143,Correlation
AHCTF1,ANKRD17,0.964285714,Correlation
ALDH3A2,ANKRD17,0.535714286,Correlation
ALPK1,ANKRD17,0.450468731,Correlation
ACTN1,ANXA1,0.035714286,Correlation
AHCTF1,ANXA1,0.321428571,Correlation
ALDH3A2,ANXA1,0.464285714,Correlation
ALPK1,ANXA1,0.23424374,Correlation
ANKRD17,ANXA1,0.357142857,Correlation
ACTN1,AP2S1,0.607142857,Correlation
AHCTF1,AP2S1,0.285714286,Correlation
ALDH3A2,AP2S1,0.357142857,Correlation
ALPK1,AP2S1,-0.198206242,Correlation
ANKRD17,AP2S1,0.214285714,Correlation
ANXA1,AP2S1,-0.035714286,Correlation
ACTN1,ARHGAP29,-0.071428571,Correlation
AHCTF1,ARHGAP29,0.035714286,Correlation
ALDH3A2,ARHGAP29,0.321428571,Correlation
ALPK1,ARHGAP29,-0.126131245,Correlation
ANKRD17,ARHGAP29,0.071428571,Correlation
ANXA1,ARHGAP29,0.857142857,Correlation
AP2S1,ARHGAP29,0.25,Correlation
ACTN1,ARIH1,0.75,Correlation
AHCTF1,ARIH1,0.785714286,Correlation
ALDH3A2,ARIH1,0.571428571,Correlation
ALPK1,ARIH1,0.23424374,Correlation
ANKRD17,ARIH1,0.75,Correlation
ANXA1,ARIH1,-0.035714286,Correlation
AP2S1,ARIH1,0.714285714,Correlation
ARHGAP29,ARIH1,-0.107142857,Correlation
ACTN1,ATM,0.607142857,Correlation
AHCTF1,ATM,0.892857143,Correlation
ALDH3A2,ATM,0.428571429,Correlation
ALPK1,ATM,0.540562478,Correlation
ANKRD17,ATM,0.785714286,Correlation
ANXA1,ATM,0.5,Correlation
AP2S1,ATM,0.25,Correlation
ARHGAP29,ATM,0.178571429,Correlation
ARIH1,ATM,0.642857143,Correlation
ACTN1,ATP2C1,0.428571429,Correlation
AHCTF1,ATP2C1,0.928571429,Correlation
ALDH3A2,ATP2C1,0.464285714,Correlation
ALPK1,ATP2C1,0.648674973,Correlation
ANKRD17,ATP2C1,0.964285714,Correlation
ANXA1,ATP2C1,0.321428571,Correlation
AP2S1,ATP2C1,0.107142857,Correlation
ARHGAP29,ATP2C1,0,Correlation
ARIH1,ATP2C1,0.678571429,Correlation
ATM,ATP2C1,0.75,Correlation
ACTN1,ATP5C1,0.892857143,Correlation
AHCTF1,ATP5C1,0.607142857,Correlation
ALDH3A2,ATP5C1,0.535714286,Correlation
ALPK1,ATP5C1,0.48650623,Correlation
ANKRD17,ATP5C1,0.571428571,Correlation
ANXA1,ATP5C1,-0.142857143,Correlation
AP2S1,ATP5C1,0.642857143,Correlation
ARHGAP29,ATP5C1,-0.214285714,Correlation
ARIH1,ATP5C1,0.892857143,Correlation
ATM,ATP5C1,0.5,Correlation
ATP2C1,ATP5C1,0.607142857,Correlation
ACTN1,ATP5E,0.714285714,Correlation
AHCTF1,ATP5E,0.678571429,Correlation
ALDH3A2,ATP5E,0.535714286,Correlation
ALPK1,ATP5E,0.594618725,Correlation
ANKRD17,ATP5E,0.714285714,Correlation
ANXA1,ATP5E,-0.071428571,Correlation
AP2S1,ATP5E,0.428571429,Correlation
ARHGAP29,ATP5E,-0.214285714,Correlation
ARIH1,ATP5E,0.821428571,Correlation
ATM,ATP5E,0.464285714,Correlation
ATP2C1,ATP5E,0.785714286,Correlation
ATP5C1,ATP5E,0.928571429,Correlation
ACTN1,AURKAIP1,0.535714286,Correlation
AHCTF1,AURKAIP1,0.107142857,Correlation
ALDH3A2,AURKAIP1,0.25,Correlation
ALPK1,AURKAIP1,-0.198206242,Correlation
ANKRD17,AURKAIP1,0.035714286,Correlation
ANXA1,AURKAIP1,0,Correlation
AP2S1,AURKAIP1,0.964285714,Correlation
ARHGAP29,AURKAIP1,0.357142857,Correlation
ARIH1,AURKAIP1,0.535714286,Correlation
ATM,AURKAIP1,0.107142857,Correlation
ATP2C1,AURKAIP1,-0.035714286,Correlation
ATP5C1,AURKAIP1,0.535714286,Correlation
ATP5E,AURKAIP1,0.321428571,Correlation
ACTN1,BBIP1,0.928571429,Correlation
AHCTF1,BBIP1,0.607142857,Correlation
ALDH3A2,BBIP1,0.535714286,Correlation
ALPK1,BBIP1,0.414431233,Correlation
ANKRD17,BBIP1,0.464285714,Correlation
ANXA1,BBIP1,0.214285714,Correlation
AP2S1,BBIP1,0.607142857,Correlation
ARHGAP29,BBIP1,0.071428571,Correlation
ARIH1,BBIP1,0.75,Correlation
ATM,BBIP1,0.785714286,Correlation
ATP2C1,BBIP1,0.428571429,Correlation
ATP5C1,BBIP1,0.75,Correlation
ATP5E,BBIP1,0.535714286,Correlation
AURKAIP1,BBIP1,0.5,Correlation
ACTN1,BGN,-0.25,Correlation
AHCTF1,BGN,-0.285714286,Correlation
ALDH3A2,BGN,-0.321428571,Correlation
ALPK1,BGN,0.25226249,Correlation
ANKRD17,BGN,-0.214285714,Correlation
ANXA1,BGN,0.107142857,Correlation
AP2S1,BGN,-0.142857143,Correlation
ARHGAP29,BGN,0.285714286,Correlation
ARIH1,BGN,-0.392857143,Correlation
ATM,BGN,-0.392857143,Correlation
ATP2C1,BGN,-0.035714286,Correlation
ATP5C1,BGN,-0.142857143,Correlation
ATP5E,BGN,0.035714286,Correlation
AURKAIP1,BGN,0.071428571,Correlation
BBIP1,BGN,-0.464285714,Correlation
ACTN1,BPTF,0.75,Correlation
AHCTF1,BPTF,0.857142857,Correlation
ALDH3A2,BPTF,0.392857143,Correlation
ALPK1,BPTF,0.504524979,Correlation
ANKRD17,BPTF,0.714285714,Correlation
ANXA1,BPTF,0.321428571,Correlation
AP2S1,BPTF,0.428571429,Correlation
ARHGAP29,BPTF,0.071428571,Correlation
ARIH1,BPTF,0.75,Correlation
ATM,BPTF,0.964285714,Correlation
ATP2C1,BPTF,0.678571429,Correlation
ATP5C1,BPTF,0.642857143,Correlation
ATP5E,BPTF,0.535714286,Correlation
AURKAIP1,BPTF,0.285714286,Correlation
BBIP1,BPTF,0.892857143,Correlation
BGN,BPTF,-0.428571429,Correlation
