Gene1,Gene2,corRvec,Interaction
ACTN1,ADGRF5,0.5,Correlation
ADGRF5,AHCTF1,0.5,Correlation
ADGRF5,ALDH3A2,0.5,Correlation
AHCTF1,ALDH3A2,1,Correlation
AHCTF1,ALPK1,0.5,Correlation
ALDH3A2,ALPK1,0.5,Correlation
ACTN1,ANKRD17,0.5,Correlation
ADGRF5,ANKRD17,1,Correlation
AHCTF1,ANKRD17,0.5,Correlation
ALDH3A2,ANKRD17,0.5,Correlation
ACTN1,ANXA1,1,Correlation
ADGRF5,ANXA1,0.5,Correlation
ANKRD17,ANXA1,0.5,Correlation
ACTN1,AP2S1,0.5,Correlation
ADGRF5,AP2S1,1,Correlation
AHCTF1,AP2S1,0.5,Correlation
ALDH3A2,AP2S1,0.5,Correlation
ANKRD17,AP2S1,1,Correlation
ANXA1,AP2S1,0.5,Correlation
ADGRF5,ARHGAP29,0.5,Correlation
AHCTF1,ARHGAP29,1,Correlation
ALDH3A2,ARHGAP29,1,Correlation
ALPK1,ARHGAP29,0.5,Correlation
ANKRD17,ARHGAP29,0.5,Correlation
AP2S1,ARHGAP29,0.5,Correlation
ACTN1,ARIH1,0.5,Correlation
ANXA1,ARIH1,0.5,Correlation
ADGRF5,ATM,0.5,Correlation
AHCTF1,ATM,1,Correlation
ALDH3A2,ATM,1,Correlation
ALPK1,ATM,0.5,Correlation
ANKRD17,ATM,0.5,Correlation
AP2S1,ATM,0.5,Correlation
ARHGAP29,ATM,1,Correlation
ACTN1,ATP2C1,0.5,Correlation
ADGRF5,ATP2C1,1,Correlation
AHCTF1,ATP2C1,0.5,Correlation
ALDH3A2,ATP2C1,0.5,Correlation
ANKRD17,ATP2C1,1,Correlation
ANXA1,ATP2C1,0.5,Correlation
AP2S1,ATP2C1,1,Correlation
ARHGAP29,ATP2C1,0.5,Correlation
ATM,ATP2C1,0.5,Correlation
ADGRF5,ATP5C1,0.5,Correlation
AHCTF1,ATP5C1,1,Correlation
ALDH3A2,ATP5C1,1,Correlation
ALPK1,ATP5C1,0.5,Correlation
ANKRD17,ATP5C1,0.5,Correlation
AP2S1,ATP5C1,0.5,Correlation
ARHGAP29,ATP5C1,1,Correlation
ATM,ATP5C1,1,Correlation
ATP2C1,ATP5C1,0.5,Correlation
ACTN1,ATP5E,0.5,Correlation
ADGRF5,ATP5E,1,Correlation
AHCTF1,ATP5E,0.5,Correlation
ALDH3A2,ATP5E,0.5,Correlation
ANKRD17,ATP5E,1,Correlation
ANXA1,ATP5E,0.5,Correlation
AP2S1,ATP5E,1,Correlation
ARHGAP29,ATP5E,0.5,Correlation
ATM,ATP5E,0.5,Correlation
ATP2C1,ATP5E,1,Correlation
ATP5C1,ATP5E,0.5,Correlation
ACTN1,AURKAIP1,1,Correlation
ADGRF5,AURKAIP1,0.5,Correlation
ANKRD17,AURKAIP1,0.5,Correlation
ANXA1,AURKAIP1,1,Correlation
AP2S1,AURKAIP1,0.5,Correlation
ARIH1,AURKAIP1,0.5,Correlation
ATP2C1,AURKAIP1,0.5,Correlation
ATP5E,AURKAIP1,0.5,Correlation
AHCTF1,BBIP1,0.5,Correlation
ALDH3A2,BBIP1,0.5,Correlation
ALPK1,BBIP1,1,Correlation
ARHGAP29,BBIP1,0.5,Correlation
ATM,BBIP1,0.5,Correlation
ATP5C1,BBIP1,0.5,Correlation
ACTN1,BGN,1,Correlation
ADGRF5,BGN,0.5,Correlation
ANKRD17,BGN,0.5,Correlation
ANXA1,BGN,1,Correlation
AP2S1,BGN,0.5,Correlation
ARIH1,BGN,0.5,Correlation
ATP2C1,BGN,0.5,Correlation
ATP5E,BGN,0.5,Correlation
AURKAIP1,BGN,1,Correlation
ACTN1,BPTF,0.5,Correlation
ADGRF5,BPTF,1,Correlation
AHCTF1,BPTF,0.5,Correlation
ALDH3A2,BPTF,0.5,Correlation
ANKRD17,BPTF,1,Correlation
ANXA1,BPTF,0.5,Correlation
AP2S1,BPTF,1,Correlation
ARHGAP29,BPTF,0.5,Correlation
ATM,BPTF,0.5,Correlation
ATP2C1,BPTF,1,Correlation
ATP5C1,BPTF,0.5,Correlation
ATP5E,BPTF,1,Correlation
AURKAIP1,BPTF,0.5,Correlation
BGN,BPTF,0.5,Correlation
ACTN1,BTN3A3,0.5,Correlation
ADGRF5,BTN3A3,1,Correlation
AHCTF1,BTN3A3,0.5,Correlation
ALDH3A2,BTN3A3,0.5,Correlation
ANKRD17,BTN3A3,1,Correlation
ANXA1,BTN3A3,0.5,Correlation
AP2S1,BTN3A3,1,Correlation
ARHGAP29,BTN3A3,0.5,Correlation
ATM,BTN3A3,0.5,Correlation
ATP2C1,BTN3A3,1,Correlation
ATP5C1,BTN3A3,0.5,Correlation
ATP5E,BTN3A3,1,Correlation
AURKAIP1,BTN3A3,0.5,Correlation
BGN,BTN3A3,0.5,Correlation
BPTF,BTN3A3,1,Correlation
ADGRF5,C14orf1,0.5,Correlation
AHCTF1,C14orf1,1,Correlation
ALDH3A2,C14orf1,1,Correlation
ALPK1,C14orf1,0.5,Correlation
ANKRD17,C14orf1,0.5,Correlation
AP2S1,C14orf1,0.5,Correlation
ARHGAP29,C14orf1,1,Correlation
ATM,C14orf1,1,Correlation
ATP2C1,C14orf1,0.5,Correlation
ATP5C1,C14orf1,1,Correlation
ATP5E,C14orf1,0.5,Correlation
BBIP1,C14orf1,0.5,Correlation
BPTF,C14orf1,0.5,Correlation
BTN3A3,C14orf1,0.5,Correlation
ACTN1,C1orf61,0.5,Correlation
ANXA1,C1orf61,0.5,Correlation
ARIH1,C1orf61,1,Correlation
AURKAIP1,C1orf61,0.5,Correlation
BGN,C1orf61,0.5,Correlation
ACTN1,C6orf106,0.5,Correlation
ADGRF5,C6orf106,1,Correlation
AHCTF1,C6orf106,0.5,Correlation
ALDH3A2,C6orf106,0.5,Correlation
ANKRD17,C6orf106,1,Correlation
ANXA1,C6orf106,0.5,Correlation
AP2S1,C6orf106,1,Correlation
ARHGAP29,C6orf106,0.5,Correlation
ATM,C6orf106,0.5,Correlation
ATP2C1,C6orf106,1,Correlation
ATP5C1,C6orf106,0.5,Correlation
ATP5E,C6orf106,1,Correlation
AURKAIP1,C6orf106,0.5,Correlation
BGN,C6orf106,0.5,Correlation
BPTF,C6orf106,1,Correlation
BTN3A3,C6orf106,1,Correlation
C14orf1,C6orf106,0.5,Correlation
ADGRF5,CCDC53,0.5,Correlation
AHCTF1,CCDC53,1,Correlation
ALDH3A2,CCDC53,1,Correlation
ALPK1,CCDC53,0.5,Correlation
