ensembl_gene_id,hgnc_symbol,C_JK.C.05.07.CEL,C_JK.C.12.07.CEL,C_JK.C.35.96.CEL,C_JK.C.39.97.CEL,C_JK.CC2.CEL,C_JK.CC4.CEL
ENSG00000138758,Sep-11,51.52646485,45.36974556,30.78621954,28.56775531,36.0549035,30.17948407
ENSG00000072110,ACTN1,25.80566163,24.51496602,47.64532095,14.68675793,40.5329883,25.23284138
ENSG00000153207,AHCTF1,10.90480547,4.836098573,6.264896643,4.836098573,12.47081664,10.29999747
ENSG00000072210,ALDH3A2,30.24138611,23.31800753,50.08410502,78.37180528,24.47232829,15.92801322
ENSG00000073331,ALPK1,3.215701028,1.952717752,1.791674813,1.945764031,1.836638127,6.445633209
ENSG00000132466,ANKRD17,17.00034405,34.52916647,25.9137679,29.91216094,21.76544243,10.29999747
ENSG00000135046,ANXA1,101.8877352,10.29999747,10.29999747,8.262551556,23.32575279,29.99647362
ENSG00000166233,ARIH1,1.305926274,1.633390837,1.228697505,1.945764031,1.054962244,1.530493305
ENSG00000149311,ATM,6.712788644,7.18449446,4.485609425,5.306299895,6.176943836,10.43570472
ENSG00000017260,ATP2C1,22.38200179,43.70489042,33.20271853,43.02314648,26.44682129,10.34745856
ENSG00000165629,ATP5C1,65.79341037,184.6041933,179.3497012,253.3819711,62.11547876,24.20076795
ENSG00000124172,ATP5E,139.8264155,185.1714608,124.2870657,135.5492266,108.3703621,112.4598103
ENSG00000175756,AURKAIP1,33.86283106,72.97033201,47.21054096,39.95036841,32.35635442,25.367119
ENSG00000214413,BBIP1,4.191804073,3.862973763,5.645115821,3.844876578,4.024508455,3.540060283
ENSG00000214413,BBIP1,22.62296835,28.44672592,32.18178521,46.88476918,16.16208243,8.084875702
ENSG00000182492,BGN,12.26722278,8.292309958,14.82074784,6.439960071,10.66617527,10.29999747
ENSG00000171634,BPTF,64.30766748,18.30271604,18.63246116,26.31514921,26.31514921,75.15974887
ENSG00000111801,BTN3A3,29.11477511,37.55510497,53.72089212,29.88845708,30.9747459,29.11477511
ENSG00000133935,C14orf1,23.40074613,33.3902116,21.73179156,25.76731206,26.72792115,7.600332729
ENSG00000125462,C1orf61,54.93400202,40.62593976,43.01885566,55.73784292,75.96644984,58.30895954
ENSG00000196821,C6orf106,12.86983008,20.58455568,26.34075925,31.24524331,17.52659396,12.86985969
ENSG00000120860,CCDC53,8.020349506,16.60008957,11.53702605,13.27850646,7.529590731,3.97987111
ENSG00000125633,CCDC93,13.92861558,13.19788405,14.46921026,13.19788405,13.9973183,8.629423827
ENSG00000163468,CCT3,25.02788385,70.50230824,42.96059264,63.04519948,23.49322046,15.22516406
ENSG00000130177,CDC16,4.568161475,7.925333027,3.635279429,11.94587435,3.617643187,5.351756327
ENSG00000140937,CDH11,28.779168,5.616347131,3.771831772,5.329221271,15.61193116,17.60395364
ENSG00000149187,CELF1,2.161297374,7.715253937,7.006447269,8.326489395,5.064272124,3.243692966
ENSG00000099814,CEP170B,21.39004486,43.834793,36.44977108,37.66288927,28.03611454,12.83956613
ENSG00000005194,CIAPIN1,9.110123379,52.60457184,33.21824296,53.68252849,17.96461962,7.569130485
ENSG00000171365,CLCN5,1.84408457,3.244596471,2.675084079,6.439960071,2.675084079,2.214183299
ENSG00000074201,CLNS1A,30.3205652,42.50234916,32.69245112,30.04229338,28.52291868,13.78784154
ENSG00000183978,COA3,30.73914356,54.63054294,52.21553216,84.88170607,36.13775869,25.91221603
ENSG00000187498,COL4A1,14.68675793,15.65934294,17.04598554,7.242105764,16.02525212,13.21656114
ENSG00000181789,COPG1,4.538576027,9.732133706,8.606236737,8.854842953,5.536393114,2.530865379
ENSG00000182158,CREB3L2,29.39865728,12.77209447,10.07777567,7.336614027,19.1461608,27.66171127
ENSG00000143162,CREG1,52.76315915,57.23812873,31.80690909,49.91754626,34.61929766,22.5430408
ENSG00000159176,CSRP1,55.49318206,55.49318206,72.69641102,50.28379098,65.55565437,71.59842047
