GeneA,GeneB,Tau,Pvalue,Relationship
C9orf72m,CHMP2B,0.061169462,1.04E-24,Correlation
C9orf72m,GRN,0.070057681,2.27E-38,Correlation
C9orf72m,VCP,4.81E-05,0.992863906,Correlation
C9orf72m,C9orf72r,0.042142241,6.22E-15,Correlation
CHMP2B,GRN,-0.001283007,0.831907911,Correlation
CHMP2B,VCP,0.003257809,0.588168295,Correlation
CHMP2B,C9orf72r,0.053065354,1.52E-18,Correlation
GRN,VCP,0.059274758,1.84E-27,Correlation
GRN,C9orf72r,0.017054322,0.001855287,Correlation
VCP,C9orf72r,0.016153082,0.003057956,Correlation
