GeneA,GeneB,Rho,pValue,Relationship
C9orf72m,CHMP2B,0.081806767,8.31E-25,Correlation
C9orf72m,GRN,0.103184211,1.50E-38,Correlation
C9orf72m,VCP,0.00010029,0.989957685,Correlation
C9orf72m,C9orf72r,0.062160198,5.78E-15,Correlation
CHMP2B,GRN,-0.001679531,0.833056647,Correlation
CHMP2B,VCP,0.004336046,0.5863172,Correlation
CHMP2B,C9orf72r,0.069877934,1.63E-18,Correlation
GRN,VCP,0.086347944,1.85E-27,Correlation
GRN,C9orf72r,0.024814694,0.001841019,Correlation
VCP,C9orf72r,0.023538784,0.003131253,Correlation
