"","Rho","pValue"
"RankC9m_CHm",0.0818067672202735,8.31401937684175e-25
"RankC9m_GRN",0.103184210816182,1.50027743240926e-38
"RankC9m_VCP",0.000100290100020582,0.989957685160823
"RankC9m_C9r",0.062160198116091,5.77724421500775e-15
"RankCHm_GRN",-0.00167953087405495,0.833056646520335
"RankCHm_VCP",0.00433604560884564,0.586317199970072
"RankCHm_C9r",0.0698779339012628,1.62772263499189e-18
"RankGRN_VCP",0.0863479441791154,1.84647932592519e-27
"RankGRN_C9r",0.0248146936190506,0.00184101904924868
"RankVCP_C9r",0.0235387837902507,0.00313125267666008
