ensembl_gene_id,hgnc_symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL
ENSG00000072110,ACTN1,1155.445292,1300.889088,643.3141346,910.9066024,1174.95808,1029.201388,951.7147903,1134.087493
ENSG00000153207,AHCTF1,167.1187002,87.11331955,137.102052,59.85674626,107.5450018,134.8355016,80.31428979,62.40462775
ENSG00000072210,ALDH3A2,281.8119698,393.2275578,260.5527939,363.3379518,284.5799224,344.1139523,315.5987814,256.4833291
ENSG00000073331,ALPK1,233.7248469,171.7431451,279.2803278,108.937066,165.1748527,140.627944,142.305259,141.5167299
ENSG00000132466,ANKRD17,440.645724,427.9935972,179.9443058,502.864361,250.1083322,429.7579014,413.9365343,450.9016639
ENSG00000135046,ANXA1,173.3203768,777.4121328,61.56428893,53.85523321,140.742944,155.2577508,168.4318703,53.78731938
ENSG00000042753,AP2S1,633.6083261,776.3166595,536.4833261,857.5933412,630.0258924,649.1072838,625.7194438,778.9233915
ENSG00000137962,ARHGAP29,356.5327484,382.84213,178.98905,89.84417739,256.7389128,265.1077354,194.6035451,181.0702059
ENSG00000166233,ARIH1,259.4449695,306.7847828,125.7060136,227.8956035,200.5957311,299.3583261,207.3587358,262.6874179
ENSG00000149311,ATM,75.79851289,48.40638169,38.0718329,31.67330982,27.53308042,51.5098807,35.01168867,39.69149831
ENSG00000017260,ATP2C1,297.9552605,335.3322061,154.10072,306.1315664,230.0804846,272.8226433,249.5801259,361.6590903
ENSG00000165629,ATP5C1,1515.754664,1803.604186,1043.456811,2450.441659,1384.589937,1562.657995,1986.779011,2369.24143
ENSG00000124172,ATP5E,2603.373626,2027.90899,3077.906436,2720.948314,3103.005896,1838.707601,2559.635941,2718.831218
ENSG00000175756,AURKAIP1,938.2607233,1152.691659,1105.024993,1304.753129,1195.672357,965.5625834,1174.006369,1228.31613
ENSG00000214413,BBIP1,302.0796235,214.5948088,151.9669475,233.4439924,189.7574689,258.8107171,252.0225655,227.2300823
ENSG00000182492,BGN,181.6497325,188.6017883,346.1388745,186.2671629,243.0517897,220.6316529,177.7508619,122.1528632
ENSG00000171634,BPTF,772.1406668,358.6948199,543.3657501,361.8075496,393.5041595,391.3585611,461.5069414,358.2701273
ENSG00000111801,BTN3A3,69.12538545,54.13036254,51.6691773,96.18420693,55.58785629,38.8377468,81.29948383,68.06446935
ENSG00000133935,C14orf1,343.6683505,345.2560998,299.1246818,375.966656,389.7984622,383.0726927,316.9172356,471.8658189
ENSG00000125462,C1orf61,4625.983326,2448.530353,5814.608074,4641.308045,6197.555942,1500.310782,5611.889453,6135.191659
ENSG00000196821,C6orf106,78.40561966,127.9740697,102.7539446,135.6121148,84.74860001,107.2948084,93.22518266,114.3357448
ENSG00000120860,CCDC53,352.4356536,259.4135129,215.6973452,324.0174713,269.1181422,126.0346688,329.0177296,391.6529232
ENSG00000125633,CCDC93,147.5075578,94.22513754,93.88671227,86.38421166,64.30297481,115.1125737,93.65549552,79.50553123
ENSG00000163468,CCT3,801.8657422,895.0431956,504.9237237,678.0252248,528.4141893,719.4511869,641.0630167,733.2854401
ENSG00000130177,CDC16,167.7904139,160.4976477,87.33561088,145.8587108,101.2213327,129.3275313,166.6080553,198.1784575
ENSG00000140937,CDH11,108.4282898,141.7794203,97.26740844,99.43592251,121.9423367,155.4406419,125.9562122,182.998043
ENSG00000149187,CELF1,25.07237326,53.49703465,29.31879353,46.52226425,34.88923754,60.92616681,28.92491397,62.48424938
ENSG00000099814,CEP170B,557.7961626,596.7333261,562.8832947,749.3073328,569.0062081,536.848115,635.1956762,899.2268289
ENSG00000005194,CIAPIN1,159.6149995,198.7278193,85.77118547,256.2306676,142.8721423,247.6754867,152.6210314,246.2250718
ENSG00000171365,CLCN5,18.51964059,17.26433536,23.8247101,16.10193044,15.44884326,14.8232828,15.39386185,14.66251852
ENSG00000074201,CLNS1A,778.2477044,616.8184267,684.2687357,729.5947386,709.9380633,341.0898375,717.9833261,678.0897673
ENSG00000183978,COA3,972.6798649,1116.658684,814.2211624,1610.907515,1129.115236,1076.524831,1314.095349,1519.24506
ENSG00000187498,COL4A1,151.4104762,536.7991936,138.0954449,121.7570504,225.3246916,240.5424633,109.0098093,128.6994001
ENSG00000181789,COPG1,130.1281782,169.8961792,168.0853564,298.1577979,194.1667813,171.282346,211.3350542,223.7334122
ENSG00000182158,CREB3L2,125.010828,154.7819454,105.6265382,87.11930217,121.4086358,81.04635583,128.2069164,90.39270258
ENSG00000143162,CREG1,606.1776614,734.1754301,287.805037,468.7775855,384.7238815,412.4853056,599.2749928,654.0093123
ENSG00000159176,CSRP1,1818.248373,1432.569272,3951.961857,2131.983326,4031.883798,251.246764,3190.461138,1927.646849
ENSG00000101439,CST3,3596.461766,2690.203772,4677.954458,5888.207382,5573.497183,2137.941659,7158.698369,6079.625443
ENSG00000175215,CTDSP2,591.7659449,466.4739737,567.1366003,370.4056949,589.6661093,317.4416595,698.1593767,493.8166595
ENSG00000168036,CTNNB1,418.8750795,503.8263333,474.5360436,365.5006517,447.7606224,350.5377291,386.4982853,504.9943451
ENSG00000197021,CXorf40B,208.4052101,445.2131829,201.8102855,408.1069657,238.652239,391.1919561,258.0482529,468.0974066
ENSG00000138061,CYP1B1,119.1565632,160.9439317,119.6667129,75.48676804,243.1786033,304.0481944,126.7312023,97.64335805
ENSG00000011465,DCN,537.9249615,398.3858694,932.0653464,564.0010398,793.5874363,493.2749928,676.1871912,370.8145921
ENSG00000108654,DDX5,2192.176454,1847.548008,992.2124928,1543.882583,1883.11293,1956.712803,1777.625351,1696.361269
ENSG00000119689,DLST,124.5056559,187.8506026,148.1807465,227.7515046,193.2607999,182.9907031,199.7343301,197.8680932
ENSG00000198947,DMD,412.1913932,214.4001939,123.3973855,166.9743822,199.2898904,173.3254015,200.7478383,245.2805446
ENSG00000151914,DST,13.85125908,17.76830301,14.91091802,12.94112866,15.43529299,13.84845592,13.04078298,12.46812006
ENSG00000125977,EIF2S2,792.7710209,1056.884347,469.3274286,632.2304903,563.0752634,850.2459474,529.5041595,619.9271598
ENSG00000087502,ERGIC2,509.3745315,365.1209169,270.3725812,327.7705689,316.4241213,540.9296533,303.7871774,323.7853991
ENSG00000100632,ERH,1789.232302,2383.535049,2040.029011,2326.933083,2043.441689,1886.742323,2420.072486,2293.868984
ENSG00000048828,FAM120A,162.3966978,153.0708576,185.2521402,160.6759484,167.3919479,147.9498135,148.8149587,158.3854794
ENSG00000135842,FAM129A,33.00563283,60.76078413,33.18329728,25.31974002,35.95184381,35.47552846,26.11303687,24.23855555
ENSG00000152102,FAM168B,1024.952701,944.1832034,858.534667,1084.810092,822.1270847,1004.189594,1011.698432,860.1149685
ENSG00000166147,FBN1,38.95333273,43.49771603,45.35610405,41.53916006,38.76968974,55.13463631,43.47091583,40.34548583
