Gene1,Gene2,corRvec,Interaction
ADGRF5,AHCTF1,0.2,Correlation
ACTN1,ALDH3A2,0.428571429,Correlation
ADGRF5,ALPK1,0.714285714,Correlation
ACTN1,ANKRD17,0.371428571,Correlation
ALDH3A2,ANKRD17,0.6,Correlation
ACTN1,ANXA1,0.314285714,Correlation
ADGRF5,ANXA1,0.485714286,Correlation
ALPK1,ANXA1,0.828571429,Correlation
ACTN1,AP2S1,0.371428571,Correlation
ALDH3A2,AP2S1,0.6,Correlation
ANKRD17,AP2S1,0.542857143,Correlation
ADGRF5,ARHGAP29,0.657142857,Correlation
AHCTF1,ARHGAP29,0.2,Correlation
ALDH3A2,ARHGAP29,0.142857143,Correlation
ALPK1,ARHGAP29,0.6,Correlation
ANXA1,ARHGAP29,0.828571429,Correlation
ACTN1,ARIH1,0.314285714,Correlation
ALDH3A2,ARIH1,0.771428571,Correlation
ANKRD17,ARIH1,0.942857143,Correlation
AP2S1,ARIH1,0.714285714,Correlation
ADGRF5,ATM,0.485714286,Correlation
AHCTF1,ATM,0.6,Correlation
ALDH3A2,ATM,0.142857143,Correlation
ALPK1,ATM,0.257142857,Correlation
ANXA1,ATM,0.6,Correlation
ARHGAP29,ATM,0.885714286,Correlation
ACTN1,ATP2C1,0.371428571,Correlation
ALDH3A2,ATP2C1,0.771428571,Correlation
ANKRD17,ATP2C1,0.771428571,Correlation
AP2S1,ATP2C1,0.657142857,Correlation
ARIH1,ATP2C1,0.885714286,Correlation
ACTN1,ATP5C1,0.6,Correlation
ALDH3A2,ATP5C1,0.485714286,Correlation
ANKRD17,ATP5C1,0.485714286,Correlation
AP2S1,ATP5C1,0.942857143,Correlation
ARIH1,ATP5C1,0.6,Correlation
ATP2C1,ATP5C1,0.6,Correlation
ACTN1,ATP5E,0.257142857,Correlation
ADGRF5,ATP5E,0.142857143,Correlation
ALDH3A2,ATP5E,0.371428571,Correlation
ALPK1,ATP5E,0.428571429,Correlation
ANXA1,ATP5E,0.6,Correlation
AP2S1,ATP5E,0.771428571,Correlation
ARHGAP29,ATP5E,0.542857143,Correlation
ARIH1,ATP5E,0.257142857,Correlation
ATM,ATP5E,0.2,Correlation
ATP5C1,ATP5E,0.714285714,Correlation
AP2S1,AURKAIP1,0.771428571,Correlation
ARIH1,AURKAIP1,0.257142857,Correlation
ATP2C1,AURKAIP1,0.257142857,Correlation
ATP5C1,AURKAIP1,0.714285714,Correlation
ATP5E,AURKAIP1,0.657142857,Correlation
ADGRF5,BBIP1,0.542857143,Correlation
ALDH3A2,BBIP1,0.257142857,Correlation
ALPK1,BBIP1,0.371428571,Correlation
ANXA1,BBIP1,0.485714286,Correlation
AP2S1,BBIP1,0.428571429,Correlation
ARHGAP29,BBIP1,0.771428571,Correlation
ARIH1,BBIP1,0.142857143,Correlation
ATM,BBIP1,0.542857143,Correlation
ATP5C1,BBIP1,0.2,Correlation
ATP5E,BBIP1,0.771428571,Correlation
AURKAIP1,BBIP1,0.428571429,Correlation
ADGRF5,BGN,0.828571429,Correlation
ALPK1,BGN,0.942857143,Correlation
ANXA1,BGN,0.771428571,Correlation
ARHGAP29,BGN,0.714285714,Correlation
ATM,BGN,0.371428571,Correlation
ATP5E,BGN,0.485714286,Correlation
AURKAIP1,BGN,0.142857143,Correlation
BBIP1,BGN,0.6,Correlation
ADGRF5,BPTF,0.6,Correlation
AHCTF1,BPTF,0.771428571,Correlation
ALPK1,BPTF,0.2,Correlation
ANXA1,BPTF,0.428571429,Correlation
ARHGAP29,BPTF,0.771428571,Correlation
ATM,BPTF,0.942857143,Correlation
BBIP1,BPTF,0.428571429,Correlation
BGN,BPTF,0.314285714,Correlation
ADGRF5,BTN3A3,0.257142857,Correlation
ALPK1,BTN3A3,0.371428571,Correlation
ANXA1,BTN3A3,0.2,Correlation
AP2S1,BTN3A3,0.657142857,Correlation
ARHGAP29,BTN3A3,0.142857143,Correlation
ATP5C1,BTN3A3,0.6,Correlation
ATP5E,BTN3A3,0.771428571,Correlation
AURKAIP1,BTN3A3,0.942857143,Correlation
BBIP1,BTN3A3,0.6,Correlation
BGN,BTN3A3,0.428571429,Correlation
AP2S1,C14orf1,0.314285714,Correlation
ATP5C1,C14orf1,0.428571429,Correlation
ATP5E,C14orf1,0.2,Correlation
AURKAIP1,C14orf1,0.714285714,Correlation
BTN3A3,C14orf1,0.657142857,Correlation
AHCTF1,C1orf61,0.2,Correlation
ANKRD17,C1orf61,0.314285714,Correlation
ARIH1,C1orf61,0.142857143,Correlation
ATP2C1,C1orf61,0.2,Correlation
C14orf1,C1orf61,0.542857143,Correlation
ACTN1,C6orf106,0.6,Correlation
ALDH3A2,C6orf106,0.657142857,Correlation
ANKRD17,C6orf106,0.714285714,Correlation
AP2S1,C6orf106,0.6,Correlation
ARIH1,C6orf106,0.771428571,Correlation
ATP2C1,C6orf106,0.942857143,Correlation
ATP5C1,C6orf106,0.657142857,Correlation
AURKAIP1,C6orf106,0.2,Correlation
C1orf61,C6orf106,0.257142857,Correlation
ACTN1,CCDC53,0.371428571,Correlation
ALDH3A2,CCDC53,0.885714286,Correlation
ANKRD17,CCDC53,0.542857143,Correlation
AP2S1,CCDC53,0.885714286,Correlation
ARIH1,CCDC53,0.771428571,Correlation
ATP2C1,CCDC53,0.771428571,Correlation
ATP5C1,CCDC53,0.771428571,Correlation
ATP5E,CCDC53,0.657142857,Correlation
AURKAIP1,CCDC53,0.485714286,Correlation
BBIP1,CCDC53,0.428571429,Correlation
BTN3A3,CCDC53,0.371428571,Correlation
C6orf106,CCDC53,0.657142857,Correlation
ADGRF5,CCDC93,0.657142857,Correlation
AHCTF1,CCDC93,0.2,Correlation
ALDH3A2,CCDC93,0.142857143,Correlation
ALPK1,CCDC93,0.6,Correlation
ANXA1,CCDC93,0.828571429,Correlation
ARHGAP29,CCDC93,1,Correlation
ATM,CCDC93,0.885714286,Correlation
ATP5E,CCDC93,0.542857143,Correlation
BBIP1,CCDC93,0.771428571,Correlation
BGN,CCDC93,0.714285714,Correlation
BPTF,CCDC93,0.771428571,Correlation
BTN3A3,CCDC93,0.142857143,Correlation
ACTN1,CCT3,0.371428571,Correlation
ALDH3A2,CCT3,0.6,Correlation
ANKRD17,CCT3,0.542857143,Correlation
AP2S1,CCT3,1,Correlation
ARIH1,CCT3,0.714285714,Correlation
ATP2C1,CCT3,0.657142857,Correlation
ATP5C1,CCT3,0.942857143,Correlation
ATP5E,CCT3,0.771428571,Correlation
AURKAIP1,CCT3,0.771428571,Correlation
BBIP1,CCT3,0.428571429,Correlation
BTN3A3,CCT3,0.657142857,Correlation
C14orf1,CCT3,0.314285714,Correlation
C6orf106,CCT3,0.6,Correlation
CCDC53,CCT3,0.885714286,Correlation
ALDH3A2,CDC16,0.885714286,Correlation
ANKRD17,CDC16,0.6,Correlation
AP2S1,CDC16,0.6,Correlation
ARHGAP29,CDC16,0.371428571,Correlation
ARIH1,CDC16,0.771428571,Correlation
ATM,CDC16,0.371428571,Correlation
ATP2C1,CDC16,0.6,Correlation
ATP5C1,CDC16,0.371428571,Correlation
ATP5E,CDC16,0.485714286,Correlation
AURKAIP1,CDC16,0.142857143,Correlation
BBIP1,CDC16,0.6,Correlation
BPTF,CDC16,0.142857143,Correlation
C6orf106,CDC16,0.371428571,Correlation
CCDC53,CDC16,0.828571429,Correlation
CCDC93,CDC16,0.371428571,Correlation
CCT3,CDC16,0.6,Correlation
ACTN1,CDH11,0.6,Correlation
ALDH3A2,CDH11,0.371428571,Correlation
ALPK1,CDH11,0.6,Correlation
ANXA1,CDH11,0.828571429,Correlation
ARHGAP29,CDH11,0.542857143,Correlation
