"","corRvec"
"ACTN1:ADGRF5",-1
"ACTN1:AHCTF1",-0.5
"ADGRF5:AHCTF1",0.5
"ACTN1:ALDH3A2",-0.5
"ADGRF5:ALDH3A2",0.5
"AHCTF1:ALDH3A2",1
"ACTN1:ALPK1",1
"ADGRF5:ALPK1",-1
"AHCTF1:ALPK1",-0.5
"ALDH3A2:ALPK1",-0.5
"ACTN1:ANKRD17",-0.5
"ADGRF5:ANKRD17",0.5
"AHCTF1:ANKRD17",-0.5
"ALDH3A2:ANKRD17",-0.5
"ALPK1:ANKRD17",-0.5
"ACTN1:ANXA1",0.5
"ADGRF5:ANXA1",-0.5
"AHCTF1:ANXA1",-1
"ALDH3A2:ANXA1",-1
"ALPK1:ANXA1",0.5
"ANKRD17:ANXA1",0.5
"ACTN1:AP2S1",-1
"ADGRF5:AP2S1",1
"AHCTF1:AP2S1",0.5
"ALDH3A2:AP2S1",0.5
"ALPK1:AP2S1",-1
"ANKRD17:AP2S1",0.5
"ANXA1:AP2S1",-0.5
"ACTN1:ARHGAP29",-1
"ADGRF5:ARHGAP29",1
"AHCTF1:ARHGAP29",0.5
"ALDH3A2:ARHGAP29",0.5
"ALPK1:ARHGAP29",-1
"ANKRD17:ARHGAP29",0.5
"ANXA1:ARHGAP29",-0.5
"AP2S1:ARHGAP29",1
"ACTN1:ARIH1",-1
"ADGRF5:ARIH1",1
"AHCTF1:ARIH1",0.5
"ALDH3A2:ARIH1",0.5
"ALPK1:ARIH1",-1
"ANKRD17:ARIH1",0.5
"ANXA1:ARIH1",-0.5
"AP2S1:ARIH1",1
"ARHGAP29:ARIH1",1
"ACTN1:ATM",-0.5
"ADGRF5:ATM",0.5
"AHCTF1:ATM",-0.5
"ALDH3A2:ATM",-0.5
"ALPK1:ATM",-0.5
"ANKRD17:ATM",1
"ANXA1:ATM",0.5
"AP2S1:ATM",0.5
"ARHGAP29:ATM",0.5
"ARIH1:ATM",0.5
"ACTN1:ATP2C1",0.5
"ADGRF5:ATP2C1",-0.5
"AHCTF1:ATP2C1",0.5
"ALDH3A2:ATP2C1",0.5
"ALPK1:ATP2C1",0.5
"ANKRD17:ATP2C1",-1
"ANXA1:ATP2C1",-0.5
"AP2S1:ATP2C1",-0.5
"ARHGAP29:ATP2C1",-0.5
"ARIH1:ATP2C1",-0.5
"ATM:ATP2C1",-1
"ACTN1:ATP5C1",-1
"ADGRF5:ATP5C1",1
"AHCTF1:ATP5C1",0.5
"ALDH3A2:ATP5C1",0.5
"ALPK1:ATP5C1",-1
"ANKRD17:ATP5C1",0.5
"ANXA1:ATP5C1",-0.5
"AP2S1:ATP5C1",1
"ARHGAP29:ATP5C1",1
"ARIH1:ATP5C1",1
"ATM:ATP5C1",0.5
"ATP2C1:ATP5C1",-0.5
"ACTN1:ATP5E",-0.5
"ADGRF5:ATP5E",0.5
"AHCTF1:ATP5E",1
"ALDH3A2:ATP5E",1
"ALPK1:ATP5E",-0.5
"ANKRD17:ATP5E",-0.5
"ANXA1:ATP5E",-1
"AP2S1:ATP5E",0.5
"ARHGAP29:ATP5E",0.5
"ARIH1:ATP5E",0.5
"ATM:ATP5E",-0.5
"ATP2C1:ATP5E",0.5
"ATP5C1:ATP5E",0.5
"ACTN1:AURKAIP1",0.5
"ADGRF5:AURKAIP1",-0.5
"AHCTF1:AURKAIP1",0.5
"ALDH3A2:AURKAIP1",0.5
"ALPK1:AURKAIP1",0.5
"ANKRD17:AURKAIP1",-1
"ANXA1:AURKAIP1",-0.5
"AP2S1:AURKAIP1",-0.5
"ARHGAP29:AURKAIP1",-0.5
"ARIH1:AURKAIP1",-0.5
"ATM:AURKAIP1",-1
"ATP2C1:AURKAIP1",1
"ATP5C1:AURKAIP1",-0.5
"ATP5E:AURKAIP1",0.5
"ACTN1:BBIP1",0.5
"ADGRF5:BBIP1",-0.5
"AHCTF1:BBIP1",0.5
"ALDH3A2:BBIP1",0.5
"ALPK1:BBIP1",0.5
"ANKRD17:BBIP1",-1
"ANXA1:BBIP1",-0.5
"AP2S1:BBIP1",-0.5
"ARHGAP29:BBIP1",-0.5
"ARIH1:BBIP1",-0.5
"ATM:BBIP1",-1
"ATP2C1:BBIP1",1
"ATP5C1:BBIP1",-0.5
"ATP5E:BBIP1",0.5
"AURKAIP1:BBIP1",1
"ACTN1:BGN",0.5
"ADGRF5:BGN",-0.5
"AHCTF1:BGN",-1
"ALDH3A2:BGN",-1
"ALPK1:BGN",0.5
"ANKRD17:BGN",0.5
"ANXA1:BGN",1
"AP2S1:BGN",-0.5
"ARHGAP29:BGN",-0.5
"ARIH1:BGN",-0.5
"ATM:BGN",0.5
"ATP2C1:BGN",-0.5
"ATP5C1:BGN",-0.5
"ATP5E:BGN",-1
"AURKAIP1:BGN",-0.5
"BBIP1:BGN",-0.5
"ACTN1:BPTF",-1
"ADGRF5:BPTF",1
"AHCTF1:BPTF",0.5
"ALDH3A2:BPTF",0.5
"ALPK1:BPTF",-1
"ANKRD17:BPTF",0.5
"ANXA1:BPTF",-0.5
"AP2S1:BPTF",1
"ARHGAP29:BPTF",1
"ARIH1:BPTF",1
"ATM:BPTF",0.5
"ATP2C1:BPTF",-0.5
"ATP5C1:BPTF",1
"ATP5E:BPTF",0.5
"AURKAIP1:BPTF",-0.5
"BBIP1:BPTF",-0.5
"BGN:BPTF",-0.5
"ACTN1:BTN3A3",-0.5
"ADGRF5:BTN3A3",0.5
"AHCTF1:BTN3A3",-0.5
"ALDH3A2:BTN3A3",-0.5
"ALPK1:BTN3A3",-0.5
"ANKRD17:BTN3A3",1
"ANXA1:BTN3A3",0.5
"AP2S1:BTN3A3",0.5
"ARHGAP29:BTN3A3",0.5
"ARIH1:BTN3A3",0.5
"ATM:BTN3A3",1
"ATP2C1:BTN3A3",-1
"ATP5C1:BTN3A3",0.5
"ATP5E:BTN3A3",-0.5
"AURKAIP1:BTN3A3",-1
"BBIP1:BTN3A3",-1
"BGN:BTN3A3",0.5
"BPTF:BTN3A3",0.5
"ACTN1:C14orf1",0.5
"ADGRF5:C14orf1",-0.5
"AHCTF1:C14orf1",0.5
"ALDH3A2:C14orf1",0.5
"ALPK1:C14orf1",0.5
"ANKRD17:C14orf1",-1
"ANXA1:C14orf1",-0.5
"AP2S1:C14orf1",-0.5
"ARHGAP29:C14orf1",-0.5
"ARIH1:C14orf1",-0.5
"ATM:C14orf1",-1
"ATP2C1:C14orf1",1
"ATP5C1:C14orf1",-0.5
"ATP5E:C14orf1",0.5
"AURKAIP1:C14orf1",1
"BBIP1:C14orf1",1
"BGN:C14orf1",-0.5
"BPTF:C14orf1",-0.5
"BTN3A3:C14orf1",-1
"ACTN1:C1orf61",-1
"ADGRF5:C1orf61",1
"AHCTF1:C1orf61",0.5
"ALDH3A2:C1orf61",0.5
"ALPK1:C1orf61",-1
