ensembl_gene_id,hgnc_symbol,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL
ENSG00000138758,Sep-11,138.4783489,102.2735236,96.70213172
ENSG00000072110,ACTN1,201.9924218,149.9212375,118.0038938
ENSG00000153207,AHCTF1,10.03276771,11.83762943,11.01676694
ENSG00000153207,AHCTF1,97.15093743,145.5924218,122.370195
ENSG00000072210,ALDH3A2,214.2914542,348.3939555,304.4989979
ENSG00000132466,ANKRD17,234.2859226,219.9531071,255.9950403
ENSG00000135046,ANXA1,503.7890698,227.3974748,332.1961331
ENSG00000166233,ARIH1,63.90177743,70.86727896,74.02354485
ENSG00000149311,ATM,50.88056773,49.31790325,51.05690603
ENSG00000017260,ATP2C1,56.10885401,60.45363102,54.92852433
ENSG00000165629,ATP5C1,4345.047289,4495.56528,4769.847149
ENSG00000124172,ATP5E,2440.192422,2775.85394,2441.141124
ENSG00000175756,AURKAIP1,1536.605015,1692.040971,1433.694595
ENSG00000214413,BBIP1,130.5249007,167.8563208,111.3922896
ENSG00000182492,BGN,81.18865427,59.83024032,61.86611223
ENSG00000171634,BPTF,347.8414702,401.8922771,421.4677389
ENSG00000111801,BTN3A3,34.36173581,23.26267489,37.38101169
ENSG00000111801,BTN3A3,237.2175386,222.5634818,302.8924218
ENSG00000133935,C14orf1,112.2903332,143.6058495,100.9797387
ENSG00000125462,C1orf61,42.8094168,44.72347998,50.46558604
ENSG00000196821,C6orf106,47.48193472,47.33317299,48.59918581
ENSG00000120860,CCDC53,416.6020343,422.9704316,370.3725545
ENSG00000125633,CCDC93,89.47088379,79.43126433,75.73494077
ENSG00000163468,CCT3,510.4415639,563.0312106,469.9924218
ENSG00000130177,CDC16,270.3862068,315.2176269,268.8702725
ENSG00000140937,CDH11,60.30804746,29.22131199,31.85002776
ENSG00000149187,CELF1,90.32773843,100.4771469,91.27520619
ENSG00000099814,CEP170B,90.99761512,94.87748323,87.18086544
ENSG00000005194,CIAPIN1,83.49290083,115.5320085,89.8635023
ENSG00000171365,CLCN5,8.986098756,9.448069639,10.52663182
ENSG00000074201,CLNS1A,805.7516036,794.4102826,664.677111
ENSG00000183978,COA3,1170.722365,1197.60747,1190.497184
ENSG00000187498,COL4A1,472.991366,434.709261,513.5052989
ENSG00000181789,COPG1,86.64581118,82.79253984,91.03342733
ENSG00000182158,CREB3L2,314.2040791,236.4495978,249.5245852
ENSG00000143162,CREG1,918.8465717,977.1152216,882.9424218
ENSG00000159176,CSRP1,342.5000187,289.6079301,269.6663507
ENSG00000101439,CST3,928.2847167,759.3052536,984.9519801
ENSG00000175215,CTDSP2,609.7349354,747.4059069,763.7565872
ENSG00000168036,CTNNB1,358.6182895,385.4724867,375.5924218
ENSG00000197021,CXorf40B,232.2466538,236.7172951,240.281692
ENSG00000197021,CXorf40B,268.7825872,267.5713468,249.8781218
ENSG00000197021,CXorf40B,250.8504263,252.6888553,221.9217109
ENSG00000138061,CYP1B1,61.59231651,61.20005632,104.5098289
ENSG00000011465,DCN,4697.575093,3476.084859,4131.624673
ENSG00000108654,DDX5,1729.868544,1389.335087,1250.592422
ENSG00000119689,DLST,177.311208,258.6760809,246.7957938
ENSG00000198947,DMD,1700.785649,1442.494559,1605.734167
ENSG00000151914,DST,9.565614361,8.975066192,8.908242268
ENSG00000125977,EIF2S2,1540.088827,1692.535064,1655.169245
ENSG00000087502,ERGIC2,236.8652422,244.4414319,203.7569084
ENSG00000100632,ERH,1041.276043,1094.438858,1118.8263
ENSG00000135842,FAM129A,498.2652484,462.7587073,298.6028934
ENSG00000152102,FAM168B,284.9318183,253.9475434,266.0924218
ENSG00000166147,FBN1,155.4357362,82.91153935,129.266386
ENSG00000109670,FBXW7,312.1924218,264.9234158,294.8571575
ENSG00000146729,GBAS,5923.624272,6533.583279,6873.547644
ENSG00000105373,GLTSCR2,4438.782812,3266.1617,3040.492422
ENSG00000069122,GPR116,296.7147045,315.6858633,352.7318796
