ensembl_gene_id,hgnc_symbol,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL
ENSG00000072110,ACTN1,457.0693587,126.8447348,303.0556935,247.6382997,253.3261898,264.26444,177.0109139
ENSG00000153207,AHCTF1,91.65180074,166.471277,197.7555077,136.2934642,110.2687769,98.94374271,96.44878934
ENSG00000153207,AHCTF1,12.18976135,13.05377587,15.71391814,12.36003757,13.39843502,8.697202467,11.69672699
ENSG00000072210,ALDH3A2,500.8467735,232.5137537,415.1564333,344.2119549,400.9630516,304.2085174,383.5348628
ENSG00000073331,ALPK1,127.3333776,133.1470435,107.1924219,111.8772774,131.6080202,121.64148,114.9661378
ENSG00000132466,ANKRD17,342.7739327,312.8803442,355.2447252,266.4311719,258.2849774,262.8028829,241.1523062
ENSG00000135046,ANXA1,1578.256902,238.7931808,720.9510175,398.0924218,617.2411519,331.5223428,399.5401188
ENSG00000042753,AP2S1,385.4886072,304.8924218,373.5409691,391.5146077,412.1977028,435.4148444,440.9618716
ENSG00000137962,ARHGAP29,28.26183691,33.15545591,27.94408797,27.06204762,22.32136744,20.17045092,36.66952448
ENSG00000166233,ARIH1,87.24235269,111.6924218,94.49242711,70.71068649,69.21125031,75.55759781,70.45848007
ENSG00000149311,ATM,49.01565972,50.80503883,47.99975472,50.46495203,50.44475495,37.30522717,46.05044271
ENSG00000017260,ATP2C1,72.59368778,73.57107606,64.73502524,75.6546393,65.25825528,84.2324905,54.01938998
ENSG00000165629,ATP5C1,4877.262119,3879.985014,4736.864092,4466.542422,5713.16368,5080.558446,5680.797829
ENSG00000124172,ATP5E,2829.919541,2303.143569,2798.543812,2949.145283,2854.526886,3035.94805,2678.336858
ENSG00000175756,AURKAIP1,1628.301326,1760.184241,1642.812704,1871.144915,1987.701658,1633.629032,2097.258641
ENSG00000214413,BBIP1,189.2848553,176.4284747,206.5553887,132.7268921,157.4329274,157.4080852,172.8699897
ENSG00000182492,BGN,103.0924222,43.93604279,87.14681739,94.41711211,88.82832868,89.41101124,117.2026733
ENSG00000171634,BPTF,717.1877203,682.5299309,624.0889209,520.4924384,400.6544661,476.6474838,523.9923009
ENSG00000111801,BTN3A3,29.30304866,24.16479243,37.572629,27.91112828,26.02362186,25.01975496,38.15331746
ENSG00000133935,C14orf1,103.8132489,127.7887615,167.6927761,141.7979882,136.5248521,131.4137821,165.5503773
ENSG00000125462,C1orf61,32.33712475,39.55001721,34.36496234,42.04027337,38.97416721,34.72263601,42.98448165
ENSG00000196821,C6orf106,62.97313164,71.96452566,59.46307219,52.06864659,51.20126638,53.9932176,56.56370636
ENSG00000120860,CCDC53,526.0915596,390.7621446,514.6852702,394.5358484,432.0924218,552.4642891,661.9022387
ENSG00000125633,CCDC93,113.7055725,84.2725955,128.2924218,86.80591571,77.26498642,95.01557728,98.71622646
ENSG00000163468,CCT3,793.5924218,668.901133,785.3924218,587.7924218,676.4448761,583.1098077,697.5155317
ENSG00000130177,CDC16,257.2054686,293.6924218,298.4622708,269.5926425,205.9824995,273.9093569,240.3568968
ENSG00000140937,CDH11,131.2960566,32.66572021,67.92063883,37.69094613,36.04008555,60.42807172,38.74992803
ENSG00000149187,CELF1,97.42685694,146.8739214,151.004852,110.0891273,100.3924227,110.1226184,71.49267199
ENSG00000099814,CEP170B,86.59357483,81.64088567,68.10342921,84.19406573,93.9512675,79.2585997,80.9960553
ENSG00000005194,CIAPIN1,109.1924218,102.9677297,115.4009118,88.29244855,108.8257137,141.836694,117.4170274
ENSG00000171365,CLCN5,11.6710944,11.97564813,14.37035028,10.31532718,18.4016143,17.11225253,11.97059708
ENSG00000074201,CLNS1A,878.4407558,890.3306506,1040.397611,749.712216,823.4910642,806.3193744,887.5805797
ENSG00000183978,COA3,1184.210044,1183.48161,1476.694921,1270.0106,1353.260881,1439.428555,1466.497859
ENSG00000187498,COL4A1,1025.956021,416.1040513,701.2164774,595.041381,375.2839204,505.3138684,846.5835621
ENSG00000181789,COPG1,84.48655545,85.75548277,134.1888433,83.53489913,95.59008122,104.892422,110.9047479
ENSG00000182158,CREB3L2,362.862078,261.7075765,368.2244685,244.797444,347.3526477,329.247349,283.6946744
ENSG00000143162,CREG1,1402.812696,958.2679355,1000.237482,978.6924218,1159.284154,1073.337337,760.6812372
ENSG00000159176,CSRP1,440.5582978,270.53424,373.2924218,402.8869592,632.3924218,414.1763457,367.3784214
ENSG00000101439,CST3,1623.993883,833.447569,808.8228423,1408.192422,1182.092422,1369.297435,897.022534
ENSG00000175215,CTDSP2,576.4818904,664.3771682,649.7689181,629.7561873,567.1760258,557.0747113,613.6805257
ENSG00000168036,CTNNB1,436.4075726,353.1447199,401.1031268,499.0401318,352.772573,430.8580438,425.6924218
ENSG00000197021,CXorf40B,300.4803289,207.5924218,278.9640043,245.8924218,254.4624491,262.9109897,284.9920972
ENSG00000138061,CYP1B1,61.92384263,40.9708789,77.20090028,62.82959854,53.25370728,63.04630961,64.8295629
ENSG00000011465,DCN,5042.170322,2919.209699,3693.012813,2373.99528,3381.198602,1909.599172,3447.420341
ENSG00000108654,DDX5,215.633305,216.6969002,246.6107228,219.6300035,232.4819616,234.2037268,154.4955476
ENSG00000108654,DDX5,1888.645833,1991.592422,1776.78155,1596.362678,1588.209258,1708.283908,1476.911473
ENSG00000119689,DLST,195.1740973,269.0553584,267.5374223,235.9735578,264.8214889,239.8024391,272.9941812
ENSG00000198947,DMD,1555.794549,1376.582008,1609.196285,1327.179654,1376.024156,1099.843775,1198.330429
ENSG00000151914,DST,16.31219273,16.40077306,17.55884328,10.2263607,7.744599778,10.10200078,9.146855363
ENSG00000125977,EIF2S2,1553.589509,1774.046788,2240.692422,1621.290378,1718.395289,1948.992422,1978.077742
ENSG00000087502,ERGIC2,354.7927867,308.2274224,387.5882819,249.5965705,272.5609551,321.2543415,320.1697242
ENSG00000100632,ERH,1111.91709,1141.691612,1451.361476,1281.988999,1096.583473,1096.429939,1255.095501
ENSG00000048828,FAM120A,24.70898049,32.0056429,22.34119165,27.82041491,37.4994884,38.06221823,33.20123572
ENSG00000135842,FAM129A,766.1171664,1134.491468,1023.102813,526.2308871,446.1843648,802.776408,166.0436646
ENSG00000152102,FAM168B,340.5517664,300.6924218,289.168907,333.3436136,285.8199198,313.5594994,261.2924218
ENSG00000166147,FBN1,165.8229176,75.57869334,181.2924218,59.3021188,61.20501747,56.82890499,129.3032462
ENSG00000109670,FBXW7,282.5588591,307.0371568,508.5924218,326.4916422,322.4771606,365.7466241,348.1759031
ENSG00000146729,GBAS,5843.974421,6363.762299,5896.692422,6167.899616,5410.674229,5569.511949,5106.693168
ENSG00000105373,GLTSCR2,4067.342422,4698.137189,4186.990192,3552.425153,3800.216698,3899.387018,3656.237749
ENSG00000144366,GULP1,260.0983976,225.5558151,286.3605601,246.0482516,301.1761948,180.2924218,249.6461554
