"","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL"
"ABCD3",4.79371377567821,4.70623519465785,3.8713245293135,5.43956227823166,4.98962039570724,5.66324522498928,5.06783629669733
"ACAT1",5.72352655874461,3.39849207683839,6.21041593959171,4.63395716284856,4.17573116125459,3.64087540847771,4.24428238077263
"ACTN1",151.929369577774,109.141902355834,85.2653837535177,17.4942315219555,65.7326116593203,83.397551703863,66.4892482329171
"ADRBK2",33.1484915334755,22.1935652586454,30.7233332230919,28.1356407954597,28.558777224044,31.4629096935649,29.0552743151226
"AGT",145.798500752787,100.334109317812,84.3280830993629,65.4089932687817,146.714385675005,100.815261875175,59.142130079157
"ANXA1",18.2710421515016,26.1774260769122,12.5809848447693,17.3359511966162,30.8092676775363,16.5029290023318,13.1978490251658
"ANXA5",165.598635100241,134.830080977398,272.369017044179,17.203582160953,105.221541752882,96.6150701237552,174.468641719491
"AP1S2",468.687774040564,151.115070123755,343.523185409923,59.2696066432884,102.237543648174,84.0094803204649,174.597922347558
"APC",274.607730163735,55.9150843571754,393.315013643434,11.3496889437877,29.4197877719696,5.29939980798566,129.33968729887
"ATP2A2",233.247994291427,80.8407504266801,166.242811581814,18.3559215932696,63.9150707467836,37.1527995007466,157.140115985681
"ATP6V1G2-DDX39B /// DDX39B /// SNORD84",70.1348783527993,31.4995167631593,84.5150701237673,27.6871370436947,29.2611463393652,24.3817067671546,20.8061742088614
"BGN",34.6907965916169,41.5716835184864,27.3028452939042,52.2771978866179,43.2175482005316,40.7245887004499,40.9659257407871
"BPTF",72.6281703490569,67.0079661702878,158.973482670111,22.7184994264428,47.5814988965037,40.9838217510916,65.2440589931078
"BRE",143.274744350513,79.2106784864102,129.207777184237,110.950809633658,101.046243797234,81.8736354158652,132.429341091499
"BTN3A2 /// BTN3A3",227.191068177769,74.2078311800285,114.002388246787,61.108799468284,91.495755711073,94.3263487794747,148.115070123755
"C14orf1",158.404808024667,58.622072597793,121.613210619828,48.1388969866215,56.7749407220001,34.1821273229389,85.8601460886488
"C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C",534.58422966342,265.535979741934,424.845485753509,72.5224877813744,273.107638124044,82.9029163931394,191.392656327076
"C5orf15",183.692157127909,94.3150701237551,164.732972814992,45.0630158406287,60.6423373974496,35.5529651277552,157.231910442053
"CAMKK2",48.044942932965,56.5606714792664,57.1150769061382,77.8150701246726,61.0340349939956,73.405349275809,52.1898707784906
"CAPN2",711.865615056341,360.967534822947,583.818022332355,48.7574522250475,159.266235471246,77.7578690828058,445.939854581314
"CASC3 /// MIR6866",70.5358206528066,45.1408056245077,88.5085964145038,43.4215092427332,30.7818872922469,34.401642400761,38.3610654636343
"CCT2",404.859217977196,192.826296256692,357.68855447422,24.4977446763769,44.1002105064641,29.5847485074435,164.406558566634
"CD63",264.258276963854,178.967099250203,559.215070123755,99.3180749537186,121.085964199177,110.119503510039,197.247725995737
"CDK14",391.001017829689,143.039841172408,298.414996183649,87.7864375517032,95.0458735870375,111.321944963235,207.124883065235
"CDK16",59.4796846871758,60.4198676949356,59.8113680640002,94.1960682763492,65.1366294826584,70.1486753108724,58.1679235330229
"CDK5R1",468.186516121106,172.415070123755,437.915070123755,10.6697243442983,60.7045904796733,21.3406518657736,181.534524255262
"CDKN3",35.8895919314862,27.4371091421201,23.758546103381,25.8928826724581,23.115518861433,27.3692702207478,27.5835139028099
"CDS2",156.908558190827,62.8554184345943,123.175184064439,17.6063911913553,41.6171282414238,18.7440841468884,77.2955375872717
"CELF1",57.1168703048751,64.9470064253196,75.3778786371031,21.8512209094458,21.9011298179829,20.5105634501238,94.6636148113652
"CERS6",177.292264847864,91.3541947141901,172.65431273998,32.0380840778172,45.6096690121484,35.3093049917952,136.105652409155
"CIAPIN1",142.276925536349,35.9239185599253,126.215070123755,37.2598901654479,52.6872648926477,36.0238236631526,57.5553073628726
"CNOT1",80.5403142088906,65.7672709271227,81.1151168110211,68.9829941600303,63.8042421522904,61.6150715424073,71.339264184161
"COPS7A",96.4513901029185,40.6702729730002,117.678849082383,33.6508808634002,34.5503628620647,40.5635356991766,53.10630946725
"COX20",60.5145103781347,65.6513008996718,50.0151821543686,66.3961797927104,78.2726642674968,87.5515121356429,113.113988994404
"COX6A1",878.018579482572,262.817720023967,531.423114816665,45.8022280569476,139.294168844612,111.8797547867,346.117920408487
"CREB1",42.6162886990164,50.4151821541887,46.0455787279153,34.6165615171826,41.9753628866049,32.1473185511891,35.9798068431024
"CSRP1",348.388455240866,237.4968012026,297.836694866878,183.674026431066,193.445340361461,164.093003786561,143.364261853597
"CST3",105.009091064676,59.3815706995036,92.8940440034641,50.0465794944956,77.6471347218795,55.0554496212597,40.4639516919247
"CTNNA1",231.868404376278,131.271998970899,174.046823736111,34.8721947366466,105.354833959692,66.827473067879,95.6169099394091
"CX3CR1",25.499669770133,26.2992451786926,26.7093833573629,90.5094716046088,80.4373614238105,107.88708742873,60.3143235414193
"CYB5A",81.8465404210177,104.294414438013,163.46068022417,62.5150715423337,101.974531588705,73.2762057287427,129.760123622491
"CYFIP1",469.737591817891,298.334087337423,332.313220904572,115.713397742086,240.220923493219,155.071504332148,237.301319813171
"DCN",128.221172379479,145.220260213918,71.1100468095695,155.792769036567,132.468817355705,120.719572418149,86.9094648314452
"DDX39A",10.1616947842399,10.1678578647075,12.4635303932211,9.00938812530494,8.15916559272654,10.3298082497807,10.8352220967295
"DDX5 /// MIR3064 /// MIR5047",215.095712149513,186.837552000736,243.122754923443,12.7266905709156,78.3837840611921,32.0730877802604,107.950188252116
"DGUOK",79.5365800310561,45.8494497034637,86.3086082197654,51.8071903281467,58.3944887869827,47.5411303738529,69.4290850413078
"DHRS7",95.2449721990012,80.6150701238667,117.517071392321,46.4434498969677,41.5265901567806,34.9490025066458,92.1461875908197
"DMD",159.35375847497,69.262545802094,39.9368622268322,4.79352344270622,90.1209380920955,15.7430661185104,39.0423096168706
"DMXL1",287.061684058459,165.344978245089,294.724085052779,18.2830009926822,59.2692862340401,57.7873385439463,159.127712393851
"DYNC1H1",336.063958771481,244.601573513386,667.578715231264,29.0678101643615,57.0992571910754,32.1362985931912,244.397821415018
"DYNLT1",111.279381220347,45.5847841480433,77.7971371591375,15.3392347720171,39.6383830144792,37.1095446827703,58.1586331486888
"EBNA1BP2 /// MIR6733",143.795716639786,70.568449876642,88.7495251303221,18.6562757119853,24.0846700011323,26.1300534127871,75.1593141912433
"EFS",98.9191544826378,81.491866329615,71.7150701414183,19.8965086247184,57.3536334768755,67.615070234517,41.1055702447505
"EIF3E",126.315070123755,67.6102008685024,88.2177105426155,24.2753716324391,114.286858182248,36.2235523899212,80.9975771054154
"ETS2",140.528489776841,136.330978031544,188.103117524603,51.3858343878029,73.8632802728424,61.4208785143822,91.100687302869
"FADS3",72.2150701414183,95.324991258996,118.824764360779,142.584942977036,94.9066712789652,88.2674134715932,80.1004153710791
"FAM107A",165.915070123755,217.081834030127,106.22888051033,147.384251581565,324.221640372654,262.615070123755,169.315070123755
"FBXL14",69.8287968496045,15.4387702164539,27.3607202653512,21.2621947028533,17.8558507644278,11.8325021742415,34.456244884477
"FBXO9",14.73923976121,16.4151629779411,11.9890929502377,17.3131979948876,12.3111927213276,15.1328975183952,19.7385405028856
"GBAS",82.7589865482754,17.4820640199936,50.802041063088,6.70711990115116,13.5162043522389,7.76916217076277,19.9847769763603
"GNPAT",236.916502528216,91.6960651069492,165.029313503035,54.9257162979008,66.951268993449,47.2585738096237,128.335358066244
"GPR37 /// SEL1L2",148.915070123755,184.88336347879,187.667633303935,50.9151819997233,105.041438349435,113.381425611315,94.3704087095358
"GSTO1",97.3800201640853,37.3522220609404,63.4960603251293,21.2699168308271,18.3162041070376,16.9234016279154,26.2523816961961
"GSTP1",89.364723906069,68.7729500192181,80.1150701238667,82.3250908218249,70.3618923276169,62.6028537270665,61.189129342704
"GTF2H1",293.267731353965,89.7523453809456,187.229836903538,48.2075953116807,88.5056718501227,99.6955061634731,138.276976622813
"GTF2I /// GTF2IP1 /// LOC100093631",438.162533486959,184.242538276905,477.314274746668,64.3447913173165,166.841119474316,112.473954187762,299.577171163238
"GTF3C2",187.345581966313,128.701559945858,165.804202682589,64.3164210575644,66.7104236162939,92.9652524468252,118.665286176192
