,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for TARDBP,Hsa2 MR for TARDBP,Hsa3 MR for TARDBP,Mcc MR for TARDBP,Mmu MR for Tardbp,Mmu2 MR for Tardbp,Cfa MR for TARDBP,Gga MR for TARDBP,Dre MR for tardbp
0,TARDBP,"TAR DNA binding protein",23435,3,0.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
1,HNRNPM,"heterogeneous nuclear ribonucleoprotein M",4670,3,8.2,6.6 ,116.0 ,134.2 ,2.0 ,243.2 ,,,
2,SRSF2,"serine/arginine-rich splicing factor 2",6427,3,12.2,43.1 ,144.2 ,,31.9 ,572.8 ,,,
3,DHX15,"DEAH (Asp-Glu-Ala-His) box helicase 15",1665,3,13.0,11.8 ,58.7 ,689.0 ,27.1 ,23.0 ,20.0 ,89.1 ,10.9 
4,SRSF1,"serine/arginine-rich splicing factor 1",6426,3,14.1,4.0 ,15.9 ,,35.9 ,47.9 ,2.0 ,11.6 ,26.6 
5,BUD13,"BUD13 homolog (S. cerevisiae)",84811,3,15.2,2436.2 ,843.9 ,,3942.2 ,3540.3 ,,1138.5 ,
6,HNRNPR,"heterogeneous nuclear ribonucleoprotein R",10236,3,16.3,5.7 ,19.3 ,,93.1 ,13.8 ,25.4 ,138.5 ,
7,HNRNPD,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)",3184,3,16.9,33.5 ,12.7 ,94.0 ,229.8 ,34.2 ,254.9 ,137.8 ,186.4 
8,KPNB1,"karyopherin (importin) beta 1",3837,3,18.9,732.5 ,415.6 ,401.3 ,119.4 ,25.0 ,13.2 ,79.5 ,608.5 
9,RCC2,"regulator of chromosome condensation 2",55920,3,19.0,847.4 ,980.6 ,,856.0 ,1397.1 ,403.3 ,,116.1 
10,EED,"embryonic ectoderm development",8726,3,19.8,70.1 ,176.2 ,363.9 ,93.1 ,437.8 ,4184.4 ,101.0 ,
