GO biological process complete,Homo sapiens - REFLIST (20972),upload_1 (519),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value)
Unclassified (UNCLASSIFIED),3964,28,98.1,-,0.29,0.00E+00
immune system process (GO:0002376),2055,150,50.86,+,2.95,2.06E-30
defense response (GO:0006952),1259,108,31.16,+,3.47,9.14E-26
regulation of immune response (GO:0050776),892,88,22.07,+,3.99,3.03E-24
immune response (GO:0006955),1130,99,27.96,+,3.54,6.83E-24
regulation of immune system process (GO:0002682),1439,112,35.61,+,3.15,2.24E-23
response to stimulus (GO:0050896),7675,306,189.94,+,1.61,3.54E-21
single-organism process (GO:0044699),12433,412,307.68,+,1.34,1.39E-18
response to stress (GO:0006950),3364,173,83.25,+,2.08,2.48E-18
positive regulation of immune system process (GO:0002684),909,75,22.5,+,3.33,1.20E-15
single-organism metabolic process (GO:0044710),3418,168,84.59,+,1.99,1.42E-15
single-organism cellular process (GO:0044763),11106,375,274.84,+,1.36,1.48E-15
biological_process (GO:0008150),17008,491,420.9,+,1.17,2.11E-15
innate immune response (GO:0045087),622,60,15.39,+,3.9,6.42E-15
positive regulation of immune response (GO:0050778),596,58,14.75,+,3.93,1.73E-14
signal transduction (GO:0007165),4805,206,118.91,+,1.73,8.67E-14
cell surface receptor signaling pathway (GO:0007166),2186,121,54.1,+,2.24,1.97E-13
nucleic acid metabolic process (GO:0090304),3986,32,98.64,-,0.32,2.76E-13
regulation of response to stimulus (GO:0048583),3713,171,91.89,+,1.86,3.71E-13
regulation of defense response (GO:0031347),774,64,19.15,+,3.34,6.67E-13
cellular response to chemical stimulus (GO:0070887),2378,126,58.85,+,2.14,1.02E-12
single organism signaling (GO:0044700),5153,213,127.52,+,1.67,1.05E-12
signaling (GO:0023052),5157,213,127.62,+,1.67,1.15E-12
positive regulation of response to stimulus (GO:0048584),1964,111,48.6,+,2.28,1.44E-12
regulation of innate immune response (GO:0045088),363,42,8.98,+,4.68,3.56E-12
RNA metabolic process (GO:0016070),3463,26,85.7,-,0.3,6.11E-12
cell communication (GO:0007154),5244,213,129.77,+,1.64,7.66E-12
activation of immune response (GO:0002253),453,46,11.21,+,4.1,1.55E-11
response to organic substance (GO:0010033),2658,131,65.78,+,1.99,5.64E-11
immune response-regulating signaling pathway (GO:0002764),433,44,10.72,+,4.11,6.38E-11
cellular response to stimulus (GO:0051716),6206,237,153.58,+,1.54,6.99E-11
localization (GO:0051179),4963,201,122.82,+,1.64,1.32E-10
vesicle-mediated transport (GO:0016192),1288,81,31.87,+,2.54,1.58E-10
positive regulation of cytokine production (GO:0001819),379,40,9.38,+,4.26,3.42E-10
gene expression (GO:0010467),3785,35,93.67,-,0.37,5.42E-10
regulation of cytokine production (GO:0001817),584,50,14.45,+,3.46,5.66E-10
regulation of response to stress (GO:0080134),1384,82,34.25,+,2.39,2.46E-09
response to chemical (GO:0042221),3953,167,97.83,+,1.71,2.62E-09
positive regulation of defense response (GO:0031349),370,38,9.16,+,4.15,3.41E-09
response to external stimulus (GO:0009605),1889,100,46.75,+,2.14,3.47E-09
regulation of immune effector process (GO:0002697),428,41,10.59,+,3.87,3.55E-09
positive regulation of innate immune response (GO:0045089),249,31,6.16,+,5.03,4.41E-09
RNA biosynthetic process (GO:0032774),2688,19,66.52,-,0.29,4.65E-09
endocytosis (GO:0006897),539,46,13.34,+,3.45,6.69E-09
cellular response to organic substance (GO:0071310),1940,101,48.01,+,2.1,6.95E-09
