GO biological process complete,Homo sapiens - REFLIST (20972),upload_1 (510),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value)
Unclassified (UNCLASSIFIED),3964,16,96.4,-, < 0.2,0.00E+00
nucleic acid metabolic process (GO:0090304),3986,295,96.93,+,3.04,8.59E-80
nucleobase-containing compound metabolic process (GO:0006139),4540,305,110.4,+,2.76,2.43E-73
heterocycle metabolic process (GO:0046483),4677,306,113.74,+,2.69,7.34E-71
cellular aromatic compound metabolic process (GO:0006725),4727,306,114.95,+,2.66,1.02E-69
RNA processing (GO:0006396),871,141,21.18,+,6.66,3.54E-69
cellular macromolecule metabolic process (GO:0044260),6784,364,164.97,+,2.21,1.08E-68
cellular nitrogen compound metabolic process (GO:0034641),5169,317,125.7,+,2.52,9.09E-68
organic cyclic compound metabolic process (GO:1901360),4918,307,119.6,+,2.57,3.45E-66
macromolecule metabolic process (GO:0043170),7488,369,182.09,+,2.03,1.30E-59
nitrogen compound metabolic process (GO:0006807),5651,318,137.42,+,2.31,9.98E-59
RNA metabolic process (GO:0016070),3463,247,84.21,+,2.93,1.48E-58
gene expression (GO:0010467),3785,258,92.04,+,2.8,2.86E-58
mRNA processing (GO:0006397),445,93,10.82,+,8.59,2.08E-52
RNA splicing (GO:0008380),377,87,9.17,+,9.49,4.34E-52
mRNA metabolic process (GO:0016071),627,104,15.25,+,6.82,5.71E-50
primary metabolic process (GO:0044238),8722,382,212.1,+,1.8,9.92E-49
cellular metabolic process (GO:0044237),8641,379,210.13,+,1.8,4.80E-48
"RNA splicing, via transesterification reactions (GO:0000375)",275,73,6.69,+,10.92,4.91E-47
"mRNA splicing, via spliceosome (GO:0000398)",271,72,6.59,+,10.93,2.33E-46
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",271,72,6.59,+,10.93,2.33E-46
organic substance metabolic process (GO:0071704),9173,386,223.07,+,1.73,8.18E-45
metabolic process (GO:0008152),9573,389,232.8,+,1.67,3.11E-41
regulation of macromolecule metabolic process (GO:0060255),5815,292,141.41,+,2.06,2.44E-40
regulation of nitrogen compound metabolic process (GO:0051171),4390,245,106.76,+,2.29,3.46E-38
regulation of metabolic process (GO:0019222),6176,297,150.19,+,1.98,1.51E-37
regulation of primary metabolic process (GO:0080090),5804,276,141.14,+,1.96,3.16E-32
regulation of gene expression (GO:0010468),4332,230,105.35,+,2.18,2.61E-31
RNA localization (GO:0006403),199,51,4.84,+,10.54,4.64E-31
regulation of cellular metabolic process (GO:0031323),5856,275,142.41,+,1.93,5.08E-31
ribonucleoprotein complex biogenesis (GO:0022613),463,70,11.26,+,6.22,1.23E-29
regulation of nucleobase-containing compound metabolic process (GO:0019219),4091,216,99.49,+,2.17,3.49E-28
ribonucleoprotein complex localization (GO:0071166),119,40,2.89,+,13.82,4.49E-28
negative regulation of macromolecule metabolic process (GO:0010605),2290,152,55.69,+,2.73,2.57E-27
ribonucleoprotein complex export from nucleus (GO:0071426),116,39,2.82,+,13.83,2.64E-27
nuclear transport (GO:0051169),283,54,6.88,+,7.85,7.77E-27
mRNA transport (GO:0051028),148,42,3.6,+,11.67,9.39E-27
cellular process (GO:0009987),14523,461,353.17,+,1.31,1.68E-26
nucleocytoplasmic transport (GO:0006913),275,53,6.69,+,7.93,1.75E-26
nuclear export (GO:0051168),153,42,3.72,+,11.29,3.40E-26
RNA export from nucleus (GO:0006405),116,38,2.82,+,13.47,3.93E-26
cell cycle (GO:0007049),1344,111,32.68,+,3.4,6.11E-26
mRNA export from nucleus (GO:0006406),101,36,2.46,+,14.66,7.62E-26
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427),101,36,2.46,+,14.66,7.62E-26
establishment of RNA localization (GO:0051236),178,44,4.33,+,10.16,9.54E-26
DNA metabolic process (GO:0006259),788,84,19.16,+,4.38,9.74E-26
mitotic cell cycle (GO:0000278),788,84,19.16,+,4.38,9.74E-26
negative regulation of metabolic process (GO:0009892),2490,156,60.55,+,2.58,1.76E-25
mitotic cell cycle process (GO:1903047),760,82,18.48,+,4.44,2.27E-25
regulation of macromolecule biosynthetic process (GO:0010556),4096,210,99.61,+,2.11,2.85E-25
regulation of cellular macromolecule biosynthetic process (GO:2000112),3979,206,96.76,+,2.13,3.86E-25
RNA transport (GO:0050658),176,43,4.28,+,10.05,6.76E-25
nucleic acid transport (GO:0050657),176,43,4.28,+,10.05,6.76E-25
regulation of biosynthetic process (GO:0009889),4332,214,105.35,+,2.03,9.78E-24
biological_process (GO:0008150),17008,494,413.6,+,1.19,2.27E-23
posttranscriptional regulation of gene expression (GO:0010608),473,63,11.5,+,5.48,2.31E-23
chromosome organization (GO:0051276),541,67,13.16,+,5.09,2.64E-23
cell cycle process (GO:0022402),1108,96,26.94,+,3.56,2.85E-23
regulation of cellular biosynthetic process (GO:0031326),4278,211,104.03,+,2.03,3.80E-23
protein modification by small protein conjugation (GO:0032446),771,79,18.75,+,4.21,7.11E-23
macromolecule biosynthetic process (GO:0009059),3729,193,90.68,+,2.13,7.38E-23
protein modification by small protein conjugation or removal (GO:0070647),904,85,21.98,+,3.87,2.00E-22
cellular component organization or biogenesis (GO:0071840),5481,245,133.29,+,1.84,2.42E-22
cellular nitrogen compound biosynthetic process (GO:0044271),3521,185,85.62,+,2.16,2.70E-22
nucleobase-containing compound transport (GO:0015931),208,43,5.06,+,8.5,4.42E-22
nucleobase-containing compound biosynthetic process (GO:0034654),3027,163,73.61,+,2.21,9.01E-20
heterocycle biosynthetic process (GO:0018130),3085,164,75.02,+,2.19,2.38E-19
ncRNA metabolic process (GO:0034660),558,62,13.57,+,4.57,6.42E-19
aromatic compound biosynthetic process (GO:0019438),3097,163,75.31,+,2.16,9.78E-19
organic cyclic compound biosynthetic process (GO:1901362),3207,166,77.99,+,2.13,1.86E-18
macromolecular complex subunit organization (GO:0043933),2059,126,50.07,+,2.52,1.97E-18
M phase (GO:0000279),173,36,4.21,+,8.56,4.03E-18
mitotic M phase (GO:0000087),173,36,4.21,+,8.56,4.03E-18
positive regulation of nitrogen compound metabolic process (GO:0051173),1760,114,42.8,+,2.66,4.39E-18
gene silencing (GO:0016458),186,37,4.52,+,8.18,4.69E-18
negative regulation of cellular metabolic process (GO:0031324),2308,134,56.13,+,2.39,6.27E-18
cellular macromolecule biosynthetic process (GO:0034645),3648,178,88.71,+,2.01,1.62E-17
cellular biosynthetic process (GO:0044249),4599,207,111.84,+,1.85,1.97E-17
negative regulation of biological process (GO:0048519),4571,206,111.16,+,1.85,2.29E-17
ribosome biogenesis (GO:0042254),325,46,7.9,+,5.82,3.12E-17
gene silencing by RNA (GO:0031047),117,30,2.85,+,10.54,4.11E-17
regulation of RNA metabolic process (GO:0051252),3748,180,91.14,+,1.97,4.77E-17
negative regulation of gene expression (GO:0010629),1441,99,35.04,+,2.83,7.72E-17
anaphase (GO:0051322),154,33,3.74,+,8.81,9.23E-17
mitotic anaphase (GO:0000090),154,33,3.74,+,8.81,9.23E-17
positive regulation of macromolecule metabolic process (GO:0010604),2822,149,68.63,+,2.17,1.14E-16
DNA repair (GO:0006281),490,55,11.92,+,4.62,1.29E-16
RNA biosynthetic process (GO:0032774),2688,144,65.37,+,2.2,1.80E-16
negative regulation of nitrogen compound metabolic process (GO:0051172),1465,99,35.63,+,2.78,2.41E-16
organic substance biosynthetic process (GO:1901576),4698,207,114.25,+,1.81,2.63E-16
mitotic cell cycle phase (GO:0098763),211,37,5.13,+,7.21,2.87E-16
cell cycle phase (GO:0022403),211,37,5.13,+,7.21,2.87E-16
biosynthetic process (GO:0009058),4787,209,116.41,+,1.8,4.50E-16
cellular response to DNA damage stimulus (GO:0006974),739,67,17.97,+,3.73,4.56E-16
regulation of DNA metabolic process (GO:0051052),366,47,8.9,+,5.28,5.25E-16
biological phase (GO:0044848),215,37,5.23,+,7.08,5.27E-16
protein sumoylation (GO:0016925),116,28,2.82,+,9.93,3.97E-15
cellular component biogenesis (GO:0044085),2375,130,57.76,+,2.25,4.41E-15
regulation of RNA stability (GO:0043487),151,31,3.67,+,8.44,4.55E-15
macromolecule modification (GO:0043412),3162,156,76.89,+,2.03,6.33E-15
ncRNA processing (GO:0034470),408,48,9.92,+,4.84,6.56E-15
positive regulation of metabolic process (GO:0009893),3021,151,73.47,+,2.06,9.23E-15
multi-organism localization (GO:1902579),71,23,1.73,+,13.32,1.14E-14
multi-organism transport (GO:0044766),71,23,1.73,+,13.32,1.14E-14
regulation of mRNA stability (GO:0043488),144,30,3.5,+,8.57,1.15E-14
intracellular transport of virus (GO:0075733),64,22,1.56,+,14.14,1.89E-14
multi-organism intracellular transport (GO:1902583),65,22,1.58,+,13.92,2.60E-14
multi-organism cellular localization (GO:1902581),65,22,1.58,+,13.92,2.60E-14
positive regulation of nucleobase-containing compound metabolic process (GO:0045935),1650,102,40.12,+,2.54,2.70E-14
"regulation of gene expression, epigenetic (GO:0040029)",203,34,4.94,+,6.89,3.87E-14
transport of virus (GO:0046794),67,22,1.63,+,13.5,4.84E-14
regulation of cellular response to heat (GO:1900034),76,23,1.85,+,12.44,4.88E-14
positive regulation of cellular metabolic process (GO:0031325),2835,143,68.94,+,2.07,5.25E-14
regulation of mRNA metabolic process (GO:1903311),130,28,3.16,+,8.86,7.07E-14
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431),32,17,0.78,+,21.85,1.23E-13
tRNA export from nucleus (GO:0006409),32,17,0.78,+,21.85,1.23E-13
regulation of mRNA processing (GO:0050684),100,25,2.43,+,10.28,1.41E-13
regulation of chromosome organization (GO:0033044),134,28,3.26,+,8.59,1.51E-13
peptidyl-lysine modification (GO:0018205),321,41,7.81,+,5.25,1.61E-13
