GO biological process complete,Homo sapiens - REFLIST (20972),upload_1 (497),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value)
Unclassified (UNCLASSIFIED),3964,41,93.94,-,0.44,0.00E+00
cellular macromolecule metabolic process (GO:0044260),6784,288,160.77,+,1.79,7.93E-28
regulation of macromolecule metabolic process (GO:0060255),5815,251,137.81,+,1.82,5.67E-23
macromolecule metabolic process (GO:0043170),7488,295,177.45,+,1.66,6.35E-23
regulation of gene expression (GO:0010468),4332,203,102.66,+,1.98,1.17E-20
regulation of metabolic process (GO:0019222),6176,255,146.36,+,1.74,1.50E-20
regulation of primary metabolic process (GO:0080090),5804,243,137.54,+,1.77,8.66E-20
regulation of nitrogen compound metabolic process (GO:0051171),4390,202,104.04,+,1.94,1.64E-19
macromolecule modification (GO:0043412),3162,163,74.93,+,2.18,4.22E-19
regulation of RNA metabolic process (GO:0051252),3748,180,88.82,+,2.03,1.92E-18
regulation of cellular metabolic process (GO:0031323),5856,241,138.78,+,1.74,1.93E-18
regulation of cellular macromolecule biosynthetic process (GO:2000112),3979,187,94.3,+,1.98,2.07E-18
regulation of nucleobase-containing compound metabolic process (GO:0019219),4091,190,96.95,+,1.96,2.99E-18
regulation of macromolecule biosynthetic process (GO:0010556),4096,190,97.07,+,1.96,3.45E-18
protein modification by small protein conjugation or removal (GO:0070647),904,77,21.42,+,3.59,4.16E-18
protein modification by small protein conjugation (GO:0032446),771,70,18.27,+,3.83,1.30E-17
cellular protein modification process (GO:0006464),2891,150,68.51,+,2.19,2.80E-17
protein modification process (GO:0036211),2891,150,68.51,+,2.19,2.80E-17
regulation of cellular biosynthetic process (GO:0031326),4278,192,101.38,+,1.89,8.24E-17
regulation of biosynthetic process (GO:0009889),4332,193,102.66,+,1.88,1.41E-16
cellular protein metabolic process (GO:0044267),3553,169,84.2,+,2.01,2.15E-16
cellular metabolic process (GO:0044237),8641,306,204.78,+,1.49,4.23E-16
regulation of RNA biosynthetic process (GO:2001141),3629,169,86,+,1.97,1.86E-15
regulation of nucleic acid-templated transcription (GO:1903506),3612,168,85.6,+,1.96,2.87E-15
"regulation of transcription, DNA-templated (GO:0006355)",3588,166,85.03,+,1.95,8.97E-15
peptidyl-lysine modification (GO:0018205),321,42,7.61,+,5.52,1.09E-14
primary metabolic process (GO:0044238),8722,302,206.7,+,1.46,5.18E-14
nucleic acid metabolic process (GO:0090304),3986,175,94.46,+,1.85,1.23E-13
RNA metabolic process (GO:0016070),3463,158,82.07,+,1.93,3.52E-13
gene expression (GO:0010467),3785,167,89.7,+,1.86,6.68E-13
negative regulation of gene expression (GO:0010629),1441,89,34.15,+,2.61,1.23E-12
organic substance metabolic process (GO:0071704),9173,308,217.38,+,1.42,2.01E-12
ubiquitin-dependent protein catabolic process (GO:0006511),490,48,11.61,+,4.13,2.62E-12
metabolic process (GO:0008152),9573,317,226.86,+,1.4,2.78E-12
negative regulation of macromolecule metabolic process (GO:0010605),2290,118,54.27,+,2.17,3.41E-12
modification-dependent protein catabolic process (GO:0019941),498,48,11.8,+,4.07,4.81E-12
modification-dependent macromolecule catabolic process (GO:0043632),506,48,11.99,+,4,8.71E-12
protein metabolic process (GO:0019538),4130,174,97.87,+,1.78,9.09E-12
cellular protein catabolic process (GO:0044257),562,50,13.32,+,3.75,2.49E-11
proteolysis involved in cellular protein catabolic process (GO:0051603),544,49,12.89,+,3.8,3.03E-11
