GO biological process complete,Homo sapiens - REFLIST (20972),upload_1 (516),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value)
Unclassified (UNCLASSIFIED),3964,13,97.53,-, < 0.2,0.00E+00
cellular process (GO:0009987),14523,467,357.33,+,1.31,3.37E-27
biological_process (GO:0008150),17008,503,418.47,+,1.2,1.59E-26
antigen processing and presentation of peptide antigen (GO:0048002),179,40,4.4,+,9.08,2.30E-21
antigen processing and presentation of exogenous antigen (GO:0019884),170,38,4.18,+,9.08,3.68E-20
antigen processing and presentation of exogenous peptide antigen (GO:0002478),163,37,4.01,+,9.23,8.83E-20
regulation of cellular amino acid metabolic process (GO:0006521),54,25,1.33,+,18.82,1.07E-19
cellular metabolic process (GO:0044237),8641,325,212.61,+,1.53,1.56E-19
antigen processing and presentation (GO:0019882),216,41,5.31,+,7.71,2.23E-19
primary metabolic process (GO:0044238),8722,326,214.6,+,1.52,3.85E-19
organic substance metabolic process (GO:0071704),9173,337,225.69,+,1.49,4.27E-19
intracellular transport (GO:0046907),1230,95,30.26,+,3.14,4.65E-19
"Wnt signaling pathway, planar cell polarity pathway (GO:0060071)",100,30,2.46,+,12.19,7.54E-19
metabolic process (GO:0008152),9573,346,235.54,+,1.47,7.83E-19
posttranscriptional regulation of gene expression (GO:0010608),473,57,11.64,+,4.9,1.62E-18
regulation of RNA stability (GO:0043487),151,34,3.72,+,9.15,7.56E-18
regulation of establishment of planar polarity (GO:0090175),111,30,2.73,+,10.98,1.35E-17
regulation of mRNA stability (GO:0043488),144,33,3.54,+,9.31,1.80E-17
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474),95,28,2.34,+,11.98,3.22E-17
response to endoplasmic reticulum stress (GO:0034976),241,40,5.93,+,6.75,8.47E-17
regulation of cellular amine metabolic process (GO:0033238),75,25,1.85,+,13.55,2.45E-16
non-canonical Wnt signaling pathway (GO:0035567),139,31,3.42,+,9.06,6.38E-16
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)",63,23,1.55,+,14.84,1.13E-15
establishment of localization in cell (GO:0051649),1511,100,37.18,+,2.69,1.48E-15
proteasomal protein catabolic process (GO:0010498),295,42,7.26,+,5.79,2.18E-15
modification-dependent protein catabolic process (GO:0019941),498,54,12.25,+,4.41,2.23E-15
protein transport (GO:0015031),1252,89,30.8,+,2.89,2.66E-15
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590),66,23,1.62,+,14.16,3.07E-15
