,logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneID
1178,0.700408172169919,3.33592614638731,4.03231467974735,0.000359803194089691,0.308237068755278,-0.134018717757783,MATN2
1342,0.512421398176122,4.60250212073563,3.94958020630586,0.000450857983288556,0.308237068755278,-0.117283735345205,MEST
1377,-0.347693598425725,4.49799733418286,-4.75494935261394,4.86976523442483e-05,0.308237068755278,1.71644634290143,METTL5
1451,-0.369656894398881,7.33657026891128,-4.09308917022966,0.000304679285883961,0.308237068755278,0.282807181652415,MGST3
1481,-0.392015545025542,6.79408729243383,-4.02025973649979,0.000371848411591692,0.308237068755278,0.115319358661109,MINOS1
1561,-0.438890038254566,7.17845722883851,-4.02240023874707,0.000369681095764833,0.308237068755278,0.11957006395556,ATP5H
1565,-0.355976369499414,7.13328673698206,-4.01248430601173,0.000379826736375315,0.308237068755278,0.0968153360776896,ATP5L
1628,-0.78131258082917,2.89656057955828,-4.12382404695172,0.000280054669924493,0.308237068755278,0.0724560882925989,MIR7-3HG
2314,-0.464761465711186,7.98375474799924,-4.38620813692615,0.000135831744487599,0.308237068755278,0.961913513001105,NDUFB8
2316,-0.370540209027846,7.45794937219843,-4.05555507213962,0.000337653483473615,0.308237068755278,0.195604765313908,NDUFB9
2515,-0.423167272875355,4.49812160575823,-4.21871450861156,0.000215747786447659,0.308237068755278,0.504351744989298,NME2
4048,-0.328991138942593,7.49500566343155,-3.95005041670682,0.000450281516684776,0.308237068755278,-0.0478304545793096,PPP1R12C
4349,-0.410705277177796,7.45048939378628,-4.54517585136644,8.73710090919927e-05,0.308237068755278,1.33703079439324,PSMC5
7072,0.518255661933965,3.05532990726639,3.98385855805523,0.000410674027365699,0.308237068755278,-0.279445593704096,SVIL
7912,-0.586634809947336,1.45728615079337,-3.90778451549701,0.000505094737018843,0.308237068755278,-0.775902803965685,TNK1
8584,-0.337337197954459,7.91283867916931,-4.19043292701111,0.000233216262835164,0.308237068755278,0.506590797926057,UQCRB
8591,-0.398720974343271,6.78043768705001,-4.03873668330034,0.000353543702424315,0.308237068755278,0.158047244837498,UQCRQ
9123,-0.43515071792197,3.2469545236937,-3.99072629000679,0.000403056381528315,0.308237068755278,-0.154807520249773,ZBTB8OS
9210,0.510865455940285,4.09655658629036,3.97739646012667,0.000417970649490387,0.308237068755278,-0.107545528137428,ZFC3H1
9996,-0.345019838433995,5.66879314858714,-3.89617776901541,0.000521257726192691,0.308237068755278,-0.175518576290463,ACYP2
11303,-0.490869793710495,4.73002205657258,-3.91406329359206,0.000496556864170384,0.308237068755278,-0.165065131704737,COX17
11313,-0.423827043083798,8.68116427340765,-4.15302153788485,0.00025848094553612,0.308237068755278,0.414873775612667,COX6A1
11320,-0.368871729018212,6.64779053260291,-3.90138042402477,0.000513951081912103,0.308237068755278,-0.15837142962061,COX7B
12167,-0.309844028483211,4.6028012131926,-3.9184112341397,0.000490727548831341,0.308237068755278,-0.165406913197354,DPCD
13591,-0.314489346017469,4.8934837506837,-4.23154041017154,0.000208257246808673,0.308237068755278,0.561444205786809,FUNDC1
