samplename,description,phenotype,batch
SRR1927020,sample_C9,sample_C9,1
SRR1927022,sample_C9,sample_C9,1
SRR1927024,sample_C9,sample_C9,1
SRR1927026,sample_C9,sample_C9,1
SRR1927028,sample_C9,sample_C9,1
SRR1927030,sample_C9,sample_C9,1
SRR1927032,sample_C9,sample_C9,1
SRR1927034,sample_C9,sample_C9,1
SRR1927036,sample_sALS,sample_sALS,1
SRR1927038,sample_sALS,sample_sALS,1
SRR1927040,sample_sALS,sample_sALS,1
SRR1927042,sample_sALS,sample_sALS,1
SRR1927044,sample_sALS,sample_sALS,1
SRR1927046,sample_sALS,sample_sALS,1
SRR1927048,sample_sALS,sample_sALS,1
SRR1927050,sample_sALS,sample_sALS,1
SRR1927052,sample_sALS,sample_sALS,1
SRR1927054,sample_sALS,sample_sALS,1
SRR1927056,sample_control,sample_control,1
SRR1927058,sample_control,sample_control,1
SRR1927060,sample_control,sample_control,1
SRR1927062,sample_control,sample_control,1
SRR1927064,sample_control,sample_control,1
SRR1927066,sample_control,sample_control,1
SRR1927068,sample_control,sample_control,1
SRR1927070,sample_control,sample_control,1
SRR1927071,sample_control,sample_control,1
