Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
nucleolus (GO:0005730)	26/1653	0.000001303100877556351747558007793392764739337508217431604862213134765625	0.00023977056147036872324473932849286939017474651336669921875	0.000045078258982613381134450791787315893088816665112972259521484375	0.00829439965280086288768046642871922813355922698974609375	-2.2123110099224954	18.441444250924413	CEP57;ZBTB20;RBPJ;MTDH;FXR1;PNN;PSMB2;IFI16;SNX27;POGZ;MCMBP;SF3B1;RBM5;SRSF11;RBM39;RBM15;RBFOX2;SCAF11;TBCB;NAV2;HCFC2;FOSL2;ETV6;CIAPIN1;SREK1;TARDBP
cell-substrate junction (GO:0030055)	10/362	0.000039648239641685995298010791731968538442743010818958282470703125	0.0036476380470351114047866669665154404356144368648529052734375	0.00023947743628088930217638619080133821626077406108379364013671875	0.02203192413784181569180731230517267249524593353271484375	-2.38379344427447	13.381842691311238	PPFIBP1;ANXA1;RPS16;RPS29;RPL12;PRKAR2A;G3BP1;RPL22;DMD;LPP
focal adhesion (GO:0005925)	9/352	0.00017512812903931252762890213858781862654723227024078369140625	0.0080237961172246498320337337872842908836901187896728515625	0.00085269573744388188658860361357483270694501698017120361328125	0.0352486075131768494816952852488611824810504913330078125	-2.3307621815149173	11.246728463716	PPFIBP1;ANXA1;RPS16;RPS29;PRKAR2A;RPL12;RPL22;G3BP1;LPP
cell-substrate adherens junction (GO:0005924)	9/358	0.00019860452769729906342954794951083385967649519443511962890625	0.0080237961172246498320337337872842908836901187896728515625	0.000957842595466762251887882229084425489418208599090576171875	0.0352486075131768494816952852488611824810504913330078125	-2.327040785700242	11.228771450098051	PPFIBP1;ANXA1;RPS16;RPS29;PRKAR2A;RPL12;G3BP1;RPL22;LPP
spliceosomal complex (GO:0005681)	6/151	0.00021803793796806113084764400245063598049455322325229644775390625	0.0080237961172246498320337337872842908836901187896728515625	0.00075190518312021124673616423450539514306001365184783935546875	0.0352486075131768494816952852488611824810504913330078125	-2.1254281553981937	10.25592122717702	PNN;SREK1;SF3B1;SKIV2L2;RBM5;SNRPB
adherens junction (GO:0005912)	9/405	0.000489634501149781796967841440704205524525605142116546630859375	0.0128703926016514071106744410144528956152498722076416015625	0.0022004641596590573081326791538003817549906671047210693359375	0.057596420606345656578728409158429712988436222076416015625	-2.2502168353210603	9.794801789855848	PPFIBP1;ANXA1;RPS16;RPS29;RPL12;PRKAR2A;RPL22;G3BP1;LPP
anchoring junction (GO:0070161)	9/419	0.000624610970804224496615020267853424229542724788188934326171875	0.0143660523284971641810869869004818610846996307373046875	0.002751777743056294835144459653974990942515432834625244140625	0.057596420606345656578728409158429712988436222076416015625	-2.236870526108766	9.490789620368165	PPFIBP1;ANXA1;RPS16;RPS29;RPL12;PRKAR2A;RPL22;G3BP1;LPP
extracellular vesicular exosome (GO:0070062)	29/2717	0.000435097233988771133449124928205264950520358979701995849609375	0.0128703926016514071106744410144528956152498722076416015625	0.00894303399186927201747199234205254469998180866241455078125	0.1371265212086621720910528665626770816743373870849609375	-2.1475606321940406	9.347957225214202	TMED10;RPL12;RAP1GDS1;GNAI3;TNFAIP3;SRI;GLG1;UBE2L3;CST3;RPS16;PSMB2;PRKAR2A;ANXA1;RPL22;MYOF;BGN;RPL35A;PTPN13;TUBB4B;MOB1A;COL1A2;NACA;RPS29;SERBP1;MMRN2;CRYL1;KCTD12;SNRPB;PPIC
catalytic step 2 spliceosome (GO:0071013)	4/80	0.00109813048203361604375494220420250712777487933635711669921875	0.020205600869418534337729198568922583945095539093017578125	0.002692774665872844051806023202288997708819806575775146484375	0.057596420606345656578728409158429712988436222076416015625	-1.9780384115881608	7.717901258918481	PNN;SF3B1;SKIV2L2;SNRPB
ribosomal subunit (GO:0044391)	5/135	0.00101926081327828230681242782651452216668985784053802490234375	0.020205600869418534337729198568922583945095539093017578125	0.002817216225310385790958633833724888972938060760498046875	0.057596420606345656578728409158429712988436222076416015625	-1.9545398725766867	7.626214766504115	RPS16;RPS29;RPL12;RPL22;RPL35A
