Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
mRNA binding (GO:0003729)	6/112	0.0000418612229011515341058936867657536140541196800768375396728515625	0.011344391406212066264469484622168238274753093719482421875	0.00015550624231475631176375984399129492885549552738666534423828125	0.0421421916672989615992861445192829705774784088134765625	-2.356517900921787	10.554918630624682	FXR1;RBFOX2;SERBP1;G3BP1;TARDBP;RBM5
cholesterol binding (GO:0015485)	3/34	0.000924970038301675743890040148897924154880456626415252685546875	0.04626086829380955667279096132915583439171314239501953125	0.002041994633149042844000309315788399544544517993927001953125	0.11831269709227397457507180433822213672101497650146484375	-2.6510766515696176	8.147975003404506	OSBPL8;SOAT1;OSBPL3
mRNA 3'-UTR binding (GO:0003730)	3/35	0.001007543309193962600966987253059414797462522983551025390625	0.04626086829380955667279096132915583439171314239501953125	0.0022061177404278761900180416688499462907202541828155517578125	0.11831269709227397457507180433822213672101497650146484375	-2.5354675876230113	7.792655302389363	FXR1;SERBP1;TARDBP
sterol binding (GO:0032934)	3/38	0.001282765510714242544743068918933204258792102336883544921875	0.04626086829380955667279096132915583439171314239501953125	0.002746810279038415340824297317112723249010741710662841796875	0.11831269709227397457507180433822213672101497650146484375	-2.4146202767808402	7.421236065081503	OSBPL8;SOAT1;OSBPL3
steroid binding (GO:0005496)	4/82	0.00120396736160875705845541006056009791791439056396484375	0.04626086829380955667279096132915583439171314239501953125	0.0028517554445959734064908186468301209970377385616302490234375	0.11831269709227397457507180433822213672101497650146484375	-2.3891182587958224	7.342856662149011	OSBPL8;AR;SOAT1;OSBPL3
double-stranded DNA binding (GO:0003690)	5/109	0.0003857043015495124709500485149504811488441191613674163818359375	0.04626086829380955667279096132915583439171314239501953125	0.0011011240387478575530888491584846633486449718475341796875	0.11831269709227397457507180433822213672101497650146484375	-2.3521400032155375	7.22920551518603	IFI16;RBMS1;ZNF148;TARDBP;FOSL2
transcription factor binding (GO:0008134)	9/464	0.00127874994490528360625847259512966047623194754123687744140625	0.04626086829380955667279096132915583439171314239501953125	0.005018465896933862850637364516614979947917163372039794921875	0.1350018306553409097592322041236911900341510772705078125	-2.346196165003587	7.2109373730157245	AR;RBFOX2;IFI16;NACA;JMJD1C;TCF4;SRI;RBPJ;MTDH
sequence-specific DNA binding RNA polymerase II transcription factor activity (GO:0000981)	8/397	0.0018777474215199451736124647283077138126827776432037353515625	0.04626086829380955667279096132915583439171314239501953125	0.006512885050778591776443615657399277552030980587005615234375	0.147082654063416529144348032787092961370944976806640625	-2.3171578135406357	7.121689194650109	AR;ZFHX3;ZBTB20;TCF4;NR2F2;TARDBP;RBPJ;ETV6
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	3/41	0.00160113714768788328000892473568228524527512490749359130859375	0.04626086829380955667279096132915583439171314239501953125	0.0033626029385661893034153990811319090425968170166015625	0.11831269709227397457507180433822213672101497650146484375	-2.2520417075810752	6.9215575223488175	RANBP2;NKTR;PPIC
structural constituent of ribosome (GO:0003735)	5/160	0.0021579575644244571031027390972667490132153034210205078125	0.04873387499658565769067308792727999389171600341796875	0.005479779104091329032522050823672543629072606563568115234375	0.1350018306553409097592322041236911900341510772705078125	-2.2246355072367647	6.721471243385532	RPS16;RPS29;RPL12;RPL22;RPL35A
cis-trans isomerase activity (GO:0016859)	3/43	0.001838502922588845268914159447604106389917433261871337890625	0.04626086829380955667279096132915583439171314239501953125	0.003816406479049909601652945667638050508685410022735595703125	0.11831269709227397457507180433822213672101497650146484375	-2.172877770493843	6.678250419109854	RANBP2;NKTR;PPIC
RNA polymerase II transcription factor binding (GO:0001085)	4/90	0.00169915930106482172649851047907532120007090270519256591796875	0.04626086829380955667279096132915583439171314239501953125	0.003929203962474043208830121187702388851903378963470458984375	0.11831269709227397457507180433822213672101497650146484375	-2.1261801094728816	6.534727079454256	AR;TCF4;RBPJ;MTDH
transcription regulatory region sequence-specific DNA binding (GO:0000976)	7/340	0.0032006409125374473377545481156403184286318719387054443359375	0.0667210528690498627657490260389749892055988311767578125	0.00967958624249072585588038464265991933643817901611328125	0.20178214397807592295208678478957153856754302978515625	-2.2959058876880136	6.2155561803997825	AR;SFPQ;TCF4;ZNF148;RBPJ;FOSL2;ETV6
RNA-dependent ATPase activity (GO:0008186)	2/23	0.0074082144540121123987841400548859382979571819305419921875	0.111534784279849030763642758756759576499462127685546875	0.012574878350386127501270294715141062624752521514892578125	0.21298700205966503151699953377828933298587799072265625	-2.5159621758252646	5.518558661311788	DDX17;G3BP1
