Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Gap junction_Homo sapiens_hsa04540	4/88	0.00156410868885739303725534998790180907235480844974517822265625	0.08524392354272791738623027413268573582172393798828125	0.0033951002236178476172134832467008891399018466472625732421875	0.185032962187172689283443105523474514484405517578125	-1.7718398477940291	4.362692188875203	GNAI3;LPAR1;TUBB4B;MAP2K5
Ribosome_Homo sapiens_hsa03010	5/137	0.00108850466703489336985077873265481684939004480838775634765625	0.08524392354272791738623027413268573582172393798828125	0.0026240652622380252097233910291151914861984550952911376953125	0.185032962187172689283443105523474514484405517578125	-1.7461380490451637	4.299408231929928	RPS16;RPS29;RPL12;RPL22;RPL35A
Apoptosis_Homo sapiens_hsa04210	3/140	0.045048682623632173294137004404547042213380336761474609375	0.690820639981191586542763616307638585567474365234375	0.072786892663777191803120558688533492386341094970703125	0.77817865497164018240283667182666249573230743408203125	-1.8327428993972161	0.6778858803146524	CYCS;PTPN13;MCL1
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	2/56	0.0399796671056606711669445530787925235927104949951171875	0.690820639981191586542763616307638585567474365234375	0.05884367290875924805249042037758044898509979248046875	0.77817865497164018240283667182666249573230743408203125	-1.8310607000136174	0.6772636767254907	PLA2G16;GNAI3
Viral myocarditis_Homo sapiens_hsa05416	2/59	0.043939484369878191449831916770563111640512943267822265625	0.690820639981191586542763616307638585567474365234375	0.06432090255438192849535283812656416557729244232177734375	0.77817865497164018240283667182666249573230743408203125	-1.7670655288634711	0.6535934592905893	CYCS;DMD
Notch signaling pathway_Homo sapiens_hsa04330	2/48	0.0301459307210249528863332812989028752781450748443603515625	0.690820639981191586542763616307638585567474365234375	0.0451168255728536526927285876809037290513515472412109375	0.77817865497164018240283667182666249573230743408203125	-1.6803517249575919	0.621520186320604	JAG1;RBPJ
RNA transport_Homo sapiens_hsa03013	3/172	0.07386865399092064354835684980571386404335498809814453125	0.690820639981191586542763616307638585567474365234375	0.1155495587632872911409975813512573949992656707763671875	0.77817865497164018240283667182666249573230743408203125	-1.6731210286270586	0.6188457321192408	FXR1;RANBP2;PNN
TNF signaling pathway_Homo sapiens_hsa04668	2/110	0.12831502686959928016818821561173535883426666259765625	0.690820639981191586542763616307638585567474365234375	0.176504749835889318543280523954308591783046722412109375	0.77817865497164018240283667182666249573230743408203125	-1.645404926285914	0.6085942372474848	JAG1;TNFAIP3
Parkinson's disease_Homo sapiens_hsa05012	3/142	0.0466479008603795375353939789420110173523426055908203125	0.690820639981191586542763616307638585567474365234375	0.07520620010913094122262378959931083954870700836181640625	0.77817865497164018240283667182666249573230743408203125	-1.6246242668223931	0.6009079896900227	GNAI3;CYCS;UBE2L3
Pathways in cancer_Homo sapiens_hsa05200	4/397	0.1872052699228115013596607241197489202022552490234375	0.690820639981191586542763616307638585567474365234375	0.289778556712651125248925154664902947843074798583984375	0.77817865497164018240283667182666249573230743408203125	-1.602604486149173	0.5927634221072424	AR;LPAR1;GNAI3;CYCS
