Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Influenza Viral RNA Transcription and Replication_Homo sapiens_R-HSA-168273	6/128	0.00008821225319016634427819745223331437955494038760662078857421875	0.00687843694965424579113033587418613024055957794189453125	0.00020503452752539453088874432662436220198287628591060638427734375	0.0149345436598099547131912601116709993220865726470947265625	-2.064528668952573	10.280039401647745	RANBP2;RPS16;RPS29;RPL12;RPL22;RPL35A
Influenza Life Cycle_Homo sapiens_R-HSA-168255	6/136	0.00012323285875410580516957359531460269863600842654705047607421875	0.00687843694965424579113033587418613024055957794189453125	0.0002809158646252727623178480076404639476095326244831085205078125	0.0149345436598099547131912601116709993220865726470947265625	-2.0498077147646967	10.206738414668477	RANBP2;RPS16;RPS29;RPL12;RPL22;RPL35A
Major pathway of rRNA processing in the nucleolus_Homo sapiens_R-HSA-6791226	7/166	0.00004414774844564871487430368635074273697682656347751617431640625	0.00687843694965424579113033587418613024055957794189453125	0.00011068006129853931451823001452794414944946765899658203125	0.0149345436598099547131912601116709993220865726470947265625	-2.0448253734661117	10.18192952456578	RPS16;RPS29;RIOK3;RPL12;RPL22;RPL35A;SKIV2L2
rRNA processing_Homo sapiens_R-HSA-72312	7/180	0.0000736782548693488601419809835846308487816713750362396240234375	0.00687843694965424579113033587418613024055957794189453125	0.0001796729725860411329592392082332708014291711151599884033203125	0.0149345436598099547131912601116709993220865726470947265625	-2.0197376751903455	10.057008746932611	RPS16;RPS29;RIOK3;RPL12;RPL22;RPL35A;SKIV2L2
Influenza Infection_Homo sapiens_R-HSA-168254	6/147	0.0001884905269091402134525037315171402951818890869617462158203125	0.00786519562284503266635926621574981254525482654571533203125	0.0004195465941092778035075017140087538791703991591930389404296875	0.017355827347350145928306375253669102676212787628173828125	-2.0011510629732823	9.69619299488512	RANBP2;RPS16;RPS29;RPL12;RPL22;RPL35A
Eukaryotic Translation Elongation_Homo sapiens_R-HSA-156842	5/89	0.0001498570141536872675318281533662911897408775985240936279296875	0.00687843694965424579113033587418613024055957794189453125	0.000325371321564487032441947977901008925982750952243804931640625	0.0149345436598099547131912601116709993220865726470947265625	-1.9464767331853299	9.692215861399331	RPS16;RPS29;RPL12;RPL22;RPL35A
Peptide chain elongation_Homo sapiens_R-HSA-156902	5/84	0.000113982144139695873333133213645140813241596333682537078857421875	0.00687843694965424579113033587418613024055957794189453125	0.000252120489954747012927016580619010710506699979305267333984375	0.0149345436598099547131912601116709993220865726470947265625	-1.9293894740942104	9.607132181349495	RPS16;RPS29;RPL12;RPL22;RPL35A
Viral mRNA Translation_Homo sapiens_R-HSA-192823	5/84	0.000113982144139695873333133213645140813241596333682537078857421875	0.00687843694965424579113033587418613024055957794189453125	0.000252120489954747012927016580619010710506699979305267333984375	0.0149345436598099547131912601116709993220865726470947265625	-1.8917509039020566	9.419716045930398	RPS16;RPS29;RPL12;RPL22;RPL35A
Selenocysteine synthesis_Homo sapiens_R-HSA-2408557	5/87	0.000134601631345303220273212918556282602366991341114044189453125	0.00687843694965424579113033587418613024055957794189453125	0.0002943618900865112059279937728462073209811933338642120361328125	0.0149345436598099547131912601116709993220865726470947265625	-1.8877103624725369	9.399596720040618	RPS16;RPS29;RPL12;RPL22;RPL35A
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)_Homo sapiens_R-HSA-975956	5/89	0.0001498570141536872675318281533662911897408775985240936279296875	0.00687843694965424579113033587418613024055957794189453125	0.000325371321564487032441947977901008925982750952243804931640625	0.0149345436598099547131912601116709993220865726470947265625	-1.8713631099810952	9.318197802094874	RPS16;RPS29;RPL12;RPL22;RPL35A
Eukaryotic Translation Termination_Homo sapiens_R-HSA-72764	5/87	0.000134601631345303220273212918556282602366991341114044189453125	0.00687843694965424579113033587418613024055957794189453125	0.0002943618900865112059279937728462073209811933338642120361328125	0.0149345436598099547131912601116709993220865726470947265625	-1.862647556755548	9.274799891514519	RPS16;RPS29;RPL12;RPL22;RPL35A
Disease_Homo sapiens_R-HSA-1643685	12/725	0.0008181083157220814076893145028179787914268672466278076171875	0.01502046867665741448905070143382545211352407932281494140625	0.0021445534372712404813654529789346270263195037841796875	0.039374001108299971907200642817770130932331085205078125	-2.178586677524391	9.14645070628441	RANBP2;JAG1;RPS16;PSMB2;ADAMTS1;RPS29;RPL12;RPL22;BGN;RPL35A;RBPJ;DCN
Formation of a pool of free 40S subunits_Homo sapiens_R-HSA-72689	5/96	0.0002138737236011514406507083574382477308972738683223724365234375	0.008180669927744042835282556325182667933404445648193359375	0.00045374712019216069912308508804699158645235002040863037109375	0.017355827347350145928306375253669102676212787628173828125	-1.8653790527329148	8.964976720730762	RPS16;RPS29;RPL12;RPL22;RPL35A
GTP hydrolysis and joining of the 60S ribosomal subunit_Homo sapiens_R-HSA-72706	5/107	0.0003541241015350106370769556196620442278799600899219512939453125	0.00903016458914277127256742261351973866112530231475830078125	0.00072835240402900343174852348937520218896679580211639404296875	0.0185729863027395865338053937421136652119457721710205078125	-1.877646588068278	8.838429262809283	RPS16;RPS29;RPL12;RPL22;RPL35A
SRP-dependent cotranslational protein targeting to membrane_Homo sapiens_R-HSA-1799339	5/107	0.0003541241015350106370769556196620442278799600899219512939453125	0.00903016458914277127256742261351973866112530231475830078125	0.00072835240402900343174852348937520218896679580211639404296875	0.0185729863027395865338053937421136652119457721710205078125	-1.8697853712056303	8.801425063189589	RPS16;RPS29;RPL12;RPL22;RPL35A
3' -UTR-mediated translational regulation_Homo sapiens_R-HSA-157279	5/106	0.0003390880813850112823586158139477220174740068614482879638671875	0.00903016458914277127256742261351973866112530231475830078125	0.000699237896376199950798646653993273503147065639495849609375	0.0185729863027395865338053937421136652119457721710205078125	-1.8626151393348693	8.767673457541127	RPS16;RPS29;RPL12;RPL22;RPL35A
L13a-mediated translational silencing of Ceruloplasmin expression_Homo sapiens_R-HSA-156827	5/106	0.0003390880813850112823586158139477220174740068614482879638671875	0.00903016458914277127256742261351973866112530231475830078125	0.000699237896376199950798646653993273503147065639495849609375	0.0185729863027395865338053937421136652119457721710205078125	-1.838480852407816	8.654068911739696	RPS16;RPS29;RPL12;RPL22;RPL35A
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)_Homo sapiens_R-HSA-975957	5/106	0.0003390880813850112823586158139477220174740068614482879638671875	0.00903016458914277127256742261351973866112530231475830078125	0.000699237896376199950798646653993273503147065639495849609375	0.0185729863027395865338053937421136652119457721710205078125	-1.7953053730389616	8.450833956496018	RPS16;RPS29;RPL12;RPL22;RPL35A
Nonsense-Mediated Decay (NMD)_Homo sapiens_R-HSA-927802	5/106	0.0003390880813850112823586158139477220174740068614482879638671875	0.00903016458914277127256742261351973866112530231475830078125	0.000699237896376199950798646653993273503147065639495849609375	0.0185729863027395865338053937421136652119457721710205078125	-1.788348663566986	8.418087440212979	RPS16;RPS29;RPL12;RPL22;RPL35A
Cap-dependent Translation Initiation_Homo sapiens_R-HSA-72737	5/114	0.00047396256113493395560609666716800347785465419292449951171875	0.0103594674076635563653159266550574102438986301422119140625	0.0009583161626728537753339143279163181432522833347320556640625	0.020946053269849516931255806184708490036427974700927734375	-1.835544102271001	8.388169387603545	RPS16;RPS29;RPL12;RPL22;RPL35A
Eukaryotic Translation Initiation_Homo sapiens_R-HSA-72613	5/114	0.00047396256113493395560609666716800347785465419292449951171875	0.0103594674076635563653159266550574102438986301422119140625	0.0009583161626728537753339143279163181432522833347320556640625	0.020946053269849516931255806184708490036427974700927734375	-1.826897565007639	8.348655970796194	RPS16;RPS29;RPL12;RPL22;RPL35A
Selenoamino acid metabolism_Homo sapiens_R-HSA-2408522	5/111	0.0004193678066982165528013559718800706832553260028362274169921875	0.0101310433302358622598138282455693115480244159698486328125	0.0008539759250742432090952593881638676975853741168975830078125	0.0206302605057409292610426376768373302184045314788818359375	-1.796375281276864	8.24922649385722	RPS16;RPS29;RPL12;RPL22;RPL35A
Translation_Homo sapiens_R-HSA-72766	5/151	0.00167514598867105697806156872076144281891174614429473876953125	0.0286156993796206383928737437827294343151152133941650390625	0.0031625846935700008787095693918445249437354505062103271484375	0.053763939790690017106467024632365792058408260345458984375	-1.839037786485593	6.535572085448126	RPS16;RPS29;RPL12;RPL22;RPL35A
Infectious disease_Homo sapiens_R-HSA-5663205	7/348	0.003636173073408514866411422872261027805507183074951171875	0.05563344802315027537442659877342521212995052337646484375	0.00731925079120917566888326888374649570323526859283447265625	0.10948212373689968079926160271497792564332485198974609375	-2.1502114188815	6.211897735175034	RANBP2;RPS16;PSMB2;RPS29;RPL12;RPL22;RPL35A
Protein folding_Homo sapiens_R-HSA-391251	4/101	0.002589346546182557697035608867963674128986895084381103515625	0.042446788024921210114026592918889946304261684417724609375	0.0045234483236362421632037467134068720042705535888671875	0.07266993881599441429397501224229927174746990203857421875	-1.7736319653658381	5.60379734938565	GNAI3;PFDN1;TBCB;TUBB4B
Processing of Capped Intron-Containing Pre-mRNA_Homo sapiens_R-HSA-72203	5/193	0.0048127791987485797620127669915746082551777362823486328125	0.06733152833395435188368338685904745943844318389892578125	0.00861493509441370319823505496970028616487979888916015625	0.1130830389742775443639999366496340371668338775634765625	-1.9118878769575034	5.158515685264898	RANBP2;SF3B1;SRSF11;RBM5;SNRPB
Muscle contraction_Homo sapiens_R-HSA-397014	5/196	0.005134212400192597787473847148476124857552349567413330078125	0.06733152833395435188368338685904745943844318389892578125	0.00916071263173584733607857089054959942586719989776611328125	0.11679908605463205917285307577913044951856136322021484375	-1.8265180363297104	4.9281770408105805	ANXA1;CALD1;DMD;SRI;SCN1B
Metabolism of proteins_Homo sapiens_R-HSA-392499	13/1074	0.00759276925581991481151167278085267753340303897857666015625	0.0850019777663741649131878830303321592509746551513671875	0.01840711733658441373595593404388637281954288482666015625	0.172425854234535658182636552737676538527011871337890625	-1.8307952273134758	4.513058081054993	RANBP2;TMED10;RPL12;RPL22;GNAI3;RPL35A;TBCB;TUBB4B;CST3;RPS16;ADAMTS1;RPS29;PFDN1
mRNA Splicing - Major Pathway_Homo sapiens_R-HSA-72163	4/134	0.00706737339144306898897074376009186380542814731597900390625	0.0810981096668092205081990186954499222338199615478515625	0.0117096124470968780684199117558819125406444072723388671875	0.1343678028304366722789353616462904028594493865966796875	-1.6803048865274417	4.221086557141438	SF3B1;RBM5;SRSF11;SNRPB
Metabolism of amino acids and derivatives_Homo sapiens_R-HSA-71291	6/335	0.01195086293576752556333531174459494650363922119140625	0.1097089217503458835611951371902250684797763824462890625	0.0215410178030379269309424472567116026766598224639892578125	0.17976958493808015138171185753890313208103179931640625	-1.871967037766636	4.136905981655812	RPS16;PSMB2;RPS29;RPL12;RPL22;RPL35A
mRNA Splicing_Homo sapiens_R-HSA-72172	4/144	0.00905897019736174972937003957440538215450942516326904296875	0.09391761539126573798963448780341423116624355316162109375	0.01482206431389988289526460363276783027686178684234619140625	0.1478984243495662098677456697259913198649883270263671875	-1.679346764646594	3.972221563902941	SF3B1;RBM5;SRSF11;SNRPB
Loss of Nlp from mitotic centrosomes_Homo sapiens_R-HSA-380259	3/69	0.007019627543853187816302874324492222513072192668914794921875	0.0810981096668092205081990186954499222338199615478515625	0.0109595969837168703830965199585989466868340969085693359375	0.1289860260391293145243452045178855769336223602294921875	-1.4982808756252273	3.763824835380829	CEP57;ALMS1;TUBB4B
Loss of proteins required for interphase microtubule organization from the centrosome_Homo sapiens_R-HSA-380284	3/69	0.007019627543853187816302874324492222513072192668914794921875	0.0810981096668092205081990186954499222338199615478515625	0.0109595969837168703830965199585989466868340969085693359375	0.1289860260391293145243452045178855769336223602294921875	-1.4908018814329471	3.745036886777516	CEP57;ALMS1;TUBB4B
Chondroitin sulfate biosynthesis_Homo sapiens_R-HSA-2022870	2/20	0.005625189094465013993351387711072675301693379878997802734375	0.07172116095442893080047497278428636491298675537109375	0.00862288968213445299049180192696439917199313640594482421875	0.1130830389742775443639999366496340371668338775634765625	-1.4059708628702643	3.704690261493696	BGN;DCN
Post-chaperonin tubulin folding pathway_Homo sapiens_R-HSA-389977	2/22	0.006788926971288575425156341935917225782759487628936767578125	0.0810981096668092205081990186954499222338199615478515625	0.01021841907781206697236608960110970656387507915496826171875	0.126763631262587550541098835310549475252628326416015625	-1.4556717676492934	3.656786681572505	TBCB;TUBB4B
AURKA Activation by TPX2_Homo sapiens_R-HSA-8854518	3/72	0.00789356024810156271798167182396355201490223407745361328125	0.08626533699710993430276317894822568632662296295166015625	0.01224199631122177035769116315577775822021067142486572265625	0.1370506416305071473171750540132052265107631683349609375	-1.489537784735712	3.649855275012088	CEP57;ALMS1;TUBB4B
Recruitment of mitotic centrosome proteins and complexes_Homo sapiens_R-HSA-380270	3/79	0.01017308104459714417078242121306175249628722667694091796875	0.095294779581022226455644386078347451984882354736328125	0.015557780144792109078277775324750109575688838958740234375	0.1487712726345745417599886195603176020085811614990234375	-1.5288922641557816	3.594089736838358	CEP57;ALMS1;TUBB4B
Centrosome maturation_Homo sapiens_R-HSA-380287	3/79	0.01017308104459714417078242121306175249628722667694091796875	0.095294779581022226455644386078347451984882354736328125	0.015557780144792109078277775324750109575688838958740234375	0.1487712726345745417599886195603176020085811614990234375	-1.519700396077561	3.5724816749121984	CEP57;ALMS1;TUBB4B
CS/DS degradation_Homo sapiens_R-HSA-2024101	2/14	0.0027543859872317297786403766934881787165068089962005615234375	0.043595281659978064869864766706086811609566211700439453125	0.00459134689687110651712398379231672151945531368255615234375	0.07266993881599441429397501224229927174746990203857421875	-1.139524190039238	3.5699086222837844	BGN;DCN
G2/M Transition_Homo sapiens_R-HSA-69275	4/173	0.0167952242881251045947266220537130720913410186767578125	0.135245753478060060093213223808561451733112335205078125	0.026639495365723429853854753446285030804574489593505859375	0.21081945470460439207016634100000374019145965576171875	-1.7265439450232136	3.454230446598404	CEP57;PSMB2;ALMS1;TUBB4B
Mitotic G2-G2/M phases_Homo sapiens_R-HSA-453274	4/175	0.0174435360843847343803592053745887824334204196929931640625	0.137192760177217432104868066744529642164707183837890625	0.0276148239434908480960384480340508162043988704681396484375	0.2148339693230898184150845509066130034625530242919921875	-1.728340471860095	3.4331207827579755	CEP57;PSMB2;ALMS1;TUBB4B
Defective B4GALT7 causes EDS, progeroid type_Homo sapiens_R-HSA-3560783	2/19	0.005081335493259686759970339409164807875640690326690673828125	0.06733152833395435188368338685904745943844318389892578125	0.00787126379807775479469089674466886208392679691314697265625	0.10948212373689968079926160271497792564332485198974609375	-1.2399467984569421	3.3455335356343716	BGN;DCN
Defective B3GAT3 causes JDSSDHD_Homo sapiens_R-HSA-3560801	2/19	0.005081335493259686759970339409164807875640690326690673828125	0.06733152833395435188368338685904745943844318389892578125	0.00787126379807775479469089674466886208392679691314697265625	0.10948212373689968079926160271497792564332485198974609375	-1.2177754603907305	3.2857124569213934	BGN;DCN
Defective B3GALT6 causes EDSP2 and SEMDJL1_Homo sapiens_R-HSA-4420332	2/19	0.005081335493259686759970339409164807875640690326690673828125	0.06733152833395435188368338685904745943844318389892578125	0.00787126379807775479469089674466886208392679691314697265625	0.10948212373689968079926160271497792564332485198974609375	-1.1887218837707751	3.2073222267654353	BGN;DCN
Prefoldin mediated transfer of substrate  to CCT/TriC_Homo sapiens_R-HSA-389957	2/27	0.01012797541484370018871619123501659487374126911163330078125	0.095294779581022226455644386078347451984882354736328125	0.01472649164531560257718201256693646428175270557403564453125	0.1478984243495662098677456697259913198649883270263671875	-1.3363176091510702	3.1413890414693495	PFDN1;TUBB4B
Diseases of glycosylation_Homo sapiens_R-HSA-3781865	3/88	0.0136114153607631051257076393312672735191881656646728515625	0.119442835882188791440938757659750990569591522216796875	0.0204966723168834887014444490205278270877897739410400390625	0.1775089168575381404213686664661508984863758087158203125	-1.4512627908774147	3.083813531462524	ADAMTS1;BGN;DCN
Gene Expression_Homo sapiens_R-HSA-74160	16/1631	0.0209800870127291629041454967818935983814299106597900390625	0.1604976656473780793898953334064572118222713470458984375	0.051734078932285564034199154548332444392144680023193359375	0.289828615752289853180201362192747183144092559814453125	-1.678948346944549	3.071595505795278	RANBP2;RIOK3;RPL12;RPL22;RPL35A;RBPJ;AR;RPS16;PSMB2;RPS29;CYCS;SF3B1;SKIV2L2;RBM5;SRSF11;SNRPB
Chaperonin-mediated protein folding_Homo sapiens_R-HSA-390466	3/95	0.0166895993990645204185785388517615501768887042999267578125	0.135245753478060060093213223808561451733112335205078125	0.024868956488845357644112965544991311617195606231689453125	0.2038366255067860510763466663775034248828887939453125	-1.5180475481655373	3.0370996784486444	GNAI3;PFDN1;TUBB4B
A tetrasaccharide linker sequence is required for GAG synthesis_Homo sapiens_R-HSA-1971475	2/26	0.009412222893242318255691003514584735967218875885009765625	0.09391761539126573798963448780341423116624355316162109375	0.01376713936511639833903952734317499562166631221771240234375	0.1436162947406460499433222821608069352805614471435546875	-1.2834450705627318	3.0357805146021035	BGN;DCN
Regulation of PLK1 Activity at G2/M Transition_Homo sapiens_R-HSA-2565942	3/87	0.01320071172467252550164484858896685182116925716400146484375	0.11880640552205272431063320937028038315474987030029296875	0.01991005837657398858109303318997262977063655853271484375	0.175980472283649047593456771210185252130031585693359375	-1.4098399333856149	3.0033255530108467	CEP57;ALMS1;TUBB4B
Extracellular matrix organization_Homo sapiens_R-HSA-1474244	5/283	0.022322765852610747250306388878016150556504726409912109375	0.167969664366366122632001633974141441285610198974609375	0.036926665689303923845177024531949427910149097442626953125	0.2637918255894320385124274253030307590961456298828125	-1.6467639640561076	2.937780613323447	COL1A2;ADAMTS1;BGN;DMD;DCN
Diseases associated with glycosaminoglycan metabolism_Homo sapiens_R-HSA-3560782	2/26	0.009412222893242318255691003514584735967218875885009765625	0.09391761539126573798963448780341423116624355316162109375	0.01376713936511639833903952734317499562166631221771240234375	0.1436162947406460499433222821608069352805614471435546875	-1.2319216112956313	2.913910153902227	BGN;DCN
Signaling by NOTCH2_Homo sapiens_R-HSA-1980145	2/32	0.01405209833908103479738205265903161489404737949371337890625	0.119442835882188791440938757659750990569591522216796875	0.01993678553104520634331464634669828228652477264404296875	0.175980472283649047593456771210185252130031585693359375	-1.3435132190807182	2.854854593353835	JAG1;RBPJ
FGFR2 alternative splicing_Homo sapiens_R-HSA-6803529	2/26	0.009412222893242318255691003514584735967218875885009765625	0.09391761539126573798963448780341423116624355316162109375	0.01376713936511639833903952734317499562166631221771240234375	0.1436162947406460499433222821608069352805614471435546875	-1.1963111036111695	2.8296792913409035	TIA1;RBFOX2
Anchoring of the basal body to the plasma membrane_Homo sapiens_R-HSA-5620912	3/97	0.017634799238465857784685653086853562854230403900146484375	0.137192760177217432104868066744529642164707183837890625	0.0262037067964357543725650856458742055110633373260498046875	0.21081945470460439207016634100000374019145965576171875	-1.4039791321831638	2.788819689021722	CEP57;ALMS1;TUBB4B
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding_Homo sapiens_R-HSA-389958	2/32	0.01405209833908103479738205265903161489404737949371337890625	0.119442835882188791440938757659750990569591522216796875	0.01993678553104520634331464634669828228652477264404296875	0.175980472283649047593456771210185252130031585693359375	-1.276337646369665	2.712112051195191	PFDN1;TUBB4B
Dermatan sulfate biosynthesis_Homo sapiens_R-HSA-2022923	2/11	0.00168327643409533177221160116232567816041409969329833984375	0.0286156993796206383928737437827294343151152133941650390625	0.0030215048481550036384157831292895934893749654293060302734375	0.0533411817424287171274244201413239352405071258544921875	-0.7239931916417197	2.5729268469194593	BGN;DCN
Smooth Muscle Contraction_Homo sapiens_R-HSA-445355	2/33	0.01490405155610716701752860302576664253138005733489990234375	0.12438108480460345617313322463814984075725078582763671875	0.021058891253690974199042074133103596977889537811279296875	0.1790005756563732841613045820849947631359100341796875	-1.1147908556891348	2.3236758137564073	ANXA1;CALD1
PLC beta mediated events_Homo sapiens_R-HSA-112043	2/44	0.02565243350570066416249659368986613117158412933349609375	0.18991075772768717389027415265445597469806671142578125	0.035026942417432961607293151473641046322882175445556640625	0.2637918255894320385124274253030307590961456298828125	-1.3987895814052647	2.323670670070792	PRKAR2A;GNAI3
G-protein mediated events_Homo sapiens_R-HSA-112040	2/45	0.026748048005616260891503799257407081313431262969970703125	0.1913778963781360420437493985446053557097911834716796875	0.0364354188371734111218103180362959392368793487548828125	0.2637918255894320385124274253030307590961456298828125	-1.382145121338936	2.285384270441593	PRKAR2A;GNAI3
Formation of the ternary complex, and subsequently, the 43S complex_Homo sapiens_R-HSA-72695	2/50	0.0325013256927506877236311311207828111946582794189453125	0.2101142041263741599976810903172008693218231201171875	0.0437960667109057733004107149099581874907016754150390625	0.28122469345022782505338909686543047428131103515625	-1.3630297776167657	2.1264682993833732	RPS16;RPS29
Chondroitin sulfate/dermatan sulfate metabolism_Homo sapiens_R-HSA-1793185	2/50	0.0325013256927506877236311311207828111946582794189453125	0.2101142041263741599976810903172008693218231201171875	0.0437960667109057733004107149099581874907016754150390625	0.28122469345022782505338909686543047428131103515625	-1.292247573964019	2.016040695599662	BGN;DCN
Metabolism of non-coding RNA_Homo sapiens_R-HSA-194441	2/50	0.0325013256927506877236311311207828111946582794189453125	0.2101142041263741599976810903172008693218231201171875	0.0437960667109057733004107149099581874907016754150390625	0.28122469345022782505338909686543047428131103515625	-1.2624870390214558	1.9696111640022642	RANBP2;SNRPB
snRNP Assembly_Homo sapiens_R-HSA-191859	2/50	0.0325013256927506877236311311207828111946582794189453125	0.2101142041263741599976810903172008693218231201171875	0.0437960667109057733004107149099581874907016754150390625	0.28122469345022782505338909686543047428131103515625	-1.2406199347203213	1.9354962056504545	RANBP2;SNRPB
Ribosomal scanning and start codon recognition_Homo sapiens_R-HSA-72702	2/57	0.041283779188150904193577162004658021032810211181640625	0.217807524682313402575317695664125494658946990966796875	0.054934835665466703880088772393719409592449665069580078125	0.289828615752289853180201362192747183144092559814453125	-1.2229889243152954	1.8640106446295777	RPS16;RPS29
Antigen processing: Ubiquitination & Proteasome degradation_Homo sapiens_R-HSA-983168	4/260	0.060065059422849065295935133690363727509975433349609375	0.28021428534188519421377350226975977420806884765625	0.08897345162503973725609540679215569980442523956298828125	0.36796046483870858967435424347058869898319244384765625	-1.4498417910868326	1.844489688905063	UBE2W;WSB1;PSMB2;UBE2L3
Heparan sulfate/heparin (HS-GAG) metabolism_Homo sapiens_R-HSA-1638091	2/54	0.0374200224256713287473985474207438528537750244140625	0.217807524682313402575317695664125494658946990966796875	0.050047482035539152256387041006746585480868816375732421875	0.289828615752289853180201362192747183144092559814453125	-1.1747455074056536	1.790480753340316	BGN;DCN
Translation initiation complex formation_Homo sapiens_R-HSA-72649	2/57	0.041283779188150904193577162004658021032810211181640625	0.217807524682313402575317695664125494658946990966796875	0.054934835665466703880088772393719409592449665069580078125	0.289828615752289853180201362192747183144092559814453125	-1.1658085850453144	1.776859601031658	RPS16;RPS29
mRNA Splicing - Minor Pathway_Homo sapiens_R-HSA-72165	2/52	0.03492663777786507439682139875003485940396785736083984375	0.2166395505410819988245663125780993141233921051025390625	0.046882903178399958077360309971481910906732082366943359375	0.289828615752289853180201362192747183144092559814453125	-1.137612204585527	1.7400010331819473	SF3B1;SNRPB
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer_Homo sapiens_R-HSA-2894858	2/57	0.041283779188150904193577162004658021032810211181640625	0.217807524682313402575317695664125494658946990966796875	0.054934835665466703880088772393719409592449665069580078125	0.289828615752289853180201362192747183144092559814453125	-1.1227395582844755	1.7112162229601957	JAG1;RBPJ
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S_Homo sapiens_R-HSA-72662	2/58	0.04260379086560898975744038352786446921527385711669921875	0.222217500083119634535222530757891945540904998779296875	0.05660023269740017959339439812538330443203449249267578125	0.291904570877603131151545312604866921901702880859375	-1.1303660218020226	1.7001820035867123	RPS16;RPS29
Metabolism_Homo sapiens_R-HSA-1430728	16/1908	0.07048828378817413586876483577725593931972980499267578125	0.2937248607300635416805789645877666771411895751953125	0.15574966583969374056550805107690393924713134765625	0.502644683965144611903497207094915211200714111328125	-1.3762174602577388	1.6860202467341208	RANBP2;RPL12;RPL22;BGN;RPL35A;DCN;MED13L;PLA2G16;RPS16;PSMB2;RPS29;PRKAR2A;CRYL1;CYCS;CIAPIN1;HMOX2
Signaling by NOTCH1 PEST Domain Mutants in Cancer_Homo sapiens_R-HSA-2644602	2/57	0.041283779188150904193577162004658021032810211181640625	0.217807524682313402575317695664125494658946990966796875	0.054934835665466703880088772393719409592449665069580078125	0.289828615752289853180201362192747183144092559814453125	-1.0953965960188796	1.6695416241920096	JAG1;RBPJ
