Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
mRNA processing_Mus musculus_WP310	17/398	0.0000000000948283066831718686905949192457172640391416251759437727741897106170654296875	0.0000000104311137351489050906763465559508319291381894799997098743915557861328125	0.0000000770091069218142690422476866196621614335526828654110431671142578125	0.00000847100176139956980640548234173792252477142028510570526123046875	-2.136129110316436	39.25879073359661	RBM39;TIA1;RBFOX2;TMED10;RPL12;RPL22;FXR1;SFPQ;RPS29;G3BP1;RBMS1;SREK1;TARDBP;SF3B1;SRSF11;RBM5;SNRPB
mRNA Processing_Homo sapiens_WP411	7/127	0.000007793916564160492820479038400538485120705445297062397003173828125	0.0004286654110288270797153586944006065095891244709491729736328125	0.00019252917945706228748138644224496829338022507727146148681640625	0.0105891048701384250796397878957577631808817386627197265625	-1.9410572728113522	15.052576684767399	RBM39;SFPQ;TMED10;SREK1;SF3B1;RBM5;SNRPB
Cytoplasmic Ribosomal Proteins_Mus musculus_WP163	5/70	0.0000475789329346242248507982408600724966163397766649723052978515625	0.00174456087426955500606362559068429618491791188716888427734375	0.000561314195313562347249003448013127126614563167095184326171875	0.020581520494830619905091140253716730512678623199462890625	-1.9718776136738725	12.523892432227617	RPS16;RPS29;RPL12;RPL22;RPL35A
Cytoplasmic Ribosomal Proteins_Homo sapiens_WP477	5/89	0.0001498570141536872675318281533662911897408775985240936279296875	0.004121067889226399938440437153985840268433094024658203125	0.00156553965705286319588795951318616062053479254245758056640625	0.043052340568953739730062579837976954877376556396484375	-1.9239236261741288	10.565501623389405	RPS16;RPS29;RPL12;RPL22;RPL35A
NOTCH1 regulation of human endothelial cell calcification_Homo sapiens_WP3413	2/17	0.0040711699662395912924228724705244530923664569854736328125	0.08956573925727100149440929044430959038436412811279296875	0.0126833968576265838923422535344798234291374683380126953125	0.27903473086778485257042348166578449308872222900390625	-1.8245367811373208	4.402210245514331	JAG1;LPAR1
TNF-alpha NF-kB Signaling Pathway_Mus musculus_WP246	4/179	0.0187866190837978896954751917292014695703983306884765625	0.194845768536607011345296314175357110798358917236328125	0.08506839108570575513912359610912972129881381988525390625	0.7001690848331934002857224186300300061702728271484375	-2.0382904439023823	3.3337197471738804	KPNA6;TNFAIP3;MAP2K5;GLG1
Ectoderm Differentiation_Homo sapiens_WP2858	4/139	0.00802257763432571817385774437525469693355262279510498046875	0.147080589962638175194342693430371582508087158203125	0.040905036750676859735875723345088772475719451904296875	0.62517569546034923444466357977944426238536834716796875	-1.7203495024787112	3.2975222490665113	PTPRB;DMD;NR2F2;PTPN13
Apoptosis Modulation and Signaling_Homo sapiens_WP1772	3/93	0.0157736839048229250670463130745702073909342288970947265625	0.194845768536607011345296314175357110798358917236328125	0.0568341541327590238363853814007597975432872772216796875	0.62517569546034923444466357977944426238536834716796875	-1.8866110082608776	3.085640906716691	CYCS;PTPN13;MCL1
Apoptosis_Homo sapiens_WP254	3/86	0.01279722065308231022939811083460881491191685199737548828125	0.194845768536607011345296314175357110798358917236328125	0.047210708125361898479521727267638198100030422210693359375	0.62517569546034923444466357977944426238536834716796875	-1.848255113912597	3.0229080401657535	SCAF11;CYCS;MCL1
Nuclear Receptors_Mus musculus_WP509	2/37	0.01852658678247241785808085978715098462998867034912109375	0.194845768536607011345296314175357110798358917236328125	0.04895262067182708232149224159002187661826610565185546875	0.62517569546034923444466357977944426238536834716796875	-1.6499900188167662	2.6986361658244085	AR;NR2F2
