Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Prostate cancer_Homo sapiens_hsa05215	4/89	0.004017984279209292457213376081881506252102553844451904296875	0.1915239173089762492185883502315846271812915802001953125	0.009752539525160149047611213291020249016582965850830078125	0.464871050699300403241664980669156648218631744384765625	-1.9266904706081152	3.1843233861831663	TCF7L2;AR;HSP90AB1;CREB3L2
TGF-beta signaling pathway_Homo sapiens_hsa04350	4/84	0.003264732399497878578831233653545496053993701934814453125	0.1915239173089762492185883502315846271812915802001953125	0.0080543439527910216935158160822538775391876697540283203125	0.464871050699300403241664980669156648218631744384765625	-1.8442135214154163	3.048010220087287	ROCK1;ID2;LTBP1;DCN
Ribosome_Homo sapiens_hsa03010	5/137	0.0032472829023220926847326239794711000286042690277099609375	0.1915239173089762492185883502315846271812915802001953125	0.008964168595416537044240357090529869310557842254638671875	0.464871050699300403241664980669156648218631744384765625	-1.7461380490451637	2.8859167104946515	RPS29;RPL12;RPL22;RPL35A;RPL15
Pathways in cancer_Homo sapiens_hsa05200	8/397	0.00848625434647650757347125960450284765101969242095947265625	0.303383592886535158328342731692828238010406494140625	0.0286250418321213236094724408076217514462769031524658203125	0.72329951524228397463645023890421725809574127197265625	-2.0296989389536892	2.420938208032523	AR;TCF7L2;HSP90AB1;ROCK1;COL4A1;LPAR1;GNAI3;CYCS
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	6/341	0.03819884281891812449760692516065319068729877471923828125	0.477995374239639614355468211215338669717311859130859375	0.09248842528519572725453912198645411990582942962646484375	0.72329951524228397463645023890421725809574127197265625	-1.8336988563470111	1.3535525561005979	COL1A2;HSP90AB1;COL4A1;CREB3L2;LPAR1;MCL1
Estrogen signaling pathway_Homo sapiens_hsa04915	3/99	0.035351778881293489942283514437804115004837512969970703125	0.477995374239639614355468211215338669717311859130859375	0.0645021942334152165177130200390820391476154327392578125	0.72329951524228397463645023890421725809574127197265625	-1.755200560668426	1.2956087075796048	HSP90AB1;CREB3L2;GNAI3
Melanogenesis_Homo sapiens_hsa04916	3/100	0.03625737964659070389217276897397823631763458251953125	0.477995374239639614355468211215338669717311859130859375	0.06602288216352590610735973086775629781186580657958984375	0.72329951524228397463645023890421725809574127197265625	-1.7396212533218292	1.2841087760568943	TCF7L2;CREB3L2;GNAI3
Spliceosome_Homo sapiens_hsa03040	4/134	0.016477527564717035779562337438619579188525676727294921875	0.4712572883509071886010133312083780765533447265625	0.035798730488340348154796544122291379608213901519775390625	0.72329951524228397463645023890421725809574127197265625	-1.6980203719263425	1.2775074510749038	SF3A1;TXNL4A;SF3B1;SNRPB
RNA transport_Homo sapiens_hsa03013	4/172	0.0366992986124624331889521045013680122792720794677734375	0.477995374239639614355468211215338669717311859130859375	0.07443570659549790524689427684279507957398891448974609375	0.72329951524228397463645023890421725809574127197265625	-1.6731210286270586	1.2350213543107813	FXR1;RANBP2;PNN;KPNB1
Gap junction_Homo sapiens_hsa04540	3/88	0.0261823512507796292425599204989339341409504413604736328125	0.477995374239639614355468211215338669717311859130859375	0.0488980803277659636929541875360882841050624847412109375	0.72329951524228397463645023890421725809574127197265625	-1.6530655824576512	1.2202173420094278	GNAI3;LPAR1;MAP2K5
