Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Processing of Capped Intron-Containing Pre-mRNA_Homo sapiens_R-HSA-72203	8/193	0.00008391844516897223348918244401062338511110283434391021728515625	0.008161026317557350251430392518159351311624050140380859375	0.000243150937160756253074822552662226371467113494873046875	0.022293310698592701257769732592350919730961322784423828125	-2.1414550991573673	10.296941312989711	RANBP2;SF3A1;HNRNPUL1;TXNL4A;SF3B1;SRSF11;RBM5;SNRPB
Influenza Life Cycle_Homo sapiens_R-HSA-168255	7/136	0.0000609550105599916442096486424162549155880697071552276611328125	0.008161026317557350251430392518159351311624050140380859375	0.00017212123609388482671674058810395990803954191505908966064453125	0.022293310698592701257769732592350919730961322784423828125	-2.0823312239007947	10.01265093774299	RANBP2;RPS29;RPL12;RPL22;RPL35A;RPL15;KPNB1
Influenza Infection_Homo sapiens_R-HSA-168254	7/147	0.00009952471118972378884282026234586737700738012790679931640625	0.008161026317557350251430392518159351311624050140380859375	0.0002718696426657646217188435411316049794550053775310516357421875	0.022293310698592701257769732592350919730961322784423828125	-2.049497638404071	9.854774406459272	RANBP2;RPS29;RPL12;RPL22;RPL35A;RPL15;KPNB1
mRNA Splicing_Homo sapiens_R-HSA-72172	7/144	0.000087446227829937454335829105644961600773967802524566650390625	0.008161026317557350251430392518159351311624050140380859375	0.00024094725429599556554456640800054856299539096653461456298828125	0.022293310698592701257769732592350919730961322784423828125	-1.987893881001458	9.558559802247416	SF3A1;HNRNPUL1;TXNL4A;SF3B1;RBM5;SRSF11;SNRPB
mRNA Splicing - Major Pathway_Homo sapiens_R-HSA-72163	7/134	0.0000554827361027443257432238687965053713924135081470012664794921875	0.008161026317557350251430392518159351311624050140380859375	0.00015768989478929897117380487525650778479757718741893768310546875	0.022293310698592701257769732592350919730961322784423828125	-1.9877724751840646	9.557976036294422	SF3A1;HNRNPUL1;TXNL4A;SF3B1;RBM5;SRSF11;SNRPB
Disease_Homo sapiens_R-HSA-1643685	14/725	0.0008149565689931147043079118219566225889138877391815185546875	0.018012325513889267114553405235710670240223407745361328125	0.002677407713160748041480996306518136407248675823211669921875	0.04233572627127595022766826104998472146689891815185546875	-2.259388476909694	9.075283446319013	RANBP2;TCF7L2;JAG1;HSP90AB1;RPL12;RPL22;BGN;RPL35A;RBPJ;DCN;ADAMTS1;RPS29;RPL15;KPNB1
Influenza Viral RNA Transcription and Replication_Homo sapiens_R-HSA-168273	6/128	0.000343680523751673720582455739958049889537505805492401123046875	0.01393512905313492623859961128118811757303774356842041015625	0.000822388848261481632782865514030845588422380387783050537109375	0.030977630161967244226683959595902706496417522430419921875	-2.031904129491013	8.6830219819419	RANBP2;RPS29;RPL12;RPL22;RPL35A;RPL15
Major pathway of rRNA processing in the nucleolus_Homo sapiens_R-HSA-6791226	7/166	0.00021146715132039397276077219434142762111150659620761871337890625	0.01393512905313492623859961128118811757303774356842041015625	0.00055005834327797524345438073822833757731132209300994873046875	0.030977630161967244226683959595902706496417522430419921875	-2.005887924530424	8.571845831315105	RPS29;RIOK3;RPL12;RPL22;RPL35A;RPL15;SKIV2L2
rRNA processing_Homo sapiens_R-HSA-72312	7/180	0.0003462001265088756533742919696550188746186904609203338623046875	0.01393512905313492623859961128118811757303774356842041015625	0.00087302492784251096123726565423339707194827497005462646484375	0.030977630161967244226683959595902706496417522430419921875	-1.973130381256492	8.431861634130952	RPS29;RIOK3;RPL12;RPL22;RPL35A;RPL15;SKIV2L2
Eukaryotic Translation Elongation_Homo sapiens_R-HSA-156842	5/89	0.0004758336749850950483757550113494971810723654925823211669921875	0.01393512905313492623859961128118811757303774356842041015625	0.0010577727372379059321561012296797343879006803035736083984375	0.030977630161967244226683959595902706496417522430419921875	-1.9022544255640512	8.128984410576727	RPS29;RPL12;RPL22;RPL35A;RPL15
Peptide chain elongation_Homo sapiens_R-HSA-156902	5/84	0.0003643011760754123686163741258070558615145273506641387939453125	0.01393512905313492623859961128118811757303774356842041015625	0.000825933073340808193534001713231873509357683360576629638671875	0.030977630161967244226683959595902706496417522430419921875	-1.8842996246706178	8.052257399407099	RPS29;RPL12;RPL22;RPL35A;RPL15
Viral mRNA Translation_Homo sapiens_R-HSA-192823	5/84	0.0003643011760754123686163741258070558615145273506641387939453125	0.01393512905313492623859961128118811757303774356842041015625	0.000825933073340808193534001713231873509357683360576629638671875	0.030977630161967244226683959595902706496417522430419921875	-1.8474543278724354	7.894804831942739	RPS29;RPL12;RPL22;RPL35A;RPL15
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)_Homo sapiens_R-HSA-975956	5/89	0.0004758336749850950483757550113494971810723654925823211669921875	0.01393512905313492623859961128118811757303774356842041015625	0.0010577727372379059321561012296797343879006803035736083984375	0.030977630161967244226683959595902706496417522430419921875	-1.8453247499468808	7.885704416390909	RPS29;RPL12;RPL22;RPL35A;RPL15
Selenocysteine synthesis_Homo sapiens_R-HSA-2408557	5/87	0.0004285151275936917151555827221187655595713295042514801025390625	0.01393512905313492623859961128118811757303774356842041015625	0.000959894532557867795341532968222963972948491573333740234375	0.030977630161967244226683959595902706496417522430419921875	-1.8442323708652095	7.881036306591289	RPS29;RPL12;RPL22;RPL35A;RPL15
Eukaryotic Translation Termination_Homo sapiens_R-HSA-72764	5/87	0.0004285151275936917151555827221187655595713295042514801025390625	0.01393512905313492623859961128118811757303774356842041015625	0.000959894532557867795341532968222963972948491573333740234375	0.030977630161967244226683959595902706496417522430419921875	-1.8366867638455793	7.848791344504935	RPS29;RPL12;RPL22;RPL35A;RPL15
Formation of a pool of free 40S subunits_Homo sapiens_R-HSA-72689	5/96	0.000672913141670015697674844812326000464963726699352264404296875	0.018012325513889267114553405235710670240223407745361328125	0.00145942748926235015514973891725958310416899621486663818359375	0.039891018039837571051986486736495862714946269989013671875	-1.8401546230007546	7.391347242607733	RPS29;RPL12;RPL22;RPL35A;RPL15
