Genes,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL
RALGDS,39.0293848,40.05936669,44.30289212,37.49674298,39.69750768,49.92536588,49.88390429,47.39283781
INADL,4.746610715,3.792164287,3.286380978,3.548843545,5.409024139,5.494356407,4.408144257,5.94320901
LGALS3,10.7210446,8.604075735,8.360684111,5.077129072,6.20275993,5.420460163,6.20891279,10.83884902
AQP1,21.22964414,50.2761593,16.70510568,24.84905468,29.85319827,13.97479704,39.85803483,33.68980109
NDRG4,167.7536361,163.5402956,170.4511069,142.8700514,108.9142061,97.44890619,81.90876682,86.72845522
CEBPB,14.79635243,16.30998236,22.64144525,13.97565823,13.78654877,14.79635243,30.3058506,21.15237375
RGS1,20.22033119,76.02197559,62.82387998,12.50600662,36.06091657,30.32137192,30.4749573,125.4975725
ELAVL3,28.43688244,33.47132581,26.40506913,22.99249009,39.07624254,34.23867413,25.157179,36.97834883
PNMA6A,13.51797034,16.09564458,17.78800039,15.25341237,14.0170927,10.33033093,11.11586252,10.0450828
ITGB5,7.018410631,7.018410631,9.566435837,7.751378016,8.905047672,8.681430668,8.149607975,7.751378016
PYROXD1,15.11700312,13.82932038,14.80578108,10.25572466,10.39007478,15.73364664,13.66498383,14.80578108
AIG1,24.2138421,15.93299482,14.64935152,19.41292956,20.62237383,15.93760713,13.72959808,14.87000865
OR2L13,1.068094764,1.39850088,1.293304702,1.39850088,1.606645551,0.984727343,1.113377704,1.266758913
UBE2G2,8.461645164,10.50115399,9.871964434,8.892459654,8.461645164,8.461645164,8.942513851,11.30528188
EML3,8.185851581,6.070240014,7.594635587,6.220328836,6.169997132,6.921346183,7.645242219,7.239720831
CHI3L1,24.58724179,62.72580709,8.611968379,49.2918395,27.79026227,9.814208038,48.50959682,100.051831
CHMP5,19.61668146,19.21936792,20.57599263,20.13988127,28.42663033,22.63784137,22.04408513,27.5512625
KIAA1841,54.93925575,41.5535687,40.03016485,36.61614326,48.51270574,54.93925575,38.18051759,69.97591318
SERPINA3,13.23801559,46.56112426,9.037393472,47.96153194,14.86471164,14.25268808,27.84434422,64.53638757
GFAP,146.8363798,412.5756194,350.5756194,207.7102108,335.5756194,255.0271491,374.6311967,352.7775611
DLG5,14.10272664,14.72036645,22.94370469,9.279335677,8.816908611,9.707555804,17.89520296,3.757508052
MTFP1,6.070321682,5.337527573,5.337527573,6.002459384,7.033782249,5.337527573,6.830231684,7.310910889
SERP1,11.10101899,16.07218816,13.62086583,14.77385857,11.60847447,12.36312122,13.48167103,17.15654673
NQO1,27.00488996,13.97828889,15.10226753,18.05715927,11.8543682,18.39870539,18.84546434,17.03210825
CEBPD,9.643870042,13.09036046,7.885287371,5.645402644,7.557127796,9.661060835,15.19224215,29.39387568
AMACR,2.029515124,1.664769028,1.523177708,2.419838127,1.43859904,1.51914313,1.493395075,2.134516459
CISD2,6.821016909,5.006562234,7.200188576,7.200188576,7.200188576,4.433281423,4.953084843,6.38705665
EEF1A1,61.57531376,145.8269423,134.7574376,87.87133127,113.4783878,118.4018342,160.3336558,128.2834121
ORC6,14.85545167,13.02397745,15.97282011,14.85545167,12.7977607,11.93380002,12.5930767,9.734555238
SLC17A6,4.157011881,5.181946689,5.336841822,8.352576902,6.169997132,11.63315694,6.257707061,5.386317614
ADD3-AS1,4.440327817,3.892896067,3.073783553,2.793118538,3.073783553,3.567039588,3.435251875,3.168866178
PRKAA1,9.075189676,9.075189676,7.761351232,8.99402424,10.60710581,7.315761247,8.943259644,8.55627697
ATP11C,4.906503006,3.673874163,3.284056208,2.85873801,4.216816206,3.320705187,2.634929919,3.58853925
SCN1A,39.55452951,41.92924645,29.69484013,42.08744185,58.11214931,25.23579464,39.75745709,31.61384735
MTMR4,1.920110302,1.794072182,1.847754505,2.046360467,2.360696644,1.620028969,1.589974147,2.01990535
SEC61A2,12.5930767,12.41125859,9.238904115,13.42690375,13.28781456,12.55937531,12.39749496,12.17135258
VAT1,55.92852306,50.28796896,42.07200594,39.57150995,44.08327683,48.33066729,44.44281767,56.4847103
CAPS2,2.283947674,2.270825466,2.132522041,2.283947674,2.270825466,1.98862988,1.974107761,1.739495118
TUG1,2.7707107,3.409760812,3.614571928,2.926740842,4.151388163,2.299768223,3.043188956,2.7707107
DOCK4,25.43692752,26.38611213,28.38024906,23.94111484,20.87083419,26.54429903,31.03435498,41.41524659
NIPBL,7.026097581,4.372184743,4.946995957,3.541386759,5.234664811,3.191672953,4.395214992,4.70403838
BTNL9,16.55913458,22.10543767,14.12378533,31.87053861,19.40551658,12.5930767,23.11843649,20.10816606
NOG,1.856125086,1.826829802,1.622830621,1.778525985,2.229234599,1.363080161,1.576737863,1.590453586
RWDD1,20.89132538,18.06446184,20.7217266,25.13155019,27.81136984,17.15865345,21.76759935,18.86846799
CNOT2,12.0275609,9.814208038,10.78358269,9.559852293,10.87712266,9.813956678,10.33336658,10.55824823
AK074476,3.646573755,2.95494795,4.437219794,3.735103483,2.808644361,3.996485511,3.735103483,3.076674874
FGF1,4.419869487,2.588113924,2.981910616,3.513455275,3.88063491,2.562081866,3.043188956,3.182395266
STOM,26.44404318,46.5302494,22.12869331,22.84647253,21.13075104,27.57586015,37.37896264,51.15120176
RCN1,3.383306601,3.643976032,2.702256498,2.625030317,2.427578978,2.249976775,2.612679869,3.350448762
LRP10,10.48480235,13.57114879,11.92456498,13.78717412,12.25571713,8.908795652,10.48480235,15.61511741
SCARB2,5.315194811,5.337527573,5.857383843,3.908815876,5.337527573,4.346156923,3.598226376,4.599014763
DFNA5,55.92865932,54.93925575,76.81544115,67.05944938,46.4847103,56.34223186,95.80759972,62.50780094
APOC1,28.69523018,39.27303005,22.21643597,30.577004,30.577004,28.69523018,57.94710434,36.41826438
UPF3A,27.93949651,32.8831253,27.72946294,33.98359823,38.60279207,33.23691912,34.42212259,35.9198556
C4A,18.50483163,27.66076968,20.21548749,18.50483163,14.2878516,18.50483163,34.1686359,55.52029222
PTPLAD1,4.284780461,3.546645789,5.072057301,4.284780461,5.024113856,2.710448467,2.412633598,2.588978411
ANGPTL4,6.90786895,6.040670214,6.554121384,11.23515128,4.602013663,4.775212966,5.903683197,6.279249763
MIR6840,33.97732448,45.22501046,42.33701974,33.57562058,32.85683618,48.82352822,33.57562058,33.57562058
CDC14B,3.049058808,2.288353064,3.140007063,2.288353064,2.511711285,1.905348826,3.043188956,2.475476041
PDDC1,10.37435209,13.10776843,13.009904,11.79344826,9.884286973,8.614682708,10.886344,9.56048026
KCNIP4,19.40516616,13.11552216,23.21432257,25.79176255,21.85287695,18.13733001,16.7558258,23.21432257
CD81,12.09577894,20.33158137,20.52919444,15.12331194,16.1230004,12.5930767,19.46646956,17.43138073
CDK3,3.053125054,3.088618216,3.06366253,3.06366253,2.490231117,2.840789081,2.714643349,2.783966817
FAM107A,30.0709196,45.21198303,67.90482078,30.92742604,33.97694879,43.31083672,47.0151557,60.73580083
C12orf76,6.127170289,6.257707061,7.146712131,3.603399109,6.35653522,6.580011456,4.807227919,7.818232269
ZNF285,3.61458454,4.101325117,3.932214223,4.112679494,4.517461933,3.592990128,3.597114553,3.958453261
SLC1A3,19.85215345,57.50318895,66.27188172,20.16290189,30.33059807,26.53413604,44.21198303,83.4057759
