"","x"
"1","KIAA1841"
"2","CEBPD"
"3","ORC6"
"4","DOCK4"
"5","MID1"
"6","FAM126A"
"7","STYK1"
"8","WDR48"
"9","C11orf96"
"10","SRGN"
"11","AHNAK2"
"12","AK4"
"13","NTM"
"14","SOCS3"
"15","HEY1"
"16","CNOT6L"
"17","UVSSA"
"18","STON2"
"19","YBX3"
"20","CRY1"
"21","MUT"
"22","TMEM97"
"23","MED13L"
"24","GOLGA8A"
"25","C3orf70"
"26","ZNF614"
"27","ANP32A"
"28","PCDHGA1"
"29","PPARD"
"30","HMGN1"
"31","SASH1"
"32","ZBTB10"
"33","SELO"
"34","ZNF827"
"35","WWTR1"
"36","SGSM2"
"37","JAG1"
"38","MIR3682"
"39","KCNE4"
"40","DTNA"
"41","RAB8B"
"42","HDAC4"
"43","QSER1"
"44","BMPR1B"
"45","NIPSNAP3A"
"46","PCNA"
"47","LEPROT"
"48","SNAP23"
"49","AHDC1"
"50","SLC40A1"
"51","CTDSP2"
"52","RFX4"
"53","CELF4"
"54","SAMD4A"
"55","ZNF35"
"56","RGMA"
"57","ROCK1"
"58","ACTN1"
"59","ZFP36L2"
"60","NADK2"
"61","SFN"
"62","TARBP1"
"63","KLHL9"
"64","CUX1"
"65","GRM8"
"66","SLIT2"
"67","MDM1"
"68","EMC2"
"69","TRIL"
"70","MCAM"
"71","GADD45B"
"72","UBA3"
"73","GBP3"
"74","CDKN1A"
"75","KIAA0247"
"76","ZFP28"
"77","ADD3"
"78","YTHDF1"
"79","LOC101929177"
"80","SNX18"
"81","CCNG1"
"82","DUSP22"
"83","CLCN7"
"84","CPSF7"
"85","PCBP1"
"86","PPAP2B"
"87","KLHL23"
"88","SAT1"
"89","AMIGO2"
"90","LINC00674"
"91","PRSS3P2"
"92","TARDBP"
"93","DTWD1"
"94","ERCC4"
"95","PI4KB"
"96","TRAM1L1"
"97","MRPL45"
"98","CHSY1"
"99","EMP1"
"100","MPZL1"
"101","RELL1"
"102","SMIM11"
"103","FAM84B"
"104","TM4SF1"
"105","NOL4"
"106","LINC00478"
"107","HILPDA"
"108","TIPARP"
"109","TWF1"
"110","PANK1"
"111","CTDSPL2"
"112","MAP4"
"113","INPP5A"
"114","CTNNA3"
"115","CDK19"
"116","CYYR1"
"117","ZNF208"
"118","SNX33"
"119","SUN1"
"120","TVP23C"
"121","ACTN2"
"122","ERVH-4"
"123","PIPOX"
"124","BNIP1"
"125","PAX8-AS1"
"126","SEPHS1"
"127","SP4"
"128","WDR78"
"129","JPX"
"130","ZIC1"
"131","VPS33A"
"132","CCDC149"
"133","PIP4K2B"
"134","YY1"
"135","ZFP82"
"136","HLA-DQA1"
"137","MOB1B"
"138","MDM2"
"139","CRAMP1L"
"140","CALB1"
"141","TOLLIP-AS1"
"142","MESDC2"
"143","SLC18A3"
"144","SPX"
"145","PAPSS2"
"146","SEZ6L"
"147","NAT10"
"148","STAG3L1"
"149","HIPK2"
"150","MAN1A1"
"151","PHF21A"
"152","ABCB1"
"153","EDNRB"
"154","SLC44A2"
"155","PIRT"
"156","C7orf73"
"157","FOXO1"
"158","HGH1"
"159","MYZAP"
"160","TRIM22"
"161","LOC100506870"
"162","SNTB2"
"163","ATP11A"
"164","IL1R1"
"165","MAN2A1"
"166","SLC7A8"
"167","CCNJ"
"168","ZNF862"
"169","TRIO"
"170","MMRN2"
"171","ADAM21"
"172","ZCCHC8"
"173","SPDYE1"
"174","POP5"
"175","ZNF177"
"176","ZNF585A"
"177","WIPF1"
"178","METAP1D"
"179","CD109"
"180","GID4"
"181","KMT2C"
"182","SCARB1"
"183","C8orf33"
"184","ST6GALNAC3"
"185","B3GAT2"
"186","LOC286052"
"187","TK2"
"188","KMT2A"
"189","CDYL2"
"190","FAR1"
"191","COL1A1"
"192","CSRP2"
"193","ZNF490"
"194","PLSCR1"
"195","TSPAN2"
"196","DTYMK"
"197","FAM65B"
"198","RNF114"
"199","TIMM10B"
"200","ZNF37A"
"201","SH3GLB1"
"202","EIF3E"
"203","DTX3L"
"204","NHLH2"
"205","PKM"
"206","DCAF12"
"207","LYRM5"
"208","LGR4"
"209","ENTHD2"
"210","LRRTM4"
"211","SIRT6"
"212","LSM6"
"213","AL022344.5"
"214","TRIOBP"
"215","FHL1"
"216","UCK1"
"217","ZDHHC2"
"218","JRKL"
"219","EVI5"
"220","TOX4"
"221","S100A14"
"222","PPFIA3"
"223","TAP2"
"224","RPGRIP1L"
"225","TCF3"
"226","RHOU"
"227","KIAA2022"
"228","UVRAG"
"229","RP11-124L9.5"
"230","SPHK1"
"231","MTDH"
"232","WARS"
"233","LOC100652770"
"234","LOC100132057"
"235","LLGL1"
"236","TRDMT1"
"237","FAM114A1"
"238","CREM"
"239","RAB27B"
"240","CRIPT"
"241","PPIE"
"242","LARP4B"
"243","DCBLD2"
"244","ARHGAP29"
"245","KDM6A"
"246","MBOAT2"
"247","TNFAIP6"
"248","UBE2J1"
"249","CEP170B"
"250","TMEM261"
"251","NELFCD"
"252","LINC01061"
"253","MIR34A"
"254","CYP1B1"
"255","DPYSL5"
"256","METTL10"
"257","HCFC2"
"258","C1S"
"259","FLNC"
"260","DHX32"
"261","VWC2"
"262","SCG3"
"263","SYT6"
"264","CSNK2B"
"265","PURA"
"266","TBC1D15"
"267","CD44"
"268","BLOC1S5-TXNDC5"
"269","UFM1"
"270","MVK"
"271","PARP11"
"272","HNRNPDL"
"273","STX3"
"274","RDH10"
"275","LOH12CR2"
"276","TMC7"
"277","GAN"
"278","TMEM11"
"279","FIGN"
"280","RHPN2"
"281","RMND5B"
"282","SH3RF1"
"283","TMOD3"
"284","HNRNPK"
"285","C18orf21"
"286","C11orf71"
"287","CSAD"
"288","GLB1L3"
"289","CDK2"
"290","C17orf51"
"291","CHD1"
"292","TBC1D32"
"293","SERINC5"
"294","ZNF436"
"295","HDAC3"
"296","INTS2"
"297","GNE"
"298","ARID5B"
"299","GNA14"
"300","ULK3"
"301","HSDL2"
"302","AX747250"
"303","EFEMP1"
"304","SERPINB1"
"305","RPN1"
"306","FAM49B"
"307","CCNY"
"308","KAL1"
"309","LOC440416"
"310","GUSBP3"
"311","CDPF1"
"312","KIF20B"
"313","KIAA1671"
"314","ADD2"
"315","LOC101928476"
"316","TRIM5"
"317","MATN2"
"318","CRISPLD1"
"319","EGLN3"
"320","ASUN"
"321","PHACTR4"
