GeneA,GeneB,Relationship,corRvec,corPvec
ACADM,ALMS1,Correlation,0.970077272,0.085154558
ACADM,DMTN,Correlation,0.970077272,0.085154558
AFF1,SETD5,Correlation,-0.976190476,0.066581335
ALMS1,DST,Correlation,-0.976190476,0.066581335
ALPK1,LARS,Correlation,0.976190476,0.066581335
ANXA1,AR,Correlation,-0.970077272,0.085154558
APOLD1,CTDSP2,Correlation,0.970077272,0.085154558
ARPC5L,COA3,Correlation,0.970077272,0.085154558
ATP2A2,MIOS,Correlation,-0.994029797,0.004886408
ATP2C1,NTRK3,Correlation,0.970077272,0.085154558
ATP5C1,NDUFC1,Correlation,1,0
ATP5C1,PITPNB,Correlation,0.970077272,0.085154558
ATP5C1,POLR2K,Correlation,0.976190476,0.066581335
ATP5C1,RND3,Correlation,0.976190476,0.066581335
ATP5E,AURKAIP1,Correlation,0.976190476,0.066581335
BLVRA,TM4SF1,Correlation,-0.970077272,0.085154558
BLZF1,CAT,Correlation,0.970077272,0.085154558
BTRC,KCNB1,Correlation,0.976190476,0.066581335
C6orf106,PSMB7,Correlation,0.976190476,0.066581335
C8orf33,EGLN3,Correlation,0.975,0.073537398
CAP1,HARS,Correlation,0.970077272,0.085154558
CAPN2,CCT3,Correlation,0.976190476,0.066581335
CDC16,PIGG,Correlation,0.976190476,0.066581335
CDKN1A,DIDO1,Correlation,0.994029797,0.004886408
CETN2,SART3,Correlation,-0.970077272,0.085154558
CLCN5,TRPC1,Correlation,0.976190476,0.066581335
CMPK1,PSMB7,Correlation,0.976190476,0.066581335
CMPK1,PSMD4,Correlation,0.976190476,0.066581335
CNOT1,CTNNB1,Correlation,1,0
CRYL1,C14orf1,Correlation,0.976190476,0.066581335
CSRP1,RPS8,Correlation,0.976190476,0.066581335
CST3,SKIV2L2,Correlation,0.970077272,0.085154558
DEGS1,PANK3,Correlation,0.976190476,0.066581335
ERH,PTPRO,Correlation,0.981761387,0.066581335
ERH,RNF111,Correlation,0.994029797,0.004886408
ETS2,UFL1,Correlation,0.975900073,0.066581335
FAM168B,BLZF1,Correlation,0.975900073,0.066581335
FBXO38,TMEM43,Correlation,0.969714779,0.087674293
FH,SSR4,Correlation,0.970077272,0.085154558
GIT1,ARPC5L,Correlation,0.976190476,0.066581335
GNS,GRAMD1B,Correlation,0.976190476,0.066581335
GPM6B,METTL3,Correlation,-0.976190476,0.066581335
GPX1,CLTA,Correlation,1,0
HADH,OXR1,Correlation,0.994029797,0.004886408
HMGB3,RBM48,Correlation,0.970077272,0.085154558
HOPX,SON,Correlation,0.976190476,0.066581335
HSP90B1,POGZ,Correlation,-0.970077272,0.085154558
HSP90B1,SMS,Correlation,0.976190476,0.066581335
HSPA4,BSCL2,Correlation,0.976190476,0.066581335
HSPA4,CLTB,Correlation,0.976190476,0.066581335
HSPA4,RNF7,Correlation,0.970077272,0.085154558
HSPA4,TBCB,Correlation,0.976190476,0.066581335
ID2,PLOD3,Correlation,0.970077272,0.085154558
ITGB1,SSBP3,Correlation,1,0
KAT7,LSM14A,Correlation,1,0
KCTD20,TRAK2,Correlation,0.970077272,0.085154558
KDM4C,CTBP1,Correlation,0.970077272,0.085154558
KIAA1109,DYNLT3,Correlation,0.976190476,0.066581335
KIAA1109,MON2,Correlation,-0.970077272,0.085154558
LARS,SPG21,Correlation,0.976190476,0.066581335
LONP1,GPI,Correlation,0.976190476,0.066581335
LONP1,SKIV2L2,Correlation,0.976190476,0.066581335
LSM5,BTN2A2,Correlation,0.970077272,0.085154558
MON2,DYNLT3,Correlation,-0.970077272,0.085154558
NAV2,PAXBP1,Correlation,-0.970077272,0.085154558
NCOA2,ITGA6,Correlation,0.976190476,0.066581335
NDUFC2,ASB13,Correlation,1,0
NDUFC2,SNX27,Correlation,0.976190476,0.066581335
NDUFS5,PSMB7,Correlation,0.976190476,0.066581335
NDUFS5,PSMD4,Correlation,0.976190476,0.066581335
NGFRAP1,PI4KA,Correlation,0.976190476,0.066581335
NLK,KAT7,Correlation,0.976190476,0.066581335
NLK,LSM14A,Correlation,0.976190476,0.066581335
NPEPPS,CD46,Correlation,0.970077272,0.085154558
NUDCD3,PARVA,Correlation,-0.970077272,0.085154558
NUP85,HMGB1,Correlation,-0.976190476,0.066581335
OTUB1,MRPS11,Correlation,0.970077272,0.085154558
OXR1,CD46,Correlation,0.976190476,0.066581335
PABPC1,PIAS3,Correlation,-0.976190476,0.066581335
PDCD6,ATP11B,Correlation,-1,0
PDE4B,MBD1,Correlation,-0.976190476,0.066581335
PDE4B,PTPN13,Correlation,0.976190476,0.066581335
PFDN1,AKR1C2,Correlation,0.976190476,0.066581335
PFDN1,POLR2I,Correlation,1,0
PFDN5,NACA,Correlation,0.994029797,0.004886408
PFDN5,RPL23A,Correlation,0.970077272,0.085154558
PITPNB,AKR1C2,Correlation,0.970077272,0.085154558
PITPNB,NDUFC1,Correlation,0.970077272,0.085154558
PITPNB,PFDN1,Correlation,0.994029797,0.004886408
PITPNB,POLR2I,Correlation,0.994029797,0.004886408
POLR2I,AKR1C2,Correlation,0.976190476,0.066581335
POLR2K,HSPA4,Correlation,0.976190476,0.066581335
POLR2K,NDUFC1,Correlation,0.976190476,0.066581335
PPP2CA,BLZF1,Correlation,1,0
PPP2CA,CAT,Correlation,0.970077272,0.085154558
PPP2CA,FAM168B,Correlation,0.975900073,0.066581335
PRKD1,KPNA6,Correlation,0.976190476,0.066581335
PROSER1,MAN2A2,Correlation,0.970077272,0.085154558
PSMB2,ALAS1,Correlation,0.970077272,0.085154558
PSMB2,CCNT2,Correlation,0.976190476,0.066581335
PSMB2,FTSJ2,Correlation,0.976190476,0.066581335
PSMB7,TMA7,Correlation,0.976190476,0.066581335
PSMB7,ZNF273,Correlation,-0.976190476,0.066581335
PSMD12,COPG1,Correlation,0.976190476,0.066581335
PSMD4,DHX29,Correlation,0.976190476,0.066581335
PTPRO,RNF111,Correlation,0.975900073,0.066581335
PTPRR,TERF1,Correlation,0.970077272,0.085154558
RAP1GDS1,CCT3,Correlation,0.976190476,0.066581335
RAP1GDS1,COA3,Correlation,0.970077272,0.085154558
RBBP4,GRAMD1B,Correlation,-0.976190476,0.066581335
RBBP4,UBE2L3,Correlation,-0.970077272,0.085154558
RGCC,GEMIN2,Correlation,-0.976190476,0.066581335
RND3,HSPA4,Correlation,0.976190476,0.066581335
RND3,NDUFC1,Correlation,0.976190476,0.066581335
RNF7,BSCL2,Correlation,0.970077272,0.085154558
RNF7,CLTB,Correlation,0.994029797,0.004886408
RNF7,FTSJ2,Correlation,0.970077272,0.085154558
ROBO1,SEH1L,Correlation,0.975903614,0.066581335
RRP1B,WDR45B,Correlation,-0.970077272,0.085154558
RUVBL2,ALPK1,Correlation,-0.976190476,0.066581335
RYBP,GPM6B,Correlation,0.976190476,0.066581335
SF3B5,PSMD4,Correlation,0.976190476,0.066581335
SH3BGRL,NME1,Correlation,0.975900073,0.066581335
SIGMAR1,LINC00094,Correlation,0.976190476,0.066581335
SLC25A24,MSN,Correlation,0.970077272,0.085154558
SMS,GNS,Correlation,0.976190476,0.066581335
SNX27,ASB13,Correlation,0.976190476,0.066581335
SPARC,CTDSP2,Correlation,0.970077272,0.085154558
SRP19,GPM6B,Correlation,-0.976190476,0.066581335
STRN3,EFHC1,Correlation,-0.970077272,0.085154558
TBCB,BSCL2,Correlation,1,0
TBCB,RNF7,Correlation,0.970077272,0.085154558
TGFB2,YME1L1,Correlation,0.976190476,0.066581335
TMEM255A,TCEAL1,Correlation,0.976190476,0.066581335
TMEM43,NUDCD3,Correlation,0.970077272,0.085154558
TSPAN7,TERF2IP,Correlation,0.976190476,0.066581335
TUG1,NAV2,Correlation,-0.970077272,0.085154558
UBE2E1,EFHC1,Correlation,0.970077272,0.085154558
UBE2I,CTBP1,Correlation,1,0
UBE2I,KDM4C,Correlation,0.970077272,0.085154558
USP48,GTPBP4,Correlation,0.976190476,0.066581335
WBSCR22,NACA,Correlation,0.976190476,0.066581335
XPOT,HNRNPH3,Correlation,0.976190476,0.066581335
YBX3,TMEM255A,Correlation,-0.970077272,0.085154558
YEATS2,DBT,Correlation,-0.970077272,0.085154558
YLPM1,ATP5E,Correlation,0.976190476,0.066581335
YLPM1,AURKAIP1,Correlation,1,0
YME1L1,FIBP,Correlation,0.976190476,0.066581335
ZNF24,FBXW4,Correlation,0.994029797,0.004886408
ZNF493,ORAI2,Correlation,-0.976190476,0.066581335
