"","Row.names","corRvec","corPvec"
"13105","ATP2A2:MIOS",-0.994029797388005,0.00488640777207561
"14189","ATP5C1:NDUFC1",1,0
"28479","CDKN1A:DIDO1",0.994029797388005,0.00488640777207561
"34306","CNOT1:CTNNB1",1,0
"49328","ERH:RNF111",0.994029797388005,0.00488640777207561
"64429","GPX1:CLTA",1,0
"68853","HADH:OXR1",0.994029797388005,0.00488640777207561
"77133","ITGB1:SSBP3",1,0
"79068","KAT7:LSM14A",1,0
"100993","NDUFC2:ASB13",1,0
"112450","PDCD6:ATP11B",-1,0
"114716","PFDN1:POLR2I",1,0
"115059","PFDN5:NACA",0.994029797388005,0.00488640777207561
"116608","PITPNB:PFDN1",0.994029797388005,0.00488640777207561
"116622","PITPNB:POLR2I",0.994029797388005,0.00488640777207561
"121643","PPP2CA:BLZF1",1,0
"136637","RNF7:CLTB",0.994029797388005,0.00488640777207561
"166423","TBCB:BSCL2",1,0
"178131","UBE2I:CTBP1",1,0
"186977","YLPM1:AURKAIP1",1,0
"191596","ZNF24:FBXW4",0.994029797388005,0.00488640777207561
