GeneLists,Limma_1,Limma_2,DESeq2_1,DESeq2_2
ALSOD,0.117825123,0.020204126,0.004844797,0.011942136
Carulli,0.07306972,0.03739556,0.035562491,0.052299769
Exac,1.69E-14,5.87E-23,4.42E-17,1.98E-19
GeneCards.AD,0.070458713,0.020204126,0.019814706,0.044669518
GeneCards.ALS,0.07306972,0.001989426,0.002157232,0.006356875
GWASCentralAD,0.117825123,0.019823426,1,1
GWASCentralALS,0.248603777,0.001818259,0.017422527,0.044669518
NeuroX.FDR..05,0.115242046,0.060343468,0.231063857,0.314302999
NeuroX.GWS,1,1,1,1
Pasterkamp,5.10E-05,0.001166673,1.12E-05,4.68E-08
Subnetwork.28,0.070458713,0.117514447,0.025872027,0.044669518
Taylor,4.15E-07,0.00075149,1.12E-05,4.68E-08
