Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_MW2.CEL,C_MW3B.CEL,C_MW7.CEL,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL,countP
RALGDS,0.993288771,5.162647579,8.728389259,9.97E-07,0.027265507,4.106027159,1.990717867,21.09710279,20.23820371,23.96380196,39.0293848,40.05936669,44.30289212,37.49674298,39.69750768,49.92536588,49.88390429,47.39283781,10
INADL,-1.396217341,2.545599085,-7.402062126,5.88E-06,0.07822444,3.043186625,-2.632105546,14.63272838,10.17753405,11.03983421,4.746610715,3.792164287,3.286380978,3.548843545,5.409024139,5.494356407,4.408144257,5.94320901,11
PTEN,2.217646279,4.283476117,7.264317267,7.15E-06,0.07822444,2.91811899,4.651339609,4.12526923,6.505710498,9.617970322,57.37823349,34.52728745,39.38974633,23.03461378,22.58006841,22.73483201,28.17560763,22.7618866,10
RGS1,3.720242508,4.26033403,6.642182261,1.79E-05,0.143850056,2.315011765,13.17967151,3.377465809,2.001173106,3.751122073,20.22033119,76.02197559,62.82387998,12.50600662,36.06091657,30.32137192,30.4749573,125.4975725,8
KIAA1211,-1.109662168,3.5318688,-6.29702365,3.04E-05,0.143850056,1.952097846,-2.157951092,18.80327642,23.551475,18.71378937,11.19198177,8.456716165,11.54558156,11.1442422,11.1442422,8.163083813,6.457253658,8.360684111,11
NDRG4,1.913903339,6.413461155,6.264577442,3.20E-05,0.143850056,1.916903908,3.768272612,18.19779746,39.73327889,47.39380121,167.7536361,163.5402956,170.4511069,142.8700514,108.9142061,97.44890619,81.90876682,86.72845522,11
ELAVL3,-1.126434799,5.230667109,-6.133670984,3.93E-05,0.143850056,1.772998428,-2.183185622,57.03016485,88.28121163,57.75962332,28.43688244,33.47132581,26.40506913,22.99249009,39.07624254,34.23867413,25.157179,36.97834883,11
PNMA6A,1.136828396,3.418730018,6.071228561,4.35E-05,0.143850056,1.703268516,2.198970723,4.744095265,6.665111696,6.931055909,13.51797034,16.09564458,17.78800039,15.25341237,14.0170927,10.33033093,11.11586252,10.0450828,6
CEBPB,1.617263351,3.711081009,6.070086576,4.35E-05,0.143850056,1.701986682,3.067925291,3.942305645,5.681796181,8.689551591,14.79635243,16.30998236,22.64144525,13.97565823,13.78654877,14.79635243,30.3058506,21.15237375,9
AQP1,2.424391388,4.070396698,6.052889556,4.47E-05,0.143850056,1.682655099,5.36802499,8.631707348,2.564158928,5.477346873,21.22964414,50.2761593,16.70510568,24.84905468,29.85319827,13.97479704,39.85803483,33.68980109,10
NAP1L1,-0.840499712,4.357458508,-6.040705582,4.56E-05,0.143850056,1.668926319,-1.790670276,34.09887908,33.21198422,27.11292116,21.96763879,16.21794268,17.50843784,19.42721322,19.54113365,14.37706032,14.21234128,18.07378503,11
LGALS3,1.475512294,2.482441766,5.991719989,4.93E-05,0.143850056,1.613457455,2.780823722,2.460236432,2.170846834,3.508783277,10.7210446,8.604075735,8.360684111,5.077129072,6.20275993,5.420460163,6.20891279,10.83884902,6
AMACR ,-1.38189615,1.859585157,-5.983566384,5.00E-05,0.143850056,1.604182298,-2.606106697,6.460234124,11.06824328,5.403375008,3.274433222,2.001173106,2.318311836,3.274433222,2.872141909,2.280189743,2.849100408,4.009539928,4
ITGB5,0.938112284,2.755209029,5.896230544,5.75E-05,0.150462396,1.504071503,1.916019554,4.939143967,2.954152091,5.104718917,7.018410631,7.018410631,9.566435837,7.751378016,8.905047672,8.681430668,8.149607975,7.751378016,3
PYROXD1,-0.911944437,3.994664706,-5.851719495,6.18E-05,0.150462396,1.452512186,-1.881579748,21.67105928,24.20778831,30.66654928,15.11700312,13.82932038,14.80578108,10.25572466,10.39007478,15.73364664,13.66498383,14.80578108,9
AHCYL1,0.930512702,5.814467628,5.781073776,6.94E-05,0.150462396,1.369932054,1.905953209,34.82432734,34.20894063,36.62782804,57.66652848,85.89540688,53.47047567,68.51840324,70.84834666,50.4837325,77.16365707,82.04994171,11
DDR1 ,0.873533825,3.696927746,5.74767201,7.33E-05,0.150462396,1.330567434,1.832145177,9.921631673,7.212445602,8.133212589,13.04654774,16.09564458,17.69059445,15.8229173,12.89750615,13.32528268,14.35684281,20.6702494,9
AIG1,-0.971884825,4.36224315,-5.742025681,7.40E-05,0.150462396,1.323892784,-1.961401417,29.43003219,39.53832841,32.50992326,24.2138421,15.93299482,14.64935152,19.41292956,20.62237383,15.93760713,13.72959808,14.87000865,11
UBE2B,-0.689799152,1.76397069,-5.739250497,7.43E-05,0.150462396,1.320610021,-1.613058937,4.912964619,4.575031992,4.946995957,2.783171829,2.829373383,3.629408446,2.612793155,3.069719922,2.476472168,3.16258925,3.474269481,10
