Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_JK.C.05.07.CEL,C_JK.C.12.07.CEL,C_JK.C.35.96.CEL,C_JK.C.39.97.CEL,C_JK.CC2.CEL,C_JK.CC4.CEL,P_LC.04.06.CEL,P_LC.299.99.CEL,P_LC.96.06.CEL
GSPT1,2.305755706,2.054942323,11.81109363,6.37E-07,0.034803361,4.92320349,4.944263752,2.676219106,2.66517477,2.382617138,2.028703252,2.915094513,2.095171722,16.6800123,10.42899414,10.08236246
GNB2L1 ,-2.831459708,4.169948347,-8.414497626,1.17E-05,0.122091987,3.125789848,-7.117939687,42.57931805,60.27086459,27.51610277,27.51610277,37.64452308,23.56155968,3.251583471,7.301734409,4.848518436
RPL11,-2.119472523,4.520508766,-8.334456338,1.27E-05,0.122091987,3.070133648,-4.345350416,46.97380711,51.37430535,26.67244372,26.67244372,32.06582342,50.13399109,8.064524246,9.367253879,8.475894664
PFDN5,-1.469840945,4.083054908,-8.233346616,1.41E-05,0.122091987,2.998751669,-2.769913541,22.79864965,20.08710776,30.47730965,25.41370976,22.84112324,22.44273334,6.60542433,10.20272222,9.414923426
RPL4 ,-2.268258926,6.210035361,-7.985602818,1.81E-05,0.122091987,2.818641074,-4.817414046,169.1597489,159.5180656,92.41958987,89.39771286,101.3041741,169.1393921,20.51078456,35.33112427,24.12420856
RPL7A ,-1.03470593,6.395400779,-7.90326288,1.97E-05,0.122091987,2.75710043,-2.04869601,115.9471119,104.0887943,103.0066057,115.456413,95.69690672,108.7313815,48.90696963,62.3819719,46.58407866
IMPDH2,-2.406549874,3.809794895,-7.771227953,2.26E-05,0.122091987,2.656621855,-5.302048526,31.69086799,34.76385449,18.64648358,20.48123052,21.19995277,23.97246544,2.65199743,6.439960071,5.744390461
RPL5 ,-1.553044075,6.3399874,-7.609575328,2.69E-05,0.122091987,2.530526329,-2.934356332,152.6059604,151.0708206,87.84538726,94.85587212,100.894891,125.5392521,39.40385927,42.078536,37.23523132
RNU86 ,-2.195134589,7.174871684,-7.603032719,2.71E-05,0.122091987,2.525350269,-4.579323826,372.9885894,332.1087285,158.8192549,157.8717697,231.1597489,265.8377067,50.97391672,57.26381637,49.2860225
NXF1,-1.310462756,3.792896532,-7.445365223,3.21E-05,0.122091987,2.398875981,-2.48021082,17.8855529,22.15354159,16.48356877,18.27193166,20.34378174,17.96461962,5.711990826,9.758481876,7.765687732
CLIP1,1.463872261,1.568872779,7.442388934,3.22E-05,0.122091987,2.396456118,2.758477592,2.237587854,1.979264149,1.945764031,1.459765015,2.550760861,2.792549969,5.939933886,5.513019009,6.067378902
HP1BP3,1.465947666,3.179122068,7.237917969,4.03E-05,0.122091987,2.227278411,2.762448686,4.826202731,5.616347131,7.950354526,7.062889554,7.224156256,6.580556607,18.13527826,13.82126946,22.62296835
RPL18,-1.870363206,5.757961666,-7.146223849,4.47E-05,0.122091987,2.149502756,-3.656246163,83.23746597,87.01265623,68.73985715,65.46030938,97.04863776,106.1471917,17.22859004,37.0910185,18.5510363
RPS10,-1.528758517,5.880302306,-7.054207441,4.95E-05,0.128983729,2.070240816,-2.88537437,99.73969753,81.06750711,74.52447165,66.38197122,76.64285495,113.4365519,21.83912059,30.18899054,37.23523132
PRELP,-0.946583161,3.529861979,-6.700419769,7.45E-05,0.141013191,1.753854748,-1.927302678,18.77068932,13.84207069,14.21741971,13.68965442,12.46973055,13.98666728,7.361427128,7.893517347,7.139216848
UBC,-1.588324678,8.854138879,-6.669862305,7.72E-05,0.141013191,1.725640142,-3.006999603,827.0833428,887.8618505,564.9042414,617.4567063,618.77086,560.3110675,164.9375267,322.5363736,206.0246794
RPLP2 ,-2.224172144,4.895688899,-6.579548246,8.59E-05,0.141013191,1.641406194,-4.672427066,71.68576511,61.27086458,38.51159764,36.0549035,36.0549035,69.08331441,6.45225576,14.83584278,12.62230777
RPL3,-1.687441161,6.001604937,-6.517028965,9.26E-05,0.141013191,1.582350364,-3.220849301,137.7153044,125.8649498,73.3819711,72.80088549,74.94783066,103.4063821,25.84083763,25.60639191,38.31717993
METTL23,-1.174771007,3.786344742,-6.501068916,9.44E-05,0.141013191,1.56717598,-2.257570447,23.53706535,18.75387308,14.70364409,16.66560165,17.96461962,18.09653305,6.673500269,10.20077298,7.570780183
RBM10,-1.044705414,4.026846505,-6.495063471,9.50E-05,0.141013191,1.561455752,-2.062945079,19.83431812,21.94278851,20.02914782,16.55882246,19.7485952,28.00577705,10.63716007,9.729467326,9.833648203
IGFBP7,-1.801878227,5.174589877,-6.439506305,0.000101611,0.141013191,1.508266211,-3.486738642,54.49318206,48.06368885,73.68656519,41.14892703,77.94688634,43.58876157,10.877841,22.40074613,15.90289985
RPL36,-2.181119396,4.362543223,-6.43701226,0.000101917,0.141013191,1.505866948,-4.535052953,51.19133722,36.9449539,26.39789063,23.82471725,23.63038675,55.44769745,5.486884575,7.301734409,10.56458693
DYNC1LI2,-1.081111906,6.570090366,-6.406503854,0.000105744,0.141013191,1.476437666,-2.115666027,110.5516313,171.7153044,111.8738215,126.4555255,107.5878932,113.9871836,51.12293607,62.05349832,60.40968065
EIF3G,-1.174257953,4.30911375,-6.339600516,0.000114694,0.145834816,1.411378626,-2.256767748,28.02983204,31.95451005,23.78543982,25.47232829,23.43127567,24.30414079,8.455634272,14.65014726,12.34683279
PCM1,-2.122643589,4.009075973,-6.317314097,0.000117856,0.146448862,1.38954647,-4.354912069,31.13130654,26.38078547,18.55880216,36.09826055,18.340613,32.74435064,6.439960071,9.641129777,3.544757119
WDR54,-1.01666653,4.885352208,-6.237476772,0.000129981,0.149140571,1.310674977,-2.023238689,37.48015571,48.42932077,38.64243308,40.71197414,29.11477511,32.81782053,17.38751519,18.82009124,19.27343717
PAAF1,-1.125997202,3.566433131,-6.166165916,0.000141961,0.15074056,1.23934592,-2.182523522,19.70538374,15.58542649,18.33775975,14.00953295,11.59158563,14.39864404,6.032012089,7.572850977,7.641358412
TAGLN,-2.492041014,2.393889373,-6.123941901,0.000149615,0.15074056,1.196716214,-5.625732728,8.292309958,11.52501968,22.96146669,5.948900129,5.581017033,9.155590961,1.672110695,2.000085133,1.371594786
MCM3AP,-1.47452238,3.453450685,-6.046744826,0.000164791,0.15074056,1.118012183,-2.778916296,18.2221903,12.85045933,16.48356877,12.16586881,14.90431897,19.06683733,4.499695496,4.405644043,8.58683807
CSRP1,-0.988777947,5.607209881,-6.035555926,0.000167126,0.15074056,1.106522359,-1.984503281,55.49318206,55.49318206,72.69641102,50.28379098,65.55565437,71.59842047,31.09681975,26.4138926,35.80659892
RPL14,-1.734877208,5.025525045,-6.03264538,0.000167739,0.15074056,1.103530099,-3.328511627,66.95066956,53.74993242,43.34783779,44.23312244,41.62486468,46.05768799,9.748523177,25.59872297,12.49810193
IFT172,-1.337885717,2.745905338,-6.020522647,0.000170319,0.15074056,1.091051744,-2.52780595,13.3428699,7.41161555,7.534558945,8.426948674,10.78238721,8.599663405,2.781015402,4.086624303,4.156655626
NSUN5,-0.809444719,4.065991734,-6.019437163,0.000170552,0.15074056,1.089933215,-1.752536776,24.43948944,21.92335344,17.25893162,17.85350851,19.99636085,20.53806677,11.71619695,11.20539868,11.65220629
NACA,-1.993140486,6.358539257,-6.009732648,0.000172652,0.15074056,1.079924479,-3.98102653,220.7713466,156.3401788,114.4930822,109.7075168,96.04062173,116.1910049,20.0738474,51.49432669,33.72508005
ARHGEF37,-1.51888874,5.15663453,-5.953662959,0.000185345,0.15074056,1.021786819,-2.865702291,55.18144611,59.16219133,50.80645593,55.63452733,41.62486468,44.0370983,19.57246226,26.16599415,10.79096203
RPL10 ,-1.790486004,6.912588171,-5.939109014,0.000188802,0.15074056,1.006609361,-3.459314076,279.6069791,221.7548084,169.0523642,161.9226548,146.8264155,146.8264155,36.69965822,87.04863776,45.73884296
RPL19,-1.35709254,6.257206737,-5.897203308,0.000199153,0.15074056,0.9627079,-2.561684034,156.4930822,126.6041933,93.94711934,81.8819711,77.12666304,111.8080547,43.30328774,44.35736046,35.50447229
CHURC1,-0.973416104,2.964029533,-5.885415903,0.000202174,0.15074056,0.950305371,-1.963484357,8.961343923,10.74500897,8.389407849,10.61898915,8.309926905,12.20770594,5.417860702,5.437793327,4.182923952
PRPF40A,-1.319590455,3.537864915,-5.873461067,0.000205289,0.15074056,0.937702514,-2.495952458,21.43389247,14.95215931,13.67620226,17.97105474,13.4592674,14.42540154,4.724929598,8.932141976,5.959184105
CCNI,-1.423037606,5.551806094,-5.867923069,0.000206749,0.15074056,0.93185607,-2.681495079,83.62785708,72.00951214,44.76940651,78.80254407,65.41078404,55.13193394,17.62255414,31.35635442,25.97957644
SERPINB6,-1.784516696,3.878755685,-5.842985456,0.000213466,0.15074056,0.905464677,-3.445030358,22.37848058,23.83859371,14.12959849,26.87157308,18.51348929,32.06967282,4.642879683,10.28579684,5.616347131
ATP5G2,-1.843327795,3.644888008,-5.795755041,0.000226844,0.15074056,0.85518929,-3.58836786,16.26134655,30.43630588,18.22863523,27.92478398,11.85340392,16.51893856,3.735076379,6.488859871,6.271913566
DUSP1,-1.522100684,6.816966495,-5.787237397,0.000229352,0.15074056,0.846081778,-2.872089455,203.7153044,233.8980979,148.3564702,113.9940188,111.4945946,188.6129789,46.15053905,65.38197122,57.58421757
NID1,-1.868499712,2.406555565,-5.78292448,0.000230633,0.15074056,0.841465426,-3.651526528,10.39303848,7.065106091,14.90874016,9.07243308,4.538576027,6.571671266,2.029814927,2.343321232,2.350168733
MTUS1,-1.948263984,4.910476824,-5.761680358,0.000237058,0.15074056,0.81867996,-3.859098811,63.68135227,43.62433112,36.10499129,33.98924086,51.72522248,62.49202019,8.048148671,22.52019937,10.07772336
PSME1,-1.208745824,4.43978701,-5.74501904,0.000242232,0.15074056,0.800755389,-2.311366158,42.16816728,35.49934795,24.30268636,22.60821433,25.95456066,26.14884784,14.00953295,11.43924472,11.93902013
ACBD3,-0.996812611,2.520201043,-5.731446537,0.000246537,0.15074056,0.786118418,-1.995586218,8.415226916,8.625651672,6.947252818,6.931591536,5.729164517,7.087328109,3.964041224,4.164958828,2.871299268
