Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_GRN_GSM329677.CEL,P_GRN_GSM329679.CEL,P_GRN_GSM329681.CEL,P_GRN_GSM329683.CEL,P_GRN_GSM329686.CEL,P_GRN_GSM329689.CEL,P_SP_GSM329692.CEL,P_SP_GSM329694.CEL,P_SP_GSM329697.CEL,P_SP_GSM329700.CEL,P_SP_GSM329703.CEL,P_SP_GSM329704.CEL,P_SP_GSM329707.CEL,P_SP_GSM329709.CEL,P_SP_GSM329711.CEL,P_SP_GSM329714.CEL,countP
VCAN,1.574504645,7.09146769,6.200333527,1.83E-06,0.015908,4.953785572,2.978332129,86.91053363,49.74380465,77.40041732,61.71079734,43.26336385,47.49709704,105.9414203,78.94601465,278.4199792,123.7116006,240.7490959,292.4474466,271.2333267,302.761587,281.7453646,327.5526038,117.2420968,143.8501319,305.3483611,198.2776129,134.2446777,63.80350701,148.4108639,202.3918705,24
COL4A5,1.679478315,7.603030121,6.136008756,2.14E-06,0.015908,4.812540618,3.203121038,180.6121635,82.01427131,90.55201688,66.140577,63.83057849,34.32876345,194.324575,108.720789,303.6083261,188.9414972,206.6712251,394.6891249,547.6165745,209.9246758,436.7333261,295.7904197,188.8266898,215.3255754,578.3166595,271.8545925,369.048948,149.1629236,242.10834,349.8649936,22
ARL4D,-0.859547361,7.232773446,-5.930767374,3.58E-06,0.016082622,4.358309585,-1.81446894,163.8210621,214.7692966,245.7286446,251.8672247,233.0547329,343.2950063,142.986415,252.2679305,180.523917,149.8572539,125.692744,109.145716,113.0235129,166.4850202,93.16209244,132.9712495,140.260882,126.6953897,86.55218993,132.6839581,126.0992749,146.8278799,97.24036544,90.0074963,24
ABCA8,2.138588023,7.612879785,5.927402712,3.61E-06,0.016082622,4.350819408,4.4033088,236.2129368,87.0577164,44.02133922,39.26738543,52.63653209,36.40658212,149.3479548,78.10519885,335.7928062,194.8601707,501.0103747,959.2979157,865.4507304,420.0448026,495.6210316,279.1933851,200.3340063,184.269767,439.138505,239.7237556,302.3746716,150.4261367,131.8266777,342.1295498,24
LAMP2,1.586073147,8.521011379,5.707876534,6.28E-06,0.018149465,3.859263499,3.002310413,263.7686492,209.508411,147.9728252,143.6809781,94.3325783,139.1205676,332.1394823,184.0055368,672.058322,370.7048899,744.844049,693.9053944,1522.380454,940.7670205,653.5420812,508.9975099,458.3820819,286.4040136,606.0500006,399.6400345,674.6467903,297.9611185,201.97427,488.6506174,24
GFRA2,-1.100166687,7.513715943,-5.693073297,6.52E-06,0.018149465,3.825921466,-2.143794602,252.7604713,331.3381757,267.8544594,422.4582663,265.6933689,323.2633166,279.4274778,319.3535159,125.0116976,186.126675,78.2893932,94.81917148,113.2534964,122.0061497,111.5836588,137.4749792,291.6973137,230.4366788,103.9872539,119.4806672,110.7896807,233.7195613,200.574348,166.9184279,15
CACNA1C,-0.497516105,4.953463733,-5.548864572,9.40E-06,0.0232613,3.49991168,-1.411780799,37.60499923,36.2147173,33.9374254,42.03671386,39.9698926,55.60395298,32.70455277,37.84451184,31.24527781,30.94409287,23.64673725,23.70029838,23.81883541,24.39404619,28.92291824,26.16793239,32.12991519,32.48926401,25.98030508,28.88162919,23.23540831,30.479741,30.70079205,28.25987651,19
EAF2,0.638551237,5.499146079,5.309951538,1.73E-05,0.023993775,2.955423141,1.556765062,32.64300189,30.20337936,30.83791225,40.39493286,38.20867612,25.80468595,36.90849435,36.96827957,50.3325014,47.88145868,80.14540526,55.4781523,62.43791249,57.84502263,48.66236918,75.62213692,33.71755774,45.93802613,49.38125096,53.33485361,53.7564081,52.27969614,49.51852121,40.18008012,22
SAV1,0.815036391,6.970596358,5.269017564,1.92E-05,0.023993775,2.861644824,1.75934253,121.5643245,91.17437942,91.65114162,61.71206885,78.93234441,69.74006562,104.1926149,83.67043441,193.727079,85.80988549,157.3515165,173.3435236,234.2879891,177.7380165,200.1986263,166.7298774,103.1408325,164.5409357,157.1253053,121.376369,150.1027221,139.8548546,101.8381644,174.8639579,24
HSPB8,0.757948698,10.71239446,5.262799438,1.95E-05,0.023993775,2.84738791,1.691084439,1139.640449,1170.556387,1335.858743,1510.316659,1504.989092,894.7858486,1319.667558,796.9464799,1562.776145,1842.126537,2855.023374,1934.204904,1535.489661,2089.460535,2287.960493,2732.258622,2138.545293,1929.69297,2087.31007,1991.068167,2858.297886,1370.693137,1335.311215,2272.085804,24
CA2,0.92779448,9.679585037,5.220270257,2.18E-05,0.023993775,2.749799021,1.902365531,519.4204673,737.8686056,358.0129253,362.4294493,532.8726607,549.638527,763.9405546,595.4088073,927.2415501,923.4849636,1267.977341,879.1046999,1424.509243,1006.238134,1762.330359,1357.707961,954.0655571,828.0932783,1172.421695,959.7145634,1110.958659,724.4030669,482.0417986,1143.968528,24
CACNA1G,-0.701680258,5.204611878,-5.205274384,2.26E-05,0.023993775,2.715357302,-1.6263979,42.39103788,59.49937107,66.91438963,37.54296582,56.84156273,68.08936602,32.33497666,57.70918111,44.46904281,37.88292019,33.58764123,24.30618267,29.44080251,37.41145476,28.19863129,28.81273668,30.91300068,27.61062405,21.29943154,36.97672546,32.43782595,31.84388707,27.91661962,36.62241096,11
MAN2A2,0.621898672,7.087303604,5.148089492,2.62E-05,0.023993775,2.583873373,1.538899131,133.583465,115.6020971,83.82975441,107.9667668,71.42586659,96.51385666,111.52437,109.2073714,135.3004273,117.6176107,155.1596769,163.5404154,276.959032,181.650192,170.5632743,149.5492557,169.9884578,135.3004273,136.6660684,144.6540377,137.1115482,143.5753593,167.5577456,175.3011436,24
RNF13,0.876598359,8.399624485,5.140824241,2.67E-05,0.023993775,2.567152676,1.836041106,318.5405987,252.0104697,175.817079,210.6095529,193.4972208,143.5474081,304.5417016,263.3293195,291.3999928,294.0894313,380.1424759,548.8691689,717.9595864,328.7333261,608.7749928,446.7125781,345.4835261,429.5080377,585.6069534,291.6741518,321.2543857,375.4833261,463.3166595,449.740712,24
IRF2,0.651789832,6.282794099,5.115657154,2.85E-05,0.023993775,2.509205037,1.57111614,60.9967253,47.79550071,61.71709599,55.47271184,55.54438185,40.76483486,86.33417106,62.1934523,99.15085411,62.38065864,112.058138,94.11486049,89.8165398,123.353051,101.8304813,120.9463408,74.51894073,77.68437089,88.12104583,86.28884324,95.53083365,84.26730658,63.44358438,101.4252598,23
RAB29,0.920537495,7.308681734,5.093011683,3.02E-05,0.023993775,2.457029142,1.892820357,95.89801462,112.7560161,91.36964884,99.14084934,130.0718807,58.97937933,124.3094996,142.1512852,109.9114267,166.2880418,331.5769784,271.2075385,172.2467271,236.3933657,221.2639314,320.7409696,239.4935523,159.6671863,217.3376074,162.579985,226.1137715,164.4270286,141.0383613,142.2477588,24
HSDL2,0.762468753,4.64603386,5.040033075,3.46E-05,0.02437075,2.334844043,1.696391022,20.66725434,9.894174535,20.21045219,17.63326917,17.49360501,14.38075193,23.9959371,20.95347678,37.77431927,23.55069891,42.99049013,25.25467738,34.59492591,34.08639086,30.28664355,33.7338564,22.05778737,23.56053764,25.48237342,33.14655449,40.3984071,23.93843516,21.50964365,37.61174401,20
SENP5,-0.393122193,4.528753412,-5.013517367,3.70E-05,0.02437075,2.273630538,-1.313232348,27.09216235,34.01719325,24.89341874,29.71998278,24.99340167,28.60090883,23.38818356,30.24148201,16.97407728,22.2531201,18.6169519,17.12955654,19.01229873,20.86022641,21.82790463,21.25602878,23.15969011,23.5060632,23.62823262,20.0953165,21.62510906,21.94765772,24.51683966,22.78062101,20
HIBCH,0.763990762,7.925847489,5.011087392,3.72E-05,0.02437075,2.268018846,1.698181619,306.9660212,137.5164988,141.6254657,143.797312,166.5303839,118.9434273,224.7772216,189.5994889,282.2852021,200.5803344,302.2450817,323.5534693,278.657304,318.2524791,458.151607,270.4146441,292.5524532,257.8631656,357.7625301,230.6042989,270.9833267,260.6903161,224.0936249,420.2925856,24
THBS2,0.907633694,7.884357063,5.000193852,3.83E-05,0.02437075,2.242857875,1.875966017,184.5869171,172.8347639,128.5476382,91.78778158,139.5720204,198.6757193,163.8690913,198.1995931,357.6595776,306.2686516,441.8018844,248.552595,372.2333261,327.8481298,418.9876271,294.5062018,196.0260638,344.4502703,364.3466995,177.9880165,428.7805891,199.8591048,201.3838888,197.5676233,24
ELN,0.862828905,6.242061996,4.971788925,4.12E-05,0.025033842,2.177221771,1.818600816,44.45623682,44.45374631,55.09893948,49.24983359,50.71148355,46.99194926,53.04955331,65.45103962,95.56370462,57.7861091,87.76982851,102.1863531,97.73483793,169.2489475,132.6431508,153.923206,51.77226558,77.84385338,83.69433882,118.625579,109.4394721,88.26803257,61.44798745,70.94674171,3
SEPT10,1.135890709,6.920647031,4.93621267,4.51E-05,0.025033842,2.094958765,2.197541954,80.19911286,100.4256619,72.40708138,42.11628409,79.17360786,64.68519627,92.97707641,59.55349496,229.5481174,107.3516701,198.9560088,241.2750067,316.8260706,158.9978708,217.3784549,188.9395361,81.00836005,143.7346234,261.3574043,110.2137616,106.2328723,74.24262037,135.3705287,163.7271701,24
VEZF1,1.07759426,7.800685411,4.934016031,4.54E-05,0.025033842,2.089877532,2.110513796,147.3982998,135.7415761,140.9446357,92.81378875,144.4567282,143.3177036,148.3191288,141.4981604,349.6167131,178.4825233,341.9416595,471.9273256,721.2505937,403.639512,349.6634623,429.2809314,183.2287192,187.5043129,286.9657066,265.2712978,269.1910752,150.1017862,184.3984291,233.7219876,24
HNRNPA2B1,0.496200472,10.39927232,4.919102451,4.72E-05,0.025033842,2.055373897,1.410493944,1228.833268,1064.863981,909.7012855,1033.225104,975.3901132,1354.997073,1078.340748,1008.191659,1335.640718,1336.555927,1665.170674,1750.684771,1771.419082,2051.80032,1663.912449,1584.750093,1425.656796,1474.483326,1517.48551,1357.537169,1080.607828,1156.246075,1524.200349,1863.589414,24
