Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL,countP
LOC101060181 ,0.701655729,5.272595027,4.202080814,0.001564826,0.999972288,-3.971480215,1.626370249,29.87613698,20.49120131,33.97622535,45.54834949,41.10690454,45.34889317,46.53612261,45.75989837,50.77589904,39.0066464,8
FOLH1 ,0.875542932,5.250929255,3.97215247,0.002298855,0.999972288,-4.004746684,1.834698412,23.07223011,21.72970108,30.79161494,45.31204555,49.24460277,71.50651449,39.61603572,45.68246438,43.76510389,32.85715038,6
SOX17,-0.639821484,3.129166345,-3.881440351,0.002680255,0.999972288,-4.018568011,-1.558136347,9.516114818,14.60790595,12.2276393,7.275056443,8.667889136,6.082593187,8.443142561,7.920350003,7.681783546,7.848560467,8
MPZL2,0.664149699,4.848426928,3.877817776,0.002696789,0.999972288,-4.019128322,1.58463404,24.71665467,18.16208039,20.25627889,40.30811309,39.16810442,35.43719297,25.81350242,30.70530063,29.93579569,32.61887579,8
TTC12,0.509406768,5.183798674,3.844130516,0.002855711,0.999972288,-4.024369767,1.423464751,26.81020497,28.97478488,29.45019781,35.84284,37.38042924,39.94963099,42.63317597,40.03682725,49.4837685,38.91802342,4
EARS2,-0.762267524,5.421392807,-3.801576796,0.003070471,0.999972288,-4.031071017,-1.696154424,61.79674904,77.64426016,49.75169631,39.16071744,28.33901109,38.66614972,43.30219968,39.87034374,27.47159612,43.00565486,8
SHC4,0.733857071,3.860458591,3.377150634,0.006391451,0.999972288,-4.102906615,1.663079426,11.09597454,8.044228754,11.79707538,22.14839352,16.50627818,23.33694403,12.12394036,15.15463513,15.96110323,15.86450603,5
PSMD5-AS1,0.413086232,4.954466059,3.338504356,0.006837984,0.999972288,-4.1099037,1.331531198,24.01821504,23.46779284,28.98530577,31.39982564,33.45870419,33.04773512,32.4072753,33.65926011,37.1723598,35.70202346,5
F2RL2,-0.577090159,3.162055003,-3.298316331,0.007336278,0.999972288,-4.117260679,-1.491837254,11.40053093,13.30238543,10.95419955,7.200822588,7.939666057,6.06350616,9.468109849,6.872920721,9.164809264,9.613080122,3
IL10RA,0.548692985,5.008675782,3.199995457,0.008717729,0.999972288,-4.135605156,1.462759902,27.82397042,21.0085831,25.68063052,43.33792594,28.56799812,39.48730289,31.53358341,38.17245203,42.29729259,32.00026569,3
LPAR3,-0.46311873,2.222479275,-3.194971722,0.008795054,0.999972288,-4.136555574,-1.378518596,4.81950685,6.816318406,6.071735296,4.579945417,4.155173785,4.58433696,4.652532785,3.869583718,4.196135845,3.728504824,3
SHANK2,0.57030639,6.6610674,3.158339811,0.009380404,0.999972288,-4.143524056,1.484838877,69.08413501,70.12527876,93.27467695,161.1150701,96.31507012,109.7330015,108.8267823,97.91507012,118.3457433,116.1150701,10
KCNJ2,-0.83775764,6.48306162,-3.130291972,0.009855244,0.999972288,-4.148904889,-1.787270054,121.9150701,143.0953692,138.9007008,100.9127248,65.65126855,114.5247501,43.58434285,79.46853305,60.84103729,84.67632225,7
TNFAIP3,0.651070371,5.83237416,3.108002463,0.010249954,0.999972288,-4.153208876,1.570332833,38.66104978,37.22068116,49.83312844,72.20033676,55.91508436,100.1878829,57.48768422,66.9545988,64.60438354,50.01715101,8
FOXQ1,-0.778325096,5.867435498,-3.094022491,0.010505663,0.999972288,-4.15592087,-1.715138518,93.29718889,79.87367177,82.90454881,45.27943692,52.36189397,30.05860814,83.16439889,44.89779965,55.64322675,50.28404516,9
