Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL,countP
ATG10,0.654669156,5.503410968,7.896929095,5.19E-06,0.103677784,1.046124919,1.574254898,33.13752012,34.07168903,31.87895381,51.64772807,54.07804285,55.12695198,46.4543023,49.5575481,56.71942838,50.97958599,10
KNSTRN,-0.625523195,6.631446027,-7.772036303,6.07E-06,0.103677784,0.991069838,-1.542770211,138.9924218,140.0924218,124.3997062,88.59915981,88.51457522,80.56075963,84.50329348,84.51193272,95.32221042,88.07706777,10
CLCN5,1.099728161,5.368599387,7.598987958,7.59E-06,0.103677784,0.912100093,2.143143066,25.49499305,22.8536459,24.41802392,61.53552308,44.89757013,58.08115836,39.11968761,56.76233978,61.26363289,46.6585434,10
DCP2,0.549612066,5.688928009,6.199537913,5.24E-05,0.409155903,0.141365826,1.463692063,37.9364215,40.05295768,40.59556219,57.88302664,53.22397129,55.35596339,60.17347381,65.74671953,52.49599389,61.09166585,10
ABCG1,1.236061179,6.60243945,5.876599648,8.49E-05,0.522212085,-0.075080929,2.355545467,43.96433301,59.00453962,58.50849274,167.5500862,167.0606529,77.38037019,131.432441,126.8816828,120.6320269,113.476153,10
PRSS23,-1.224856842,8.867112212,-5.539801755,0.000142627,0.522212085,-0.318506818,-2.337322555,813.0924218,1166.805343,638.2210061,358.0637781,435.0195564,289.8528667,260.2797562,366.6205452,531.0508906,355.727948,10
VPS8,0.777489838,4.812338559,5.145883545,0.000267054,0.522212085,-0.627483249,1.714145814,13.88218496,21.65323008,23.79545144,32.26393056,35.24496976,37.00505054,29.53888187,33.42687629,29.05213147,35.51115721,8
GABPB1-AS1,0.525662942,7.529401851,4.980282491,0.0003499,0.522212085,-0.765497845,1.439594945,133.2180698,150.6031076,146.2263678,219.7610425,221.3618987,242.6728949,172.8983602,199.6448253,198.4579134,195.228448,10
PLA2G4C,0.495562743,4.54736774,4.974505372,0.000353238,0.522212085,-0.770401062,1.409870588,19.93191032,18.06548712,17.25866689,24.72890594,23.0286781,30.26078894,23.85389377,26.59222297,28.21611486,25.48999598,3
COA7,0.46062682,6.554611072,4.971565541,0.000354949,0.522212085,-0.772898487,1.376139591,72.61443609,76.53411155,76.44241263,95.89360276,107.0222436,101.656392,108.7141519,103.5473551,119.4364135,90.40090991,10
