Gene 1	Gene 2	Weight	Network group	Network
HNRNPA1	PABPC1	0.1670105	Physical interactions	Jeronimo-Coulombe-2007
HNRNPA1	HNRNPA2B1	0.048485857	Physical interactions	Jeronimo-Coulombe-2007
TARDBP	HNRNPA1	0.09660951	Physical interactions	Jeronimo-Coulombe-2007
TARDBP	MATR3	0.067115605	Physical interactions	Freibaum-Taylor-2010
TARDBP	PABPC1	0.067115605	Physical interactions	Freibaum-Taylor-2010
TARDBP	HNRNPA2B1	0.067115605	Physical interactions	Freibaum-Taylor-2010
TARDBP	HNRNPA1	0.067115605	Physical interactions	Freibaum-Taylor-2010
VCP	TARDBP	0.067115605	Physical interactions	Freibaum-Taylor-2010
VCP	ALS2	0.060633905	Physical interactions	Yu-Chow-2013
VCP	DIAPH3	0.060633905	Physical interactions	Yu-Chow-2013
VCP	SPAST	0.060633905	Physical interactions	Yu-Chow-2013
VCP	HNRNPA1	0.060633905	Physical interactions	Yu-Chow-2013
PABPC1	APEX1	0.07463899	Physical interactions	Kristensen-Foster-2012
HNRNPA1	HNRNPA2B1	0.03636702	Physical interactions	Kristensen-Foster-2012
VEGFA	KDR	0.14645924	Physical interactions	IREF-DIP
SOD1	CCS	0.38612896	Physical interactions	IREF-DIP
TARDBP	ATXN2	0.96076894	Physical interactions	IREF-DIP
SOD1	SOD2	0.10426591	Physical interactions	Havugimana-Emili-2012
DYNC1H1	DCTN1	0.035813283	Physical interactions	Havugimana-Emili-2012
DYNC1H1	FUS	0.040179376	Physical interactions	Havugimana-Emili-2012
HNRNPA2B1	SQSTM1	0.26461813	Physical interactions	Havugimana-Emili-2012
HNRNPA1	PABPC1	0.035175137	Physical interactions	Havugimana-Emili-2012
HNRNPA1	HNRNPA2B1	0.03116256	Physical interactions	Havugimana-Emili-2012
TBK1	OPTN	0.02144197	Physical interactions	Li-Dorf-2011 A
APOE	MAPT	0.027815104	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
EPHA4	VAPB	0.08496127	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
VEGFA	KDR	0.029225	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SOD1	CCS	0.09501547	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SOD1	RNF19A	0.09504861	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SOD1	PARK7	0.020240515	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
OPTN	SOD1	0.031516604	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
FUS	ARHGEF28	0.11226702	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TBK1	OPTN	0.0210462	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
DYNC1H1	DCTN1	0.04477174	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PABPC1	ATXN2	0.037640315	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SQSTM1	ARHGEF28	0.03625297	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SQSTM1	CHMP2B	0.017656637	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SQSTM1	MAPT	0.006330001	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SQSTM1	FUS	0.009406459	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PSEN1	MAPT	0.014153876	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SMN1	SMN2	0.031013029	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SMN1	EWSR1	0.016653677	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HNRNPA2B1	SMN1	0.017844815	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
AR	KIFAP3	0.016270272	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
AR	PARK7	0.0043739784	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HNRNPA1	LMNB1	0.010607377	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HNRNPA1	EWSR1	0.012076591	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HNRNPA1	PABPC1	0.004376885	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HNRNPA1	SMN1	0.0037895928	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TARDBP	ARHGEF28	0.19709127	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TARDBP	UBQLN2	0.06862859	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
