Gene 1	Gene 2	Weight	Network group	Network
UBC	PFN1	0.069504805	Physical interactions	Zhou-Liang-2012
UBC	DYNC1H1	0.069504805	Physical interactions	Zhou-Liang-2012
UBC	HNRNPA2B1	0.069504805	Physical interactions	Zhou-Liang-2012
UBC	HNRNPA1	0.069504805	Physical interactions	Zhou-Liang-2012
UBC	TARDBP	0.069504805	Physical interactions	Zhou-Liang-2012
UBC	VCP	0.069504805	Physical interactions	Zhou-Liang-2012
LMNA	UBC	0.069504805	Physical interactions	Zhou-Liang-2012
ILF3	UBC	0.069504805	Physical interactions	Zhou-Liang-2012
EEF1D	UBC	0.069504805	Physical interactions	Zhou-Liang-2012
UBC	SMN2	0.059028134	Physical interactions	Altun-Kessler-2011
UBC	SQSTM1	0.059028134	Physical interactions	Altun-Kessler-2011
UBC	SMN1	0.059028134	Physical interactions	Altun-Kessler-2011
UBC	TARDBP	0.059028134	Physical interactions	Altun-Kessler-2011
UBC	VCP	0.059028134	Physical interactions	Altun-Kessler-2011
DDX20	UBC	0.059028134	Physical interactions	Altun-Kessler-2011
USP36	UBC	0.059028134	Physical interactions	Altun-Kessler-2011
DYNLT1	UBC	0.059028134	Physical interactions	Altun-Kessler-2011
YBX1	UBC	0.059028134	Physical interactions	Altun-Kessler-2011
UBC	UBQLN2	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
UBC	MATR3	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
UBC	LMNB1	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
UBC	PABPC1	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
UBC	SQSTM1	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
UBC	HNRNPA2B1	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
UBC	HNRNPA1	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
UBC	VCP	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
IKBKAP	UBC	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
HNRNPL	UBC	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
MYO6	UBC	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
TNPO1	UBC	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
RBM3	UBC	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
ILF3	UBC	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
BRE	UBC	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
DYNLT1	UBC	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
IARS	UBC	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
PRMT1	UBC	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
YBX1	UBC	0.03928371	Physical interactions	Matsumoto-Nakayama-2005
UBC	SETX	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	CRIM1	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	PRPH	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	NEFH	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	SIGMAR1	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	OGG1	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	UBQLN2	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	PFN1	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	MATR3	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	DCTN1	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	TUBA4A	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	TBK1	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	DYNC1H1	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	EWSR1	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	SQSTM1	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	HNRNPA1	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	TARDBP	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	VCP	0.027524095	Physical interactions	Lee-Doedens-2011
UBC	RNH1	0.027524095	Physical interactions	Lee-Doedens-2011
LMNA	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
TFRC	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
DHDDS	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
ITCH	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
MYO6	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
TNPO1	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
RPA1	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
BRE	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
PTBP2	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
APP	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
NUP155	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
YBX1	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
HSPA2	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
EEF1D	UBC	0.027524095	Physical interactions	Lee-Doedens-2011
SF3A2	FUS	0.09516725	Physical interactions	Behzadnia-Lührmann-2007
SF3A2	HNRNPA2B1	0.09516725	Physical interactions	Behzadnia-Lührmann-2007
SF3A2	HNRNPA1	0.09516725	Physical interactions	Behzadnia-Lührmann-2007
SF3A2	SRRM2	0.09516725	Physical interactions	Behzadnia-Lührmann-2007
SF3A2	ILF3	0.09516725	Physical interactions	Behzadnia-Lührmann-2007
YBX1	SF3A2	0.09516725	Physical interactions	Behzadnia-Lührmann-2007
ABL2	ERBB4	0.23546752	Physical interactions	Jones-MacBeath-2006
ANKS1A	ERBB4	0.28443617	Physical interactions	Jones-MacBeath-2006
ANKS1B	ERBB4	0.28443617	Physical interactions	Jones-MacBeath-2006
RASA1	ERBB4	0.23546752	Physical interactions	Jones-MacBeath-2006
SHC1	ERBB4	0.23546752	Physical interactions	Jones-MacBeath-2006
SYK	ERBB4	0.23546752	Physical interactions	Jones-MacBeath-2006
ABL1	ERBB4	0.23546752	Physical interactions	Jones-MacBeath-2006
PIK3R1	ERBB4	0.23546752	Physical interactions	Jones-MacBeath-2006
RPA2	TAF15	0.031686213	Physical interactions	Maréchal-Zou-2014
