"Gene","C9AvgExpr","C9AdjPValue"
"RALGDS",5.162647579,0.027265507
"PTEN",4.283476117,0.07822444
"CEBPB",3.711081009,0.143850056
"NAP1L1",4.357458508,0.143850056
"ITGB5",2.755209029,0.150462396
"AHCYL1",5.814467628,0.150462396
"UBE2B",1.76397069,0.150462396
"UBE2G2",3.052514477,0.15858625
"GFAP",7.466297591,0.184961594
"EEF1A1",6.438121686,0.189192862
"PRKAA1",3.287911107,0.189192862
"C9orf72",3.026265177,0.230300075
"RWDD1",4.609218819,0.255791065
"CNOT2",3.198072301,0.255791065
"UPF3A",5.190702361,0.279484531
"CDC14B",1.167341571,0.280859732
"CD81",3.824414329,0.296905022
"CPSF4",3.067043359,0.338461922
"IFITM2",4.830213513,0.346820678
"KCTD20",5.126065941,0.35487846
"CTSH",2.130312944,0.356764893
"SP3",4.487442947,0.356764893
"MAFF",5.126229738,0.356764893
"DSTN",4.004093841,0.360709707
"STAT5B",3.091119768,0.373985829
"LASP1",4.739659726,0.377660682
"SSR1",6.008109359,0.39707416
"ARGLU1",1.03216158,0.39807515
"TNPO1",5.305124471,0.400267243
"KPNA3",2.581048097,0.400887754
"TRIM35",2.143897685,0.403529797
"S100A11",1.334757767,0.403823818
"UQCRB",5.365647775,0.406063337
"RDX",5.273738336,0.406063337
"DYNLT1",2.672713709,0.406063337
"MGEA5",0.7603832,0.406063337
"STMN2",7.872044765,0.406063337
"IRAK1",4.014812826,0.406063337
"C1orf109",3.109883621,0.415498813
"STK4",3.704030676,0.415498813
"PPP2R2A",4.85597505,0.424054029
"SHC1",5.464231321,0.427850077
"CAMK2D",6.496251555,0.427850077
"EPS15",3.986094573,0.427850077
"TUBA1A",11.08930484,0.428781916
"COX5A",3.082606693,0.428781916
"PRKCA",3.615874979,0.428781916
"LYN",0.339484688,0.428781916
"WDR48",3.659008953,0.428781916
"SH3GL3",3.856938294,0.437881612
"PRPF4B",2.031735148,0.439855158
"UBE2D2",2.990569165,0.439855158
"TRIM8",3.763384196,0.439855158
"DVL1",4.154606969,0.452672478
"ACTR1A",1.643691201,0.453921336
"PTN",4.12410279,0.453921336
"CNOT6",1.221896378,0.453921336
"HTATSF1",2.18263921,0.460747424
"LNPEP",0.598881671,0.474680972
"TOB1",2.450379215,0.474680972
"SYAP1",3.794409692,0.488798653
"GABRG2",5.662562851,0.492740887
"MOB1A",0.718572029,0.493750238
"ACTR3",0.742081821,0.493750238
"TUBB",4.787315696,0.500213182
"KAT6A",1.6929148,0.503386181
"TUBB2B",7.599247873,0.503386181
"SPARC",3.927384524,0.503386181
"CIRBP",5.995581572,0.504778398
"YES1",1.381716774,0.506143632
"CCSER2",4.940706632,0.506143632
"VPS35",6.545336288,0.506143632
"ARL1",1.455509857,0.506143632
"RPS17",5.623509428,0.506143632
"CSDE1",1.437792992,0.506143632
"DRG1",3.77053006,0.506143632
"SOCS3",1.401497373,0.506143632
"TMBIM4",4.643941611,0.507408283
"EFEMP2",2.19108477,0.508768898
"HEY1",6.82347852,0.514849113
"NIF3L1",3.109808748,0.515979387
"CNOT6L",1.384247439,0.515979387
"PECAM1",3.207799376,0.519400694
"JUNB",0.696850841,0.524785938
"KPNA1",1.893461954,0.524785938
"CORO1C",4.603527011,0.524785938
"RGS14",2.033392732,0.525977296
"SEPT7",7.928279669,0.525977296
"RBPJ",5.884570684,0.52651846
"RTN4",9.282079017,0.52651846
"SEPT2",5.010866939,0.534406047
"ATF7IP",3.264627103,0.535391461
"AGTPBP1",2.630106121,0.535391461
"CCNB1",1.831460556,0.540569569
"KIF3A",8.039765617,0.540569569
"SMAD6",1.133333243,0.540770214
"PDS5B",0.105781197,0.540770214
"GLMN",2.009424442,0.540770214
"PDHB",6.532157092,0.540770214
"GOLIM4",1.871438041,0.540770214
"CSNK2A1",4.494298954,0.542569915
"VCL",4.050398381,0.544293082
"ETS2",2.289172354,0.550066447
"PLCG2",1.629376937,0.550066447
"CRY1",1.128949252,0.550066447
"PGLS",2.982112947,0.550565625
"RSRC1",1.271616048,0.551897542
"TXNIP",2.91140908,0.551897542
"CLK1",1.133192986,0.557352088
"PDE4D",1.031677504,0.563776406
"NPEPPS",3.805832204,0.563776406
"FXR1",5.054447399,0.563776406
"TNRC6B",5.092307227,0.563776406
"IGFBP5",3.697875505,0.563776406
"CACYBP",3.710342037,0.563776406
"ACTR2",2.425752868,0.563776406
"S100A6",4.155284147,0.563776406
"PLOD2",1.282090269,0.564168666
"SRP72",0.997019558,0.567220992
"PQBP1",2.156652475,0.567220992
"APP",6.17759596,0.568533449
"ARMC8",0.642530612,0.568533449
"SERBP1",5.122174358,0.570033296
"YWHAZ",8.418966281,0.572959801
"DCTPP1",4.502727098,0.580517482
"STK39",7.41113226,0.583388289
"RANBP6",6.20992274,0.583388289
"SLC35F6",3.165933455,0.584580774
"UBR1",4.481709568,0.584580774
"PCMT1",8.227404784,0.584580774
"YBX1",3.755157792,0.587065299
"RAD23B",4.575444852,0.587065299
"UBE2D4",4.521961243,0.587065299
"TUBB2A",11.22737619,0.587065299
"USP14",4.880535681,0.587065299
"PTPN4",0.231091498,0.587065299
"SMARCA2",6.263734419,0.587065299
"MRPL9",1.291313322,0.587161016
"TUBB4B",7.666412426,0.589416868
"SEPT8",1.90656262,0.590120029
"GOLGA3",2.47411413,0.590216683
"TNIP2",2.225756972,0.590216683
"ZDHHC17",3.0183662,0.591618957
"GNL1",1.647235264,0.591685961
"WDTC1",4.456926416,0.592740839
"GLRX3",1.559367919,0.592740839
"YWHAQ",6.283942996,0.594756609
"RPS10",5.05585115,0.595112321
"WASL",4.999978746,0.595472479
"RAB3C",2.630509716,0.595979365
"DR1",3.400956702,0.595979365
"CHST15",1.831007619,0.595979365
"NCOR1",0.94210197,0.595979365
"PSMA2",2.235142181,0.595979365
"UBASH3B",5.163412104,0.595979365
"PPM1L",4.590146049,0.595979365
"OTUD1",1.655708879,0.595979365
"SUGT1",4.037149503,0.596985344
"ADAM17",1.248382955,0.596985344
"NOTCH2NL",4.088282784,0.596985344
"SH3KBP1",2.857441235,0.596985344
"PTPN5",3.203559052,0.596985344
"PJA2",4.550367934,0.596985344
"SET",3.376074103,0.596985344
"RPS4X",7.595644743,0.596985344
"WWP2",3.072746588,0.596985344
"MAPK8",3.179873705,0.597482837
"CTBP2",1.140148216,0.597482837
"CALD1",4.51132842,0.597482837
"VPS25",2.343452983,0.597482837
"FKBP5",5.354636904,0.597482837
"GBP2",2.098521291,0.597482837
"JMJD6",3.467822249,0.597482837
"UBE2V2",3.174664896,0.598287102
"PAPOLA",2.264220366,0.598386359
"NOTCH2",1.121564194,0.59872784
