Genename,C9only
FGF1,true
MIF,true
CD74,true
ATF4,true
CEBPD,true
BATF,true
DBP,true
BATF3,true
ATF7,true
ATF5,true
APLP1,true
TOM1,true
TRIM33,true
EFEMP2,true
AQP1,true
SCN1A,true
MTMR4,true
UBE2G2,true
GFAP,true
AMACR,true
LRP10,true
C4A,true
CPSF4,true
RFFL,true
MTFP1,true
PRUNE2,true
NQO1,true
IFITM2,true
TRAF3IP1,true
CHMP4A,true
CHMP5,true
ASB8,true
TM4SF1,true
DDR1,true
VTA1,true
CD68,true
CNKSR1,true
SELENOI,true
ERCC4,true
C9orf72,true
MAOA,true
VAT1,true
PPIL3,true
RAB7A,true
MTMR1,true
CDC14B,true
KCTD20,true
MARK4,true
CLN3,true
ATP2B1,true
PEX19,true
TSPAN17,true
C20orf24,true
RRAS,true
GABARAPL2,true
STIP1,true
CDK3,true
UPF3B,true
C2,true
ZNF142,true
TMEM45B,true
SCARB2,true
DYNC1LI2,true
FAM107A,true
RIN1,true
TRAP1,true
EIF3K,true
MYSM1,true
CDC20,true
PDK1,true
SRRM2,true
RIBC2,true
ZNF198,true
SRXN1,true
SEC24A,true
CPLX1,true
TTLL12,true
TRIM45,true
KRT13,true
HIST2H2AC,true
RNF20,true
URGCP,true
KIAA1841,true
TRIM3,true
RNF146,true
VPS4A,true
MID2,true
CLK2,true
RIMBP3,true
TXNL1,true
EEF1B2,true
HNRPDL,true
RBM4,true
MRPS7,true
ENO3,true
ALPL,true
KIF1B,true
POLE2,true
AGO3,true
DIABLO,true
KRAS,true
ITGB1BP1,true
DFNA5,true
ZWINT,true
TOM1L2,true
GMPS,true
TFDP1,true
CDK5R1,true
BUB1B,true
LAMB1,true
POLDIP3,true
YTHDF1,true
FAF2,true
ATP2A2,true
VARS,true
ENTPD5,true
KCTD9,true
NUDT3,true
RGS2,true
HOOK2,true
CORO1A,true
CRTAC1,true
RAP1B,true
HADHA,true
TUBGCP4,true
PPP4C,true
RNF157,true
PYROXD1,true
DHX16,true
POU1F1,true
NDUFS4,true
RBM3,true
PARN,true
EFHD2,true
SMAP,true
HTRA2,true
UQCRH,true
AUP1,true
PCSK9,true
RBBP8,true
TMPRSS3,true
CCDC85B,true
KCNIP4,true
RRAGA,true
GPX7,true
ARL14,true
ZP3,true
OR2L13,true
RARB,true
NRF1,true
GORASP2,true
HNRNPUL1,true
THRAP3,true
HNRNPL,true
UBR5,true
FARP2,true
NCOR2,true
BHLHB3,true
RINT1,true
UFM1,true
BAG5,true
CISD2,true
SETSIP,true
BZW2,true
CRYAB,true
CHCHD6,true
EXOSC4,true
DYRK4,true
MLLT6,true
MRPL14,true
RGS17,true
LTV1,true
TYMS,true
HIPK4,true
EXOSC2,true
RWDD1,true
CTSH,true
TCF4,true
RGS20,true
KIAA1958,true
CPOX,true
LRPAP1,true
HIST1H2AD,true
KIAA1211,true
FZR1,true
KIAA0368,true
DYRK2,true
TSTA3,true
CRX,true
NR1C1,true
HSPA2,true
TNFSF11,true
AXUD1,true
TAF15,true
ABTB2,true
ZFYVE21,true
PLIN3,true
PHLPP2,true
RRAS2,true
KRTAP4-12,true
EML3,true
THBS1,true
FSD2,true
CSTB,true
MTRNR2L1,true
ZBTB7A,true
