Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
negative regulation of cellular component organization (GO:0051129)	31/474	0.00000005530593884935277773951824674403265902355997241102159023284912109375	0.000179301853749601705113880800723791253403760492801666259765625	0.000002147801915488121648968762589237968541056034155189990997314453125	0.00520170301422431986815286819592074607498943805694580078125	-2.50975592349241	21.65025848355525	ITGB1;STMN2;BUB1B;CORO1A;THBS1;AURKA;CDC20;CST3;TMSB4X;UBR5;BUB1;CLASP2;VAT1;TGFB1;MYOC;UBE2C;MID1IP1;HSPA2;BMP7;PEX14;GFAP;BMP5;BMP4;TOM1L2;ERCC4;CHMP4B;UNC119;ITGB1BP1;CHMP4A;TRIM37;CDK5R1
regulation of cellular response to stress (GO:0080135)	27/404	0.00000026487424813509002198571684431882555799120382289402186870574951171875	0.00021468057811349045374028909893837635536328889429569244384765625	0.0000068792491690861738346299790458626688405274762772023677825927734375	0.005575631451544343746007381668050584266893565654754638671875	-2.4996375842277767	21.11283720054355	CEBPG;HTRA2;FOXO1;STK3;CLN3;BAG5;PPP4C;UBR5;TNFSF11;POLH;IGBP1;TRAP1;CD74;MGMT;NEK6;HMGA1;MIF;BMP7;HIC1;RINT1;CHMP4B;CHMP4A;SERINC3;TPT1;CD44;ATF4;RAB7A
negative regulation of organelle organization (GO:0010639)	20/237	0.00000025920678073199546603483443656112950037595510366372764110565185546875	0.00021468057811349045374028909893837635536328889429569244384765625	0.000004813420432656680871138198118952544746207422576844692230224609375	0.00520170301422431986815286819592074607498943805694580078125	-2.4309698953102323	20.532845226426403	VAT1;MYOC;UBE2C;MID1IP1;STMN2;BUB1B;BMP7;CORO1A;AURKA;BMP4;CDC20;TOM1L2;ERCC4;TMSB4X;UBR5;CHMP4B;CHMP4A;TRIM37;BUB1;CLASP2
regulation of cell division (GO:0051302)	20/234	0.00000021095406378019986508193001246980191609736721147783100605010986328125	0.00021468057811349045374028909893837635536328889429569244384765625	0.000004029492053629100682308160352729231590274139307439327239990234375	0.00520170301422431986815286819592074607498943805694580078125	-2.3932249892346547	20.214038187297298	CUL9;TGFB1;UBE2C;NEK6;VPS4A;BUB1B;CABLES1;FGF1;BMP7;SIRT2;CABLES2;ZNF16;AURKA;BMP4;CDC20;TOM1L2;FZR1;ITGB1BP1;PKN2;BUB1
negative regulation of cell cycle (GO:0045786)	26/430	0.0000028669975933628281383465201404003863672187435440719127655029296875	0.00185896123953645762971742527724927640520036220550537109375	0.0000512950109995585326106738721652078538681962527334690093994140625	0.02384176157727235789707265212200582027435302734375	-2.470183203404892	15.53186336385781	PRKAA1;CAB39;VPS4A;BUB1B;HTRA2;THBS1;PRKAG3;CDC73;AURKA;TBRG4;CDC20;STK11;PSMB2;BUB1;TCF7L2;TGFB1;UBE2C;MIF;BMP7;MLF1;ZWINT;BMP4;PSMA6;TOM1L2;TRIM37;CDKN3
negative regulation of proteolysis (GO:0045861)	20/302	0.00001087879829450852373138973472332935443773749284446239471435546875	0.0032062785518906030020336306307626728084869682788848876953125	0.000121838769686376450335739407559998426222591660916805267333984375	0.0276380688609253362397755182655600947327911853790283203125	-2.408016678473168	13.828383358919902	IGBP1;GABARAPL2;CSTB;CSTA;UBE2C;BUB1B;THBS1;AQP1;C4B;CDC20;CST3;CLN3;C4A;NELL1;BAG5;RFFL;BUB1;CRYAB;CD44;LAMTOR5
regulation of protein catabolic process (GO:0042176)	18/260	0.000016494168879725167628329252078600575259770266711711883544921875	0.00387507053216602607992324891483804094605147838592529296875	0.00015833935917303358967798965206696948371245525777339935302734375	0.0276380688609253362397755182655600947327911853790283203125	-2.453985232426845	13.62744972400581	GABARAPL2;UBE2C;NEK6;PCSK9;BUB1B;RAD23A;TNFRSF1B;RAD23B;FOXO1;SIRT2;AURKA;CDC20;CST3;NELL1;FZR1;BAG5;TRIB1;BUB1
regulation of cellular protein catabolic process (GO:1903362)	14/155	0.0000074732978646505932661500866409642895860088174231350421905517578125	0.0030289080056267229067168411660304627730511128902435302734375	0.00006557322011857744906322686961885892742429859936237335205078125	0.02384176157727235789707265212200582027435302734375	-2.326014330220491	13.48984366274098	GABARAPL2;UBE2C;NEK6;PCSK9;BUB1B;RAD23A;RAD23B;SIRT2;AURKA;CDC20;NELL1;BAG5;TRIB1;BUB1
regulation of apoptotic signaling pathway (GO:2001233)	21/356	0.0000371562579431586144569112095670249118484207428991794586181640625	0.004441134196932543416747041220560276997275650501251220703125	0.0003690110190067839748655209586303271862561814486980438232421875	0.03203638578675853387789373982741381041705608367919921875	-2.478059315757594	13.423264417115321	IGBP1;TCF7L2;TRAP1;CD74;NOG;HTRA2;MIF;STK4;GATA1;THBS1;BMP5;STK3;TFDP1;BAG5;CTSH;RFFL;SERINC3;BUB1;CD44;TPT1;DFNA5
regulation of proteasomal protein catabolic process (GO:0061136)	13/135	0.000007862567966457345230795426826997385205686441622674465179443359375	0.0030289080056267229067168411660304627730511128902435302734375	0.00006535563786881087183257277306580590447993017733097076416015625	0.02384176157727235789707265212200582027435302734375	-2.304304890356071	13.3639386130722	GABARAPL2;UBE2C;NEK6;BUB1B;RAD23A;RAD23B;SIRT2;AURKA;CDC20;NELL1;BAG5;TRIB1;BUB1
negative regulation of intracellular signal transduction (GO:1902532)	21/345	0.00002345144800738195830819461662475333696420420892536640167236328125	0.00387507053216602607992324891483804094605147838592529296875	0.0002481827264338295970132197698632126048323698341846466064453125	0.0276380688609253362397755182655600947327911853790283203125	-2.3954469919896013	13.30237566979017	IGBP1;CD74;TRAP1;PRKAA1;CRTC3;MYOC;HTRA2;UBR2;MIF;BMP7;THBS1;FOXO1;DUSP7;BMP4;RGS2;BAG5;ITGB1BP1;NF2;RFFL;CD44;TPT1
negative regulation of protein maturation (GO:1903318)	20/316	0.0000209954818781526875311714552818642687270767055451869964599609375	0.00387507053216602607992324891483804094605147838592529296875	0.00021505677933816118026048858080656600577640347182750701904296875	0.0276380688609253362397755182655600947327911853790283203125	-2.3904379767279313	13.274559649243999	IGBP1;GABARAPL2;CSTB;CSTA;UBE2C;BUB1B;THBS1;AQP1;C4B;CDC20;CST3;CLN3;C4A;NELL1;BAG5;RFFL;BUB1;CRYAB;CD44;LAMTOR5
