Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
cytosol (GO:0005829)	94/2529	0.0000000860621991622441190955417468326504870645976552623324096202850341796875	0.000032445449084166032012281621899063566161203198134899139404296875	0.00004502843619538774203557573994061158373369835317134857177734375	0.01372204534044276814930274355219808057881891727447509765625	-2.0971989640174207	21.676544405139676	VARS;SRXN1;BUB1B;UBE3A;FGF1;ENO3;NUDT3;PRKAG3;CDC20;EEF1B2;RGS2;STK11;GRAP2;TOM1;RAC3;CTSH;NUDT18;RPL38;GABARAPL2;SPHK1;SIRT2;HAUS2;DUSP7;PSMA6;DYNC1LI2;CHMP4B;ITGB1BP1;CHMP4A;MYL9;CRYAB;CHMP5;PHLPP2;PFKFB2;MTMR1;PRKAA1;CAB39;ROCK1;DIABLO;VPS4B;VPS4A;PARN;GMPS;CRMP1;HTRA2;STK4;MTMR4;TYMS;CPLX1;FOXO1;MALT1;STK3;PAPSS1;AURKA;RAP1B;NXF1;FZR1;EXOSC4;PSMB2;PDCD10;CCL3;DMD;SRGAP3;EXOSC2;BUB1;CLASP2;FARP2;NQO1;EIF2B2;PEX19;SEC24A;APOBEC3G;UBE2C;MID1IP1;IDH1;NEK6;ALYREF;VTA1;HMGA1;DTNBP1;UPF3B;CABLES1;HSPA2;UBE2G2;SORBS3;ZWINT;GFAP;RNF146;AGO3;EIF3K;UNC119;TRIM37;TUBGCP4;CDK5R1;LAMTOR5
vacuole (GO:0005773)	20/293	0.0000069604525363595700208929097085874815320494235493242740631103515625	0.0013120453031037790196655645758028185809962451457977294921875	0.000094023409735725333260560054871035617907182313501834869384765625	0.01372204534044276814930274355219808057881891727447509765625	-2.328756523053779	15.454019656063462	SCARB2;SFTPB;CD74;GABARAPL2;VPS4B;PCSK9;CD1D;C9ORF72;CST3;CLN3;RRAGA;CTSL;NEU1;CTSH;CTSF;LAMTOR1;CD68;RFFL;LAMTOR5;RAB7A
lysosome (GO:0005764)	18/261	0.0000173686937506831962584573358920891905654571019113063812255859375	0.00163699938600189135069762347285404757712967693805694580078125	0.00018604206301923881272143701526289305547834374010562896728515625	0.01372204534044276814930274355219808057881891727447509765625	-2.2922977057549865	14.704838444968495	SCARB2;SFTPB;VPS4B;PCSK9;CD1D;C9ORF72;CST3;CLN3;RRAGA;CTSL;NEU1;CTSH;CTSF;LAMTOR1;CD68;RFFL;RAB7A;LAMTOR5
lytic vacuole (GO:0000323)	18/261	0.0000173686937506831962584573358920891905654571019113063812255859375	0.00163699938600189135069762347285404757712967693805694580078125	0.00018604206301923881272143701526289305547834374010562896728515625	0.01372204534044276814930274355219808057881891727447509765625	-2.2720014308858882	14.57464006705472	SCARB2;SFTPB;VPS4B;PCSK9;CD1D;C9ORF72;CST3;CLN3;RRAGA;CTSL;NEU1;CTSH;CTSF;LAMTOR1;CD68;RFFL;LAMTOR5;RAB7A
ER to Golgi transport vesicle membrane (GO:0012507)	6/30	0.000038495339576472548787609839759937813141732476651668548583984375	0.002073249002904307101979863858787211938761174678802490234375	0.00021838798950306795147204008689101328855031169950962066650390625	0.01372204534044276814930274355219808057881891727447509765625	-2.315712691847878	14.307951212009723	CD74;SEC24A;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DPA1
MHC class II protein complex (GO:0042613)	5/18	0.0000319003154020709795888298410115879732984467409551143646240234375	0.0020044031510967931508648831595564843155443668365478515625	0.00020196261912680706150473308735371347211184911429882049560546875	0.01372204534044276814930274355219808057881891727447509765625	-2.295438636580985	14.26020351352172	CD74;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DPA1
neuronal cell body (GO:0043025)	18/270	0.0000273089802969096501379653307850503551890142261981964111328125	0.0020044031510967931508648831595564843155443668365478515625	0.0002747535958104492938118557088245097475009970366954803466796875	0.01479744366007705418109008377314239623956382274627685546875	-2.202587623032353	13.68337504660507	NQO1;TGFB1;TMPRSS3;KCNIP4;STMN2;CRMP1;GRIK2;TNFRSF1B;S100B;CPLX1;BEGAIN;CST3;EEF1A2;RAC3;ASIC2;RIN1;CDK5R1;SCN1A
cell body (GO:0044297)	19/315	0.000064392924682098295744749061331191342105739749968051910400390625	0.0030345165756438820768570163721733479178510606288909912109375	0.000605067498694625131340496526632932727807201445102691650390625	0.02757398623872563125924983751247054897248744964599609375	-2.141945273480637	12.418362859842212	NQO1;TGFB1;TMPRSS3;KCNIP4;STMN2;CRMP1;GRIK2;TNFRSF1B;S100B;CPLX1;GFAP;BEGAIN;CST3;EEF1A2;RAC3;ASIC2;RIN1;CDK5R1;SCN1A
nucleoplasm (GO:0005654)	42/1051	0.000105739730592433039675463735118654540201532654464244842529296875	0.004429319825927473253113220152954454533755779266357421875	0.0024132586094479809533941416788138667470775544643402099609375	0.050544360875660492016248070967776584438979625701904296875	-2.105642203503684	11.411547388294846	NRF1;PHB;TYMS;GATA1;FOXO1;CKS1B;CDC14B;PPP1CB;CDC20;NXF1;RBM4;FZR1;RPS6KA5;PSMB2;RNF111;POLH;CPSF4;EGR1;TCF7L2;PHC2;BRF2;UBE2C;MGMT;ALYREF;GTF3A;HMGA1;UPF3B;RAD23B;DUSP7;RAD52;MED23;NCOR2;HNRNPL;PSMA6;TFDP1;HNRNPUL1;ERCC4;POLE2;RARB;TPT1;TRIM33;ATF4
perinuclear region of cytoplasm (GO:0048471)	21/411	0.00027665792349815081230257618472023750655353069305419921875	0.007513051593079927807650175708431561361066997051239013671875	0.0023141000844898620796008525957176971132867038249969482421875	0.050544360875660492016248070967776584438979625701904296875	-2.145774106435044	10.495224825343513	VPS4A;APLP1;STMN2;PCSK9;BUB1B;LAMB1;TNFRSF1B;S100B;SIRT2;AURKA;CST3;CDC20;NELL1;BAG5;MT-RNR2;RAC3;ITGB1BP1;NF2;ZP3;CDK5R1;CDKN3
