Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
protein serine/threonine kinase activity (GO:0004674)	25/449	0.0000182964117736212183019765820102264797242241911590099334716796875	0.01004473006371804817693504929820846882648766040802001953125	0.0003168368473614232975511806333912545596831478178501129150390625	0.11800044479986511458680098485274356789886951446533203125	-2.5313250043352107	11.645885055980504	DYRK4;PRKAA1;DYRK2;ROCK1;CAB39;BUB1B;STK4;PRKAG3;STK3;AURKA;STK11;PPP4C;RPS6KA5;CCL3;MARK4;BUB1;MARK3;PDK1;HIPK4;NEK6;PASK;CLK2;CDK3;PKN2;CDK5R1
protein serine/threonine kinase activator activity (GO:0043539)	4/14	0.000184186266368922824110399005803628824651241302490234375	0.0239780813678049410653247974778423667885363101959228515625	0.000859748231693006274671542410459323946270160377025604248046875	0.11800044479986511458680098485274356789886951446533203125	-2.8405287899931895	10.596919715992751	CAB39;STK4;STK3;CDK5R1
small conjugating protein binding (GO:0032182)	9/88	0.0001233493360358541186816427881467461702413856983184814453125	0.0239780813678049410653247974778423667885363101959228515625	0.00066423754202873399286877198477441197610460221767425537109375	0.11800044479986511458680098485274356789886951446533203125	-2.4763624731453926	9.238355340056913	DYRK2;UBR5;FAF2;RAD23A;MARK4;RAD23B;RAD18;RNF111;SIRT2
transcription factor binding (GO:0008134)	23/464	0.00022263483337629609635881233753451624579611234366893768310546875	0.0239780813678049410653247974778423667885363101959228515625	0.0023637234635972728495623140787529337103478610515594482421875	0.1729144384101943543452506446556071750819683074951171875	-2.3587440688329195	8.799566339919568	TCF7L2;EGR1;POU1F1;CEBPG;HMGA1;STK4;GATA1;SORBS3;RUNX2;SIRT2;NCOR2;PSMA6;TFDP1;BRMS1;ERCC4;THRAP3;BHLHE40;RBBP8;RARB;TCF4;ATF7;TRIB1;TPT1
ubiquitin binding (GO:0043130)	8/77	0.000262055534074370961340749719425957664498127996921539306640625	0.0239780813678049410653247974778423667885363101959228515625	0.0011960163973413367489995184911322212428785860538482666015625	0.1313226004280787784228579084810917265713214874267578125	-2.3392782297995893	8.726946786064902	DYRK2;UBR5;FAF2;RAD23A;MARK4;RAD23B;RAD18;SIRT2
fibroblast growth factor binding (GO:0017134)	4/20	0.00080408241412883670919120593367779292748309671878814697265625	0.047493576914094226548712640578742139041423797607421875	0.0026556600903018035865488233326914269127883017063140869140625	0.1729144384101943543452506446556071750819683074951171875	-2.833926754654873	8.635430516702943	FIBP;FGFBP1;FGFR4;THBS1
protein N-terminus binding (GO:0047485)	9/89	0.00013463740819169786881899508745874527448904700577259063720703125	0.0239780813678049410653247974778423667885363101959228515625	0.0007158117297237508343255019127582272631116211414337158203125	0.11800044479986511458680098485274356789886951446533203125	-2.2420214597513675	8.364119207035067	NCOR2;SRRM2;TGFB1;PEX19;PDCD10;KCNIP2;ERCC4;ZWINT;PEX14
RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity (GO:0000982)	13/204	0.000538814408947035721440810274174282312742434442043304443359375	0.04225844435884608396580830458333366550505161285400390625	0.00297804958831059118917750083710416220128536224365234375	0.1729144384101943543452506446556071750819683074951171875	-2.3287447591596138	7.368034492685592	EGR1;CDX4;BATF3;POU1F1;CRX;NRF1;GATA1;FOXO1;DBP;HSF1;BHLHE40;TCF4;ATF4
fibronectin binding (GO:0001968)	4/26	0.00223888504569386311005008138863558997400104999542236328125	0.058530851908853855081193984233323135413229465484619140625	0.00609604850920665054803126992055695154704153537750244140625	0.177248633261317178888560874838731251657009124755859375	-2.4509510403179173	6.9562923815744995	ITGB1;MYOC;CTSL;THBS1
ubiquitin-protein transferase activity (GO:0004842)	15/279	0.00121203460201641140259187778838168014772236347198486328125	0.047493576914094226548712640578742139041423797607421875	0.00663591053916241964405475783905785647220909595489501953125	0.177248633261317178888560874838731251657009124755859375	-2.2603396774034636	6.887618459546763	RNF20;UBE2C;UBR2;UBE3A;UBE2G2;MALT1;RNF146;TSPAN17;UBR5;TRIM3;ARIH2;TRIM37;RFFL;RNF111;TRIM33
protein C-terminus binding (GO:0008022)	11/162	0.000843393466638169843861694285891417166567407548427581787109375	0.047493576914094226548712640578742139041423797607421875	0.0038994427216596191411446259422746152267791330814361572265625	0.1729144384101943543452506446556071750819683074951171875	-2.2578049409202445	6.879894709896904	CDC20;PRKAA1;SNTG1;ERCC4;VPS4B;TRIM3;VPS4A;ATP2A2;TCF4;CORO1A;ATF4
kinase regulator activity (GO:0019207)	10/141	0.00103121934417079071100165066354747978039085865020751953125	0.047493576914094226548712640578742139041423797607421875	0.004370753192043609104688872690758216776885092258453369140625	0.1729144384101943543452506446556071750819683074951171875	-2.2484063435319404	6.851255672360788	STK11;CAB39;CABLES1;STK4;TRIB1;CABLES2;MALT1;STK3;CDK5R1;CKS1B
protein kinase regulator activity (GO:0019887)	9/121	0.0013038017397685587421551911546657720464281737804412841796875	0.047493576914094226548712640578742139041423797607421875	0.00503940075512406167324019889974806574173271656036376953125	0.1729144384101943543452506446556071750819683074951171875	-2.2400790250091234	6.8258809937893945	STK11;CAB39;CABLES1;STK4;TRIB1;CABLES2;CKS1B;STK3;CDK5R1
kinase activator activity (GO:0019209)	6/55	0.00119038941481094972564547251892008716822601854801177978515625	0.047493576914094226548712640578742139041423797607421875	0.0039019544715744279572700037306276499293744564056396484375	0.1729144384101943543452506446556071750819683074951171875	-2.231338555996049	6.79924737923961	STK11;CAB39;STK4;MALT1;STK3;CDK5R1
protease binding (GO:0002020)	7/77	0.00140538922457365063507783720098132107523269951343536376953125	0.047493576914094226548712640578742139041423797607421875	0.004764076796608057197401908666734016151167452335357666015625	0.1729144384101943543452506446556071750819683074951171875	-2.2043076775584125	6.716879946076334	CST3;ITGB1;CSTB;CSTA;RAD23A;RFFL;MALT1
protein serine/threonine phosphatase activity (GO:0004722)	6/52	0.000882844759353125225868896830405674336361698806285858154296875	0.047493576914094226548712640578742139041423797607421875	0.0030255624576279276094492587390050175599753856658935546875	0.1729144384101943543452506446556071750819683074951171875	-2.2039496453422873	6.71578896434224	PHLPP2;PPP1CB;PPP4C;MTMR4;CDKN3;CDC14B
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	4/25	0.0019270946621369427868841750495221276651136577129364013671875	0.058530851908853855081193984233323135413229465484619140625	0.005386573574574701588069114421841732109896838665008544921875	0.1739546407318535992114760801996453665196895599365234375	-2.3245432594779443	6.597521656103465	EXOSC4;XRN2;PARN;EXOSC2
small conjugating protein ligase binding (GO:0044389)	11/182	0.0021501444734916461652696195727685335441492497920989990234375	0.058530851908853855081193984233323135413229465484619140625	0.00871714589809756586202826866838222485966980457305908203125	0.177248633261317178888560874838731251657009124755859375	-2.172866158028726	6.167031512516738	CUL9;RNF20;BAG5;FAF2;TRIM37;RFFL;TRIB1;TNFRSF1B;RAD18;FOXO1;AURKA
