Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Integrated Pancreatic Cancer Pathway_Homo sapiens_WP2377	13/192	0.000301748681249095450362940340482964529655873775482177734375	0.037493292244004140789659373922404483892023563385009765625	0.00454116844165372048058859633101747022010385990142822265625	0.431607531477534056563172271125949919223785400390625	-2.2739241154203627	7.466641843431818	EGR1;TGFB1;CAB39;BUB1B;TYMS;FGF1;THBS1;RAD52;CST3;STK11;RARB;KRAS;PDK1
Circadian rythm related genes_Homo sapiens_WP3594	14/200	0.00012609680755925925760112249474076406841049902141094207763671875	0.032028589120051853544879350010887719690799713134765625	0.0024500541858549014680168642854596328106708824634552001953125	0.431607531477534056563172271125949919223785400390625	-2.1099363207501005	7.260557501875929	EGR1;PRKAA1;KCND2;CRX;UBE3A;TYMS;CST3;PPP1CB;RBM4;DBP;THRAP3;BHLHE40;ATF5;ATF4
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	11/150	0.00044283416036225366381462453801987066981382668018341064453125	0.037493292244004140789659373922404483892023563385009765625	0.005097726749734654040635550842353040934540331363677978515625	0.431607531477534056563172271125949919223785400390625	-2.09590254639523	6.882091423608016	NRAS;MRAS;ROCK1;RRAS;TMSB4X;RRAS2;RAC3;KRAS;FGFR4;FGF1;FGF12
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway_Mus musculus_WP2841	16/303	0.00101898266017817090180186401227047099382616579532623291015625	0.0647053989213138558422855339813395403325557708740234375	0.0157454834506243930569713285194666241295635700225830078125	0.476505334765599142254899334147921763360500335693359375	-2.293057431369995	6.278186329150726	PHLPP2;PFKFB2;ITGB1;PRKAA1;CAB39;ITGB5;LAMB1;FGF1;THBS1;FOXO1;NRAS;STK11;KRAS;FGFR4;FGF12;ATF4
Regulation of Actin Cytoskeleton_Mus musculus_WP523	10/148	0.0014882964037996166371813355766562381177209317684173583984375	0.07560545731302052707700767086862470023334026336669921875	0.01245800288185569017207487974019386456348001956939697265625	0.476505334765599142254899334147921763360500335693359375	-1.9660010992896457	5.07666075046029	NRAS;MRAS;ROCK1;RRAS;RRAS2;RAC3;KRAS;FGFR4;FGF1;FGF12
TGF-beta Signaling Pathway_Homo sapiens_WP366	9/132	0.0023789916960466083763192646216566572547890245914459228515625	0.08632341297083408193646647532659699209034442901611328125	0.016534689753303126458217064964628661982715129852294921875	0.476505334765599142254899334147921763360500335693359375	-1.8527174733905316	4.5385175481226145	ITGB1;TRAP1;TGFB1;TFDP1;ROCK1;THBS1;RUNX2;RNF111;PDK1
Differentiation Pathway_Homo sapiens_WP2848	5/48	0.0037389567927642790128028860152653578552417457103729248046875	0.1096049485903483333704144797593471594154834747314453125	0.0154516174584346764608877577984458184801042079925537109375	0.476505334765599142254899334147921763360500335693359375	-1.8133975742211275	4.009191289225035	BMP4;TGFB1;NOG;TNFSF11;FGF1
TNF alpha Signaling Pathway_Homo sapiens_WP231	7/92	0.00388363991068163376396693564629458705894649028778076171875	0.1096049485903483333704144797593471594154834747314453125	0.02004648801783441569579480301399598829448223114013671875	0.476505334765599142254899334147921763360500335693359375	-1.7383007744527048	3.8431618206957454	TRAP1;NRAS;DIABLO;KRAS;PTPRCAP;TNFRSF1B;RFFL
TGF Beta Signaling Pathway_Mus musculus_WP113	5/52	0.00528888417857052706150255971806473098695278167724609375	0.134337658135691373484377209024387411773204803466796875	0.02063605780480941287446938758876058273017406463623046875	0.476505334765599142254899334147921763360500335693359375	-1.8424663828472403	3.6985648274571306	BMP4;TGFB1;NOG;THBS1;RUNX2
TGF-beta Receptor Signaling_Homo sapiens_WP560	5/56	0.0072456042654223361265675151798859587870538234710693359375	0.1363329879725493631870136823636130429804325103759765625	0.026844508143248090037413788877529441379010677337646484375	0.523655182357624315869770725839771330356597900390625	-1.776374195990105	3.5397008254891587	BMP4;TGFB1;NOG;THBS1;RUNX2
