Gene,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL
SEPT2,32.06314194,50.06358923,30.03018565,28.12344323,33.911256,35.7631987,54.7763427,57.27011593
SEPT6,21.13075104,20.2561907,18.15160608,21.9642888,29.33225963,19.61516521,15.73691996,19.50931477
SEPT7,198.9943314,202.2047927,243.9392558,254.3938092,278.1729608,183.5756194,243.155164,214.8322186
SEPT8,4.141563272,4.478994136,3.697184123,4.836151947,2.780134694,4.212195538,5.017370939,3.999219629
SEPT9,191.4617591,159.3784846,174.0352347,187.3878263,163.5581393,124.7801203,128.4796589,157.1181262
A1BG,1.210550092,1.331731059,1.205520836,1.476534743,1.205520836,1.117324671,1.054113084,1.205520836
A2M,13.28781456,39.82615429,13.97565823,9.814208038,13.97565823,22.18702111,23.6158413,14.12867701
AASDHPPT,12.69000973,2.509317754,3.284056208,2.954292346,4.677150051,5.102961642,4.021168157,4.12380768
ABCA5,3.953533209,4.177823572,3.474833042,5.369324695,4.941678227,3.170871546,2.844742579,3.953533209
ABCB8,2.647858306,1.577389934,3.709714673,4.667162817,4.473524591,3.67342533,2.821959007,2.899048149
ABCD3,22.03469514,21.38942139,23.70581468,18.69850607,22.60433891,22.03469514,19.93667676,22.11065512
ABI1,12.91380091,11.39836216,11.39169234,14.81562514,13.2681762,11.14119708,9.048793601,12.96528524
ABI2,27.91005337,24.83042826,35.39380145,30.74651761,29.88291843,20.47535472,23.46366713,27.43329646
ABL1,2.283947674,2.11998905,2.575242383,1.945894011,2.574222379,2.510521903,3.983695707,1.74330657
ACAD9,6.14083785,6.018334827,6.851095168,7.492471405,8.203891632,5.72136604,6.918041439,6.467687552
ACAT1,5.662781965,5.86276303,6.033220288,5.86276303,6.509501911,3.486003481,5.576465707,5.86276303
ACAT2,1.979830928,3.335660696,2.59842822,3.490656582,2.657998158,2.231902928,1.051506298,2.055691409
ACOT7,97.71001432,146.7774546,128.1816214,169.7270304,145.8611446,100.7079182,77.78645045,116.0635258
