GeneSymbol,GeneSymbol.1,INT
PPP1R15A,LYN,PPI
RBPJ,FHL1,PPI
LAPTM5,NEDD4L,PPI
MBP,ROCK1,PPI
PCNA,RFC5,PPI
PPP3CA,CRTC2,PPI
FKBP1A,PPP3CA,PPI
PCNA,NONO,PPI
PCNA,PRKDC,PPI
MUTYH,PCNA,PPI
SRGAP3,WASF1,PPI
MAPK8,REL,PPI
PCNA,DDX17,PPI
CSNK2B,LYN,PPI
VDAC1,BAX,PPI
VCL,EEF1A1,PPI
SNTB2,ERBB4,PPI
KIT,LYN,PPI
CCND1,KLF6,PPI
PPIA,PPP3CA,PPI
SNRP70,SRSF10,PPI
HLA-B,B2M,PPI
ERC2,PPFIA1,PPI
SPRY2,CBLB,PPI
CBLB,SH3GL2,PPI
HLA-B,B2M,PPI
LYN,LCP2,PPI
HLA-B,B2M,PPI
HLA-B,B2M,PPI
LYN,PDE4D,PPI
LYN,UBB,PPI
VDAC1,HSPA9,PPI
DLG4,ERBB4,PPI
MRE11A,NEK1,PPI
NEK1,FEZ1,PPI
PPP2R5D,NEK1,PPI
TRAF4,PLSCR1,PPI
VDAC1,BAK1,PPI
HSF1,NCOA6,PPI
APLP1,EEF1A1,PPI
PARD3,PLCB1,PPI
PARD6A,PLCB1,PPI
PPFIA1,GIT1,PPI
PCNA,RFC2,PPI
CYP2E1,UBC,PPI
RPS10,EIF3E,PPI
UBC,HCLS1,PPI
RPS13,EEF1A1,PPI
HELZ,SAV1,PPI
IGBP1,PPP4R2,PPI
TRIM5,USP21,PPI
TRIM34,TRIM5,PPI
DNM2,CCDC90B,PPI
HSPA2,CEP57,PPI
UBC,AKR1C1,PPI
RACK1,EIF3E,PPI
UBC,PNISR,PPI
PPP1R12B,UBC,PPI
RACK1,SAT1,PPI
CHD4,TWIST1,PPI
WDR5,TWIST1,PPI
HDAC3,TWIST1,PPI
UBE2D2,TRIM5,PPI
UBC,PDE4B,PPI
CHD3,SAT1,PPI
IQGAP1,CEP57,PPI
FAM9B,CMTM6,PPI
CMTM6,DNMT3B,PPI
ZFC3H1,MIB1,PPI
ARRB2,LIMA1,PPI
UBC,ANKRD10,PPI
GRK5,BCLAF1,PPI
NF2,RIT1,PPI
GRK5,EEF1A1,PPI
UBC,NBPF1,PPI
SRSF10,SEPT2,PPI
EBNA1BP2,ADNP,PPI
SAP18,ADNP,PPI
EMD,ADNP,PPI
EIF3E,RPS3A,PPI
HDAC1,ADNP,PPI
HIST3H3,ADNP,PPI
EED,ADNP,PPI
RNF2,ADNP,PPI
BMI1,ADNP,PPI
RPS3A,CEP57,PPI
POLR2I,CPSF6,PPI
UBC,CEP170B,PPI
KIAA0368,RCN2,PPI
YWHAE,RCN2,PPI
CFTR,RCN2,PPI
EGFR,RCN2,PPI
RCN2,ASB17,PPI
IRS4,RCN2,PPI
TP53,RCN2,PPI
SUMO1,BCLAF1,PPI
SUMO1,EIF3E,PPI
MAP3K5,TXN2,PPI
SUMO1,TRIM5,PPI
UBC,CDK12,PPI
SRSF10,UBC,PPI
DNTT,REL,PPI
CSDE1,PLOD2,PPI
RPL4,EEF1A1,PPI
SMNDC1,UBC,PPI
UBC,WASF1,PPI
VCAM1,FLNC,PPI
UBC,CMTM6,PPI
UBC,KCTD12,PPI
WWP2,CPSF6,PPI
CUL3,CPSF6,PPI
NONO,CPSF6,PPI
CSTF2,CPSF6,PPI
CPSF6,TCEA2,PPI
SAFB,CPSF6,PPI
CPSF6,TP63,PPI
EED,CPSF6,PPI
UBC,IFITM2,PPI
EEF1A1,TRAF3IP1,PPI
UBC,ARMC1,PPI
UBC,LPCAT4,PPI
UCHL1,UBC,PPI
PDGFB,SPARC,PPI
UBC,TSPYL5,PPI
UBC,MON2,PPI
UBC,DIDO1,PPI
ARRB1,ROCK1,PPI
NOTCH1,ROCK1,PPI
ROCK1,WASHC4,PPI
ROCK1,FAM124A,PPI
CDC25A,ROCK1,PPI
PFN2,ROCK1,PPI
U2SURP,SF3A2,PPI
HNRNPA1,ROCK1,PPI
UBC,ROCK1,PPI
ITSN2,ROCK1,PPI
REL,EIF3A,PPI
UBC,TMEM38B,PPI
UBC,WDR11,PPI
