GeneSymbol,GeneSymbol.1,INT
PPP1R15A,LYN,PPI
RBPJ,FHL1,PPI
PUM2,MED23,PPI
LAPTM5,NEDD4L,PPI
MBP,ROCK1,PPI
PCNA,RFC5,PPI
PPP3CA,CRTC2,PPI
FKBP1A,PPP3CA,PPI
TGOLN2,AP2M1,PPI
PCNA,NONO,PPI
PCNA,PRKDC,PPI
MUTYH,PCNA,PPI
SRGAP3,WASF1,PPI
MAPK8,REL,PPI
PCNA,DDX17,PPI
KIT,LYN,PPI
CSNK2B,LYN,PPI
VDAC1,BAX,PPI
VCL,EEF1A1,PPI
SNTB2,ERBB4,PPI
KIT,LYN,PPI
CCND1,KLF6,PPI
PPIA,PPP3CA,PPI
SNRP70,SRSF10,PPI
HLA-B,B2M,PPI
ERC2,PPFIA1,PPI
ABL1,ABL2,PPI
ATF7IP,CDH11,PPI
SPRY2,CBLB,PPI
CBLB,SH3GL2,PPI
HLA-B,B2M,PPI
LYN,LCP2,PPI
HLA-B,B2M,PPI
HLA-B,B2M,PPI
LYN,PDE4D,PPI
LYN,UBB,PPI
VDAC1,HSPA9,PPI
DLG4,ERBB4,PPI
MRE11A,NEK1,PPI
NEK1,FEZ1,PPI
PPP2R5D,NEK1,PPI
TRAF4,PLSCR1,PPI
VDAC1,BAK1,PPI
HSF1,NCOA6,PPI
APLP1,EEF1A1,PPI
PARD3,PLCB1,PPI
PARD6A,PLCB1,PPI
PPFIA1,GIT1,PPI
PCNA,RFC2,PPI
WIZ,CTBP2,PPI
CYP2E1,UBC,PPI
RPS10,EIF3E,PPI
CSNK2A2,AUTS2,PPI
UBC,HCLS1,PPI
RPS13,EEF1A1,PPI
HELZ,SAV1,PPI
YWHAG,DENND4A,PPI
CEBPE,DENND4A,PPI
IGBP1,PPP4R2,PPI
IGBP1,PALLD,PPI
TRIM5,USP21,PPI
TRIM34,TRIM5,PPI
DNM2,CCDC90B,PPI
PCGF3,AUTS2,PPI
HSPA2,CEP57,PPI
UBC,AKR1C1,PPI
TBP,TCF12,PPI
RACK1,EIF3E,PPI
UBC,PNISR,PPI
PPP1R12B,UBC,PPI
RACK1,SAT1,PPI
CHD4,TWIST1,PPI
WDR5,TWIST1,PPI
HDAC3,TWIST1,PPI
CBX4,CTBP2,PPI
UBE2D2,TRIM5,PPI
UBC,PDE4B,PPI
CHD3,SAT1,PPI
IQGAP1,CEP57,PPI
FAM9B,CMTM6,PPI
SPACIA1,MARK3,PPI
CMTM6,DNMT3B,PPI
ZFC3H1,MIB1,PPI
ARRB2,LIMA1,PPI
MAP3K7,ARRB2,PPI
UBC,ANKRD10,PPI
MAPKBP1,TCF12,PPI
GRK5,BCLAF1,PPI
NF2,RIT1,PPI
STX16,UBC,PPI
GRK5,EEF1A1,PPI
UBC,NBPF1,PPI
SRSF10,SEPT2,PPI
PRPSAP1,UBLCP1,PPI
EBNA1BP2,ADNP,PPI
SAP18,ADNP,PPI
EMD,ADNP,PPI
EIF3E,RPS3A,PPI
HDAC1,ADNP,PPI
HIST3H3,ADNP,PPI
EED,ADNP,PPI
RNF2,ADNP,PPI
BMI1,ADNP,PPI
RPS3A,CEP57,PPI
POLR2I,CPSF6,PPI
UBC,CEP170B,PPI
RBPJ,KAT2B,PPI
KIAA0368,RCN2,PPI
RBPJ,KAT5,PPI
YWHAE,RCN2,PPI
CFTR,RCN2,PPI
EGFR,RCN2,PPI
RCN2,ASB17,PPI
IRS4,RCN2,PPI
TP53,RCN2,PPI
UBC,ZNF573,PPI
SUMO1,BCLAF1,PPI
SUMO1,CTBP2,PPI
SUMO1,EIF3E,PPI
MAP3K5,TXN2,PPI
SUMO1,TRIM5,PPI
UBC,CDK12,PPI
UBC,PLCB1,PPI
SRSF10,UBC,PPI
DNTT,REL,PPI
CTDP1,MED8,PPI
GTPBP4,IFRD1,PPI
UBC,JMJD1C,PPI
CSDE1,PLOD2,PPI
RPL4,EEF1A1,PPI
UBC,ZCCHC6,PPI
SMNDC1,UBC,PPI
UBC,DENND4A,PPI
UBC,WASF1,PPI
VCAM1,FLNC,PPI
MARK3,TCEA2,PPI
UBC,CMTM6,PPI
UBC,KCTD12,PPI
