"Gene.symbol","Cell.type.x","SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","Stress","TopologicalCoefficient","OG_Gene"
"AES","Neurons",13674,FALSE,3.64111111,2.249e-05,"Neurons",0.27464144,0,FALSE,2,5,"false","AES","AES",135.5,2,0,0,0.47177778,"false",0,4204,0.51140684,FALSE
"AHCYL1","Astrocytes",11603,FALSE,3.91,0,"Astrocytes",0.25575448,0,FALSE,1,5,"false","AHCYL1","AHCYL1",60,1,0,0,0.418,"false",0,0,0,TRUE
"BBS2","Astrocytes",13274,FALSE,3.64472222,0,"Astrocytes",0.27436933,0,FALSE,1,5,"false","BBS2","BBS2",311,1,0,0,0.47105556,"false",0,0,0,FALSE
"C3AR1","Microglia",84801,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","C3AR1",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"CAMK2A","Neurons",84063,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","CAMK2A",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"CASP1","Microglia",84437,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","CASP1",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"CDH1","Oligodendrocytes",12566,FALSE,3.82638889,0,"Oligodendrocytes",0.26134301,0,FALSE,1,5,"false","CDH1","CDH1",47,1,0,0,0.43472222,"false",0,0,0,FALSE
"CDK5","Neurons",10989,FALSE,3.31,0.00020126,"Neurons",0.3021148,0.16666667,FALSE,5,5,"false","CDK5","CDK5",125.75,5,0,1,0.538,"false",0,36674,0.27833333,FALSE
"CDK5R1","Neurons",84161,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","CDK5R1",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"CDK8","Neurons",12555,FALSE,3.61833333,0.00015444,"Neurons",0.27637034,0.33333333,FALSE,3,5,"false","CDK8","CDK8",67.33333333,3,0,0,0.47633333,"false",0,11054,0.38728324,FALSE
"CHCHD6","Neurons",84421,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","CHCHD6",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"CRMP1","Neurons",12814,FALSE,3.63055556,3.905e-05,"Neurons",0.27543994,0,FALSE,2,5,"false","CRMP1","CRMP1",79,2,0,0,0.47388889,"false",0,4594,0.51315789,FALSE
"CRYAB","Oligodendrocytes",84417,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","CRYAB",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"CTSH","Astrocytes",13944,FALSE,2.91722222,0.00170063,"Astrocytes",0.34279185,0.06617647,TRUE,17,4,"false","CTSH","CTSH",38.05882353,17,0,0,0.61655556,"false",0,141124,0.08963585,TRUE
"DRP2","Neurons",84757,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","DRP2",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"DTNA","Astrocytes",84758,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","DTNA",NA,NA,NA,NA,NA,"false",NA,NA,NA,TRUE
"EEF1A2","Neurons",12003,FALSE,3.79055556,0,"Neurons",0.26381357,0,FALSE,1,5,"false","EEF1A2","EEF1A2",128,1,0,0,0.44188889,"false",0,0,0,FALSE
"ELAVL2","Neurons",84790,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","ELAVL2",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"FAS","Astrocytes",11194,FALSE,3.59388889,2.411e-05,"Astrocytes",0.27825012,0,FALSE,2,5,"false","FAS","FAS",167,2,0,0,0.48122222,"false",0,3190,0.50455927,FALSE
"FBXL2","Neurons",85186,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","FBXL2",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"FGF12","Neurons",84748,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","FGF12",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"FXYD6","Neurons",12944,FALSE,3.82305556,0,"Neurons",0.26157088,0,FALSE,2,5,"false","FXYD6","FXYD6",52,2,0,1,0.43538889,"false",0,0,0,FALSE
"GFAP","Astrocytes",12811,FALSE,3.895,0,"Astrocytes",0.25673941,0,FALSE,1,5,"false","GFAP","GFAP",56,1,0,0,0.421,"false",0,0,0,TRUE
"GRIK2","Neurons",84787,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","GRIK2",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"HDAC9","Neurons",84362,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","HDAC9",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"HIST3H2A","Neurons",84732,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","HIST3H2A",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"HLA-DPB1","Microglia",85118,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","HLA-DPB1",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"HOOK2","Neurons",12488,FALSE,3.77638889,0,"Neurons",0.26480324,0,FALSE,1,5,"false","HOOK2","HOOK2",86,1,0,0,0.44472222,"false",0,0,0,FALSE
"HRAS","Neurons",13358,FALSE,4.03916667,0,"Neurons",0.24757582,0,FALSE,1,5,"false","HRAS","HRAS",55,1,0,0,0.39216667,"false",0,0,0,FALSE
"KCND2","Neurons",10612,FALSE,3.64944444,7.7e-06,"Neurons",0.27401431,0,FALSE,2,5,"false","KCND2","KCND2",54.5,2,0,0,0.47011111,"false",0,732,0.50471698,FALSE
"KCNIP2","Neurons",12521,FALSE,3.86611111,0,"Neurons",0.25865785,0,FALSE,1,5,"false","KCNIP2","KCNIP2",24,1,0,0,0.42677778,"false",0,0,0,FALSE
"KCNIP4","Neurons",84315,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","KCNIP4",NA,NA,NA,NA,NA,"false",NA,NA,NA,TRUE
"KIAA1211","Neurons",84497,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","KIAA1211",NA,NA,NA,NA,NA,"false",NA,NA,NA,TRUE
"L3MBTL3","Neurons",85301,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","L3MBTL3",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"LAMA4","Endothelial",12789,FALSE,3.46222222,5.344e-05,"Endothelial",0.28883184,0,FALSE,2,4,"false","LAMA4","LAMA4",196.5,2,0,0,0.50755556,"false",0,12110,0.51044386,FALSE
"LDB2","Neurons",12572,FALSE,3.77666667,0,"Neurons",0.26478376,0,FALSE,1,5,"false","LDB2","LDB2",34,1,0,0,0.44466667,"false",0,0,0,FALSE
"LGR4","Astrocytes",12055,FALSE,3.24583333,0.00018565,"Astrocytes",0.30808729,0,FALSE,5,4,"false","LGR4","LGR4",108.8,5,0,0,0.55083333,"false",0,42600,0.22226804,FALSE
"LNX1","Neurons",10868,FALSE,3.36277778,6.888e-05,"Neurons",0.2973732,0.33333333,FALSE,3,4,"false","LNX1","LNX1",84.66666667,3,0,0,0.52744444,"false",0,7534,0.35138889,FALSE
"LRRC7","Neurons",84947,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","LRRC7",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"LYN","Microglia",13976,FALSE,2.80611111,0.0363875,"Microglia",0.35636508,0.00569029,TRUE,123,4,"false","LYN","LYN",10.29508197,123,0,1,0.63877778,"false",0,4213420,0.01459963,FALSE
"MTUS2","Neurons",11107,FALSE,3.59444444,7.742e-05,"Neurons",0.27820711,0,FALSE,4,4,"false","MTUS2","MTUS2",67.75,4,0,0,0.48111111,"false",0,14084,0.28283898,FALSE
"NEDD4L","Neurons",10397,FALSE,3.61833333,2.71e-06,"Neurons",0.27637034,0,FALSE,3,4,"false","NEDD4L","NEDD4L",40.5,3,0,1,0.47633333,"false",0,436,0.51298701,FALSE
"NME1","Neurons",84716,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","NME1",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"NQO1","Astrocytes",83872,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","NQO1",NA,NA,NA,NA,NA,"false",NA,NA,NA,TRUE
"NR4A1","Endothelial",11195,FALSE,3.52333333,4.236e-05,"Endothelial",0.28382214,0,FALSE,2,4,"false","NR4A1","NR4A1",192,2,0,0,0.49533333,"false",0,13452,0.51761518,FALSE
"NREP","Neurons",13642,FALSE,3.64472222,0,"Neurons",0.27436933,0,FALSE,1,5,"false","NREP","NREP",311,1,0,0,0.47105556,"false",0,0,0,FALSE
"PAFAH1B3","Neurons",13266,FALSE,3.53833333,2.518e-05,"Neurons",0.28261894,0,FALSE,2,4,"false","PAFAH1B3","PAFAH1B3",181.5,2,0,0,0.49233333,"false",0,5922,0.51719198,FALSE
"PDLIM1","Endothelial",84701,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","PDLIM1",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"PHLPP2","Neurons",12346,FALSE,3.81472222,0,"Neurons",0.26214229,0,FALSE,1,5,"false","PHLPP2","PHLPP2",74,1,0,0,0.43705556,"false",0,0,0,FALSE
"PHYHIP","Neurons",12866,FALSE,3.39888889,0.00016417,"Neurons",0.2942138,0,FALSE,3,4,"false","PHYHIP","PHYHIP",142.66666667,3,0,0,0.52022222,"false",0,24448,0.34301856,FALSE
"PIN1","Neurons",11854,FALSE,3.37388889,7.156e-05,"Neurons",0.29639387,0.1,FALSE,5,5,"false","PIN1","PIN1",53,5,0,0,0.52522222,"false",0,9032,0.22782609,FALSE
"PTPN4","Neurons",13510,FALSE,3.56222222,0,"Neurons",0.28072364,1,FALSE,2,4,"false","PTPN4","PTPN4",175.5,2,0,0,0.48755556,"false",0,0,0.50869565,FALSE
"RGS12","Neurons",12609,FALSE,3.51111111,4.529e-05,"Neurons",0.28481013,0,FALSE,2,4,"false","RGS12","RGS12",183,2,0,0,0.49777778,"false",0,6606,0.50555556,FALSE
"RGS20","Astrocytes",84480,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","RGS20",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"SCN1A","Neurons",83846,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","SCN1A",NA,NA,NA,NA,NA,"false",NA,NA,NA,TRUE
"SEC61A2","Neurons",85249,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","SEC61A2",NA,NA,NA,NA,NA,"false",NA,NA,NA,TRUE
"SERPINB9","Microglia",13573,FALSE,3.53833333,2.518e-05,"Microglia",0.28261894,0,FALSE,2,4,"false","SERPINB9","SERPINB9",181.5,2,0,0,0.49233333,"false",0,5922,0.51719198,FALSE
"SNTA1","Astrocytes",13028,FALSE,3.77722222,0,"Astrocytes",0.26474482,0,FALSE,1,5,"false","SNTA1","SNTA1",73,1,0,0,0.44455556,"false",0,0,0,FALSE
"SNTG1","Neurons",84763,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","SNTG1",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"STMN2","Neurons",11605,FALSE,3.57555556,8.867e-05,"Neurons",0.27967682,0,FALSE,2,5,"false","STMN2","STMN2",185.5,2,0,0,0.48488889,"false",0,17234,0.50826446,FALSE
"SYT1","Neurons",84925,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","SYT1",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"TAL1","Microglia",12009,FALSE,3.55527778,2.884e-05,"Microglia",0.28127197,0,FALSE,3,5,"false","TAL1","TAL1",45.66666667,3,0,0,0.48894444,"false",0,3862,0.34895833,FALSE
"TP53BP2","Astrocytes",12721,FALSE,3.64472222,0,"Astrocytes",0.27436933,0,FALSE,1,5,"false","TP53BP2","TP53BP2",311,1,0,0,0.47105556,"false",0,0,0,FALSE
"TRIB1","Microglia",85390,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","TRIB1",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"TRIM3","Neurons",11261,FALSE,3.86722222,0,"Neurons",0.25858354,0,FALSE,1,5,"false","TRIM3","TRIM3",81,1,0,0,0.42655556,"false",0,0,0,FALSE
"TRIM37","Neurons",84883,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","TRIM37",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"URGCP","Neurons",84058,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","URGCP",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"UTRN","Endothelial",10920,FALSE,3.75888889,0.00021552,"Endothelial",0.26603606,0,FALSE,2,5,"false","UTRN","UTRN",68.5,2,0,0,0.44822222,"false",0,8792,0.5,FALSE
"VCAM1","Endothelial",10497,FALSE,3.09055556,0.00066737,"Endothelial",0.32356642,0.03571429,FALSE,8,4,"false","VCAM1","VCAM1",109.5,8,0,0,0.58188889,"false",0,182396,0.15513552,FALSE
"ZNF142","Neurons",83961,FALSE,NA,NA,"",NA,NA,FALSE,NA,NA,"","","ZNF142",NA,NA,NA,NA,NA,"false",NA,NA,NA,FALSE
"-",NA,11090,FALSE,2.99083333,0.00193781,NA,0.33435497,0.19047619,FALSE,8,4,"false","-","-",160.57142857,8,0,1,0.60183333,"false",0,335672,0.16270646,FALSE
"A2M",NA,11918,FALSE,3.64888889,7.96e-06,NA,0.27405603,0,FALSE,3,4,"false","A2M","A2M",34.66666667,3,0,0,0.47022222,"false",0,1856,0.36200717,FALSE
