GeneSymbol,GeneSymbol.1,INT
FGFR2,FGF1,PPI
MIF,CD74,PPI
ATF4,CEBPD,PPI
CEBPB,ATF4,PPI
VCL,EEF1A1,PPI
CEBPD,BATF,PPI
DDIT3,CEBPD,PPI
CEBPB,DBP,PPI
CEBPB,CEBPE,PPI
CEBPB,BATF3,PPI
ATF7,CEBPB,PPI
FGF1,FGFR1,PPI
CEBPB,BATF,PPI
CEBPD,BATF3,PPI
ATF5,CEBPB,PPI
ATF5,CEBPD,PPI
GSK3B,UPF3A,PPI
APLP1,EEF1A1,PPI
BAG3,SSBP2,PPI
TOM1,SSBP2,PPI
LMO2,SSBP2,PPI
SSBP2,TRIM33,PPI
EFEMP2,AQP1,PPI
RPS13,EEF1A1,PPI
MXI1,KRTAP10-9,PPI
SCN1A,PSEN1,PPI
UBE2B,ZYX,PPI
ARRB2,RALGDS,PPI
GRK5,EEF1A1,PPI
UBC,MTMR4,PPI
UBE2G2,BIRC8,PPI
UBC,GFAP,PPI
UBC,AMACR,PPI
UBC,CEBPB,PPI
UBC,LRP10,PPI
ALB,C4A,PPI
CPSF4,UBC,PPI
UBE2G2,RFFL,PPI
UBC,MTFP1,PPI
AQP1,TRAF1,PPI
RPL4,EEF1A1,PPI
UBC,PRUNE2,PPI
UBC,NQO1,PPI
UBC,IFITM2,PPI
EEF1A1,TRAF3IP1,PPI
CHMP4A,CHMP5,PPI
RCN1,ASB8,PPI
TM4SF1,DDR1,PPI
VTA1,CHMP5,PPI
UBC,DLG5,PPI
KAT5,ANGPTL4,PPI
RALGDS,RIT1,PPI
CD68,RALGDS,PPI
RALGDS,CNKSR1,PPI
UBC,SELENOI,PPI
UBC,DOCK4,PPI
CD74,UBC,PPI
UBE2B,ERCC4,PPI
CEBPB,KAT2A,PPI
UBC,C9orf72,PPI
UBC,DDR1,PPI
MIF,CD74,PPI
UBC,MAOA,PPI
SUZ12,RCN1,PPI
UBC,VAT1,PPI
FBL,EEF1A1,PPI
PPIL3,RCN1,PPI
TUBG1,EEF1A1,PPI
RAB7A,EEF1A1,PPI
SNCA,CHMP5,PPI
ISG15,CHMP5,PPI
MXI1,KRTAP10-8,PPI
UBD,MTMR1,PPI
MTMR1,TUBGCP3,PPI
CDC14B,TP53,PPI
CDC14B,SKP2,PPI
HDAC3,CEBPD,PPI
MAGOH,EEF1A1,PPI
CUL3,KCTD20,PPI
PPP1CC,KCTD20,PPI
UBL4A,HACD3,PPI
KCTD20,MARK4,PPI
CLN3,HACD3,PPI
PPP1CA,KCTD20,PPI
ATP2B1,HACD3,PPI
PEX19,HACD3,PPI
FANCI,HACD3,PPI
C1orf166,UBE2G2,PPI
BMI1,HACD3,PPI
TSPAN17,HACD3,PPI
C20orf24,HACD3,PPI
RRAS,RALGDS,PPI
GABARAPL2,HACD3,PPI
MTMR1,AURKB,PPI
RCN1,CEP76,PPI
PCNA,UBE2B,PPI
CPSF4,MDC1,PPI
NCL,RCN1,PPI
STIP1,CDK3,PPI
RAP2A,RALGDS,PPI
UPF3B,UPF3A,PPI
RPS24,PRUNE2,PPI
TUBB,EEF1A1,PPI
C2,C4A,PPI
UBE2G2,AMFR,PPI
ZNF142,CHMP5,PPI
UBE2G2,TMEM45B,PPI
OBFC2B,EEF1A1,PPI
ATP4A,SCARB2,PPI
EEF1A1,RPL24,PPI
EEF1A1,BBS4,PPI
DYNC1LI2,PRUNE2,PPI
SKP1,CDK3,PPI
WDR12,VAT1,PPI
BAG3,NQO1,PPI
SUMO1,NQO1,PPI
NQO1,NEDD8,PPI
FOS,NQO1,PPI
GFAP,AURKB,PPI
GAPDH,EEF1A1,PPI
FAM107A,PNMA1,PPI
SSBP1,EEF1A1,PPI
HSP90AA1,DDR1,PPI
UBE2B,SKP1,PPI
MTMR1,CEP250,PPI
RPS15A,EEF1A1,PPI
RPS5,PRUNE2,PPI
HSPA1L,HACD3,PPI
RANBP9,EEF1A1,PPI
RALGDS,RIN1,PPI
AQP1,TRIP6,PPI
RPS6,EEF1A1,PPI
MXI1,KRTAP10-3,PPI
EEF1A1,TRAP1,PPI
PRUNE2,EIF3K,PPI
SNAPIN,DDR1,PPI
EEF1A1,MYSM1,PPI
RCN1,RNF2,PPI
AQP1,IKZF2,PPI
AQP1,NOTCH2NL,PPI
MXI1,CDC20,PPI
RALGDS,PDK1,PPI
AQP1,KRT40,PPI
FAM107A,KRT40,PPI
PSMA3,EEF1A1,PPI
EEF1A1,SRRM2,PPI
RIBC2,GFAP,PPI
GFAP,PDCD6IP,PPI
ZNF198,UBE2B,PPI
ATP6V1B1,CHMP5,PPI
APP,GFAP,PPI
APP,PDDC1,PPI
UBE2V2,UBE2B,PPI
UBXN7,UBE2B,PPI
AHCYL1,UBE2B,PPI
UBE2B,SRXN1,PPI
UBE2B,ATP6V1F,PPI
SULT1A1,UBE2B,PPI
SEC24A,UBE2B,PPI
UBE2B,SRSF2,PPI
CPLX1,UBE2B,PPI
UBE2B,TTLL12,PPI
SERPINH1,UBE2B,PPI
PAICS,UBE2B,PPI
UBE2B,TRIM45,PPI
UBE1,UBE2B,PPI
PRKCG,GFAP,PPI
KRT13,GFAP,PPI
CBX5,UBE2B,PPI
GFAP,PSEN1,PPI
GFAP,MEN1,PPI
CDKN1B,UBE2B,PPI
GFAP,STAT1,PPI
UBE2B,HIST2H2AC,PPI
UBE2B,RNF20,PPI
GFAP,PDLIM7,PPI
GFAP,CEBPA,PPI
GFAP,POM121,PPI
RPS19,EEF1A1,PPI
TTR,DDR1,PPI
URGCP,CHMP5,PPI
CAND1,HACD3,PPI
APP,KIAA1841,PPI
CAMK2A,CHMP5,PPI
TRIM3,UBE2G2,PPI
UBE2G2,RNF146,PPI
VPS4A,CHMP5,PPI
UBE2G2,RNF26,PPI
APP,UPF3A,PPI
AQP1,MID2,PPI
FAM107A,MID2,PPI
SNRPA,EEF1A1,PPI
CPSF4,ECT2,PPI
CPSF4,CLK2,PPI
CPSF4,NPM1,PPI
AQP1,RIMBP3,PPI
ARRB2,EEF1A1,PPI
TXNL1,EEF1A1,PPI
CUL4A,EEF1A1,PPI
