"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"83806",,,,,,,,,,,,"FGFR2",,,,,,"false",,"FGFR2",,
"83807",,,,,,,,,,,,"FGF1",,,,,,"false",,"FGF1",,
"13525","false","3.575","0.0","NA","0.27972028","0.0","false","1","5","false","MIF","MIF","285.0","1","0","0","0.485","false","0","MIF","0","0.0"
"83809",,,,,,,,,,,,"CD74",,,,,,"false",,"CD74",,
"83811",,,,,,,,,,,,"ATF4",,,,,,"false",,"ATF4",,
"83812",,,,,,,,,,,,"CEBPD",,,,,,"false",,"CEBPD",,
"13696","false","3.73166667","0.0","NA","0.26797678","0.0","false","1","5","false","CEBPB","CEBPB","55.0","1","0","0","0.45366667","false","0","CEBPB","0","0.0"
"10412","false","3.56972222","1.5959E-4","NA","0.28013384","0.0","false","2","4","false","VCL","VCL","195.5","2","0","0","0.48605556","false","0","VCL","25104","0.50651042"
"13951","false","2.645","0.09228802","NA","0.37807183","0.00213671","true","314","4","false","EEF1A1","EEF1A1","7.23794212","314","0","3","0.671","false","0","EEF1A1","16343682","0.00888219"
"83816",,,,,,,,,,,,"BATF",,,,,,"false",,"BATF",,
"13484","false","3.78888889","0.0","NA","0.26392962","0.0","false","1","5","false","DDIT3","DDIT3","46.0","1","0","0","0.44222222","false","0","DDIT3","0","0.0"
"83819",,,,,,,,,,,,"DBP",,,,,,"false",,"DBP",,
"10445","false","3.80833333","0.0","NA","0.26258206","0.0","false","1","5","false","CEBPE","CEBPE","34.0","1","0","0","0.43833333","false","0","CEBPE","0","0.0"
"83822",,,,,,,,,,,,"BATF3",,,,,,"false",,"BATF3",,
"83824",,,,,,,,,,,,"ATF7",,,,,,"false",,"ATF7",,
"83826",,,,,,,,,,,,"FGFR1",,,,,,"false",,"FGFR1",,
"83830",,,,,,,,,,,,"ATF5",,,,,,"false",,"ATF5",,
"13280","false","3.54194444","8.015E-5","NA","0.2823308","0.0","false","2","4","false","GSK3B","GSK3B","183.5","2","0","0","0.49161111","false","0","GSK3B","10544","0.50414365"
"10747","false","3.48305556","6.7E-7","NA","0.28710423","0.0","false","2","4","false","UPF3A","UPF3A","59.5","2","0","0","0.50338889","false","0","UPF3A","178","0.52702703"
"10433","false","3.38805556","1.619E-4","NA","0.29515455","0.0","false","3","4","false","APLP1","APLP1","153.66666667","3","0","0","0.52238889","false","0","APLP1","36424","0.34935164"
"11526","false","3.17888889","3.461E-4","NA","0.31457532","0.14285714","false","7","4","false","BAG3","BAG3","87.28571429","7","0","0","0.56422222","false","0","BAG3","55060","0.16698656"
"83835",,,,,,,,,,,,"SSBP2",,,,,,"false",,"SSBP2",,
"83837",,,,,,,,,,,,"TOM1",,,,,,"false",,"TOM1",,
"12237","false","3.66027778","1.8989E-4","NA","0.27320331","0.0","false","2","5","false","LMO2","LMO2","143.0","2","0","0","0.46794444","false","0","LMO2","14846","0.5035461"
"11327","false","3.87972222","0.0","NA","0.25775041","0.0","false","1","5","false","TRIM33","TRIM33","65.0","1","0","0","0.42405556","false","0","TRIM33","0","0.0"
"12110","false","3.75222222","0.0","NA","0.26650874","0.0","false","1","5","false","EFEMP2","EFEMP2","137.0","1","0","0","0.44955556","false","0","EFEMP2","0","0.0"
"83841",,,,,,,,,,,,"AQP1",,,,,,"false",,"AQP1",,
"10442","false","3.64472222","0.0","NA","0.27436933","0.0","false","1","5","false","RPS13","RPS13","311.0","1","0","0","0.47105556","false","0","RPS13","0","0.0"
"83844",,,,,,,,,,,,"MXI1",,,,,,"false",,"MXI1",,
"12169","false","3.54444444","9.026E-5","NA","0.28213166","0.0","false","3","4","false","KRTAP10-9","KRTAP10-9","74.33333333","3","0","0","0.49111111","false","0","KRTAP10-9","11248","0.34267913"
"83846",,,,,,,,,,,,"SCN1A",,,,,,"false",,"SCN1A",,
"12694","true","3.57694444","2.23E-6","NA","0.27956822","0.0","false","2","5","false","PSEN1","PSEN1","50.0","2","0","0","0.48461111","false","0","PSEN1","466","0.5212766"
"10705","false","3.37888889","1.676E-4","NA","0.29595528","0.0","false","3","5","false","UBE2B","UBE2B","142.33333333","3","0","0","0.52422222","false","0","UBE2B","33700","0.35421888"
"12217","false","3.88138889","0.0","NA","0.25763973","0.0","false","1","5","false","ZYX","ZYX","85.0","1","0","0","0.42372222","false","0","ZYX","0","0.0"
"10465","false","3.27722222","4.0855E-4","NA","0.30513646","0.0","false","5","4","false","ARRB2","ARRB2","129.8","5","0","0","0.54455556","false","0","ARRB2","95532","0.22322357"
"10530","false","3.66222222","7.34E-6","NA","0.27305825","0.0","false","2","5","false","RALGDS","RALGDS","43.0","2","0","0","0.46755556","false","0","RALGDS","642","0.51219512"
"10467","false","3.24388889","8.953E-5","NA","0.30827196","0.0","false","5","4","false","GRK5","GRK5","122.6","5","0","0","0.55122222","false","0","GRK5","42176","0.24079208"
"10439","false","2.13305556","0.11985231","NA","0.46881104","0.09166667","false","160","3","false","UBC","UBC","53.43125","160","0","0","0.77338889","false","0","UBC","14007078","0.018045"
"83851",,,,,,,,,,,,"MTMR4",,,,,,"false",,"MTMR4",,
"12107","false","3.86805556","0.0","NA","0.25852783","0.0","false","1","5","false","UBE2G2","UBE2G2","21.0","1","0","0","0.42638889","false","0","UBE2G2","0","0.0"
"83853",,,,,,,,,,,,"BIRC8",,,,,,"false",,"BIRC8",,
"12811","false","3.895","0.0","Astrocytes","0.25673941","0.0","false","1","5","false","GFAP","GFAP","56.0","1","0","0","0.421","false","0","GFAP","0","0.0"
"83856",,,,,,,,,,,,"AMACR",,,,,,"false",,"AMACR",,
"83859",,,,,,,,,,,,"LRP10",,,,,,"false",,"LRP10",,
"10765","false","3.42833333","4.373E-5","NA","0.29168692","0.0","false","4","4","false","ALB","ALB","47.5","4","0","0","0.51433333","false","0","ALB","7852","0.28012048"
"83861",,,,,,,,,,,,"C4A",,,,,,"false",,"C4A",,
"12820","false","3.88416667","0.0","NA","0.25745548","0.0","false","1","5","false","CPSF4","CPSF4","55.0","1","0","0","0.42316667","false","0","CPSF4","0","0.0"
"83864",,,,,,,,,,,,"RFFL",,,,,,"false",,"RFFL",,
"83866",,,,,,,,,,,,"MTFP1",,,,,,"false",,"MTFP1",,
"11269","false","3.6325","1.734E-5","NA","0.2752925","0.0","false","2","5","false","TRAF1","TRAF1","77.0","2","0","0","0.4735","false","0","TRAF1","3380","0.52413793"
"10496","false","3.54361111","0.0","NA","0.28219801","1.0","false","2","4","false","RPL4","RPL4","171.5","2","0","0","0.49127778","false","0","RPL4","0","0.51347305"
"83870",,,,,,,,,,,,"PRUNE2",,,,,,"false",,"PRUNE2",,
"83872",,,,,,,,,,,,"NQO1",,,,,,"false",,"NQO1",,
"13975","false","2.74694444","0.00506703","NA","0.36404085","0.10452962","true","42","4","false","IFITM2","IFITM2","46.19047619","42","0","0","0.65061111","false","0","IFITM2","719732","0.04852035"
"10505","false","3.64472222","0.0","NA","0.27436933","0.0","false","1","5","false","TRAF3IP1","TRAF3IP1","311.0","1","0","0","0.47105556","false","0","TRAF3IP1","0","0.0"
"83876",,,,,,,,,,,,"CHMP4A",,,,,,"false",,"CHMP4A",,
"83877",,,,,,,,,,,,"CHMP5",,,,,,"false",,"CHMP5",,
"83879",,,,,,,,,,,,"RCN1",,,,,,"false",,"RCN1",,
"10672","false","3.47611111","0.0","NA","0.2876778","0.0","false","1","5","false","ASB8","ASB8","282.0","1","0","0","0.50477778","false","0","ASB8","0","0.0"
"83881",,,,,,,,,,,,"TM4SF1",,,,,,"false",,"TM4SF1",,
"83882",,,,,,,,,,,,"DDR1",,,,,,"false",,"DDR1",,
"83884",,,,,,,,,,,,"VTA1",,,,,,"false",,"VTA1",,
"83886",,,,,,,,,,,,"DLG5",,,,,,"false",,"DLG5",,
"10483","false","3.20722222","2.3327E-4","NA","0.31179629","0.0","false","4","4","false","KAT5","KAT5","122.5","4","0","0","0.55855556","false","0","KAT5","44168","0.26821192"
"83888",,,,,,,,,,,,"ANGPTL4",,,,,,"false",,"ANGPTL4",,
