"SrNo","V1","V2"
11,"D2CGD1","P05230"
56,"I4AY87","P04233"
269,"P18848","P49716"
271,"P17676","P18848"
392,"P18206","P68104"
493,"P49716","Q16520"
494,"P35638","P49716"
532,"P17676","Q10586"
602,"P17676","Q15744"
604,"P17676","Q9NR55"
605,"P17544","P17676"
700,"P05230","P11362"
714,"P17676","Q16520"
750,"P49716","Q9NR55"
903,"A0A024QZG3","P17676"
904,"A0A024QZG3","P49716"
907,"P49841","Q9H1J1"
1025,"P51693","P68104"
1447,"O95817","P81877"
1449,"O60784","P81877"
1508,"P25791","P81877"
1517,"P81877","Q9UPN9"
1538,"A0A024R5G1","P29972"
1648,"P62277","P68104"
1651,"P50539","P60411"
2745,"P35498","P49768"
2796,"P63146","Q15942"
2952,"P32121","Q12967"
3346,"P34947","P68104"
3543,"P0CG48","Q9NYA4"
3597,"P60604","Q96P09"
3629,"P0CG48","P14136"
4182,"P0CG48","Q9UHK6"
4219,"P0CG48","P17676"
4451,"P0CG48","Q7Z4F1"
4536,"P02768","P0C0L4"
4553,"O95639","P0CG48"
4633,"P60604","Q8WZ73"
4734,"P0CG48","Q9UDX5"
4779,"P29972","Q13077"
4982,"P36578","P68104"
5222,"P0CG48","Q8WUY3"
5443,"P0CG48","P15559"
5676,"P0CG48","Q01629"
5738,"P68104","Q8TDR0"
5989,"Q9BY43","Q9NZZ3"
6692,"Q15293","Q9H765"
7007,"P30408","Q08345"
7071,"Q9NP79","Q9NZZ3"
7150,"P0CG48","Q8TDM6"
7225,"Q92993","Q9BY76"
7414,"Q12967","Q92963"
7415,"P34810","Q12967"
7416,"Q12967","Q969H4"
7820,"P0CG48","Q9C0D9"
7856,"P0CG48","Q8N1I0"
8124,"P04233","P0CG48"
8176,"P63146","Q92889"
8301,"P17676","Q92830"
8458,"P0CG48","Q96LT7"
8482,"P0CG48","Q08345"
8626,"I4AY87","P04233"
8740,"P0CG48","P21397"
9538,"Q15022","Q15293"
9595,"P0CG48","Q99536"
9783,"P22087","P68104"
9801,"A0A024R3V4","Q15293"
10663,"P23258","P68104"
10740,"P51149","P68104"
11253,"H6UYS5","Q9NZZ3"
11396,"P05161","Q9NZZ3"
11437,"P50539","P60410"
11767,"O15205","Q13613"
11827,"Q13613","Q96CW5"
11854,"O60729","P04637"
11891,"O60729","Q13309"
11907,"O15379","P49716"
11998,"P61326","P68104"
12193,"A0A024R475","Q7Z5Y7"
12239,"P36873","Q7Z5Y7"
12477,"P11441","Q9P035"
12479,"Q7Z5Y7","Q96L34"
12480,"A0A024QZB8","Q9P035"
12497,"P62136","Q7Z5Y7"
12511,"A0A024RBC7","Q9P035"
12512,"P40855","Q9P035"
12514,"Q9NVI1","Q9P035"
12518,"A0A024RAA0","P60604"
12524,"P35226","Q9P035"
12530,"Q96FV3","Q9P035"
12532,"Q9BUV8","Q9P035"
12560,"A0A024QZF2","Q12967"
12594,"P60520","Q9P035"
12982,"Q13613","Q96GD4"
13057,"Q15293","Q8TAP6"
13246,"P12004","P63146"
13651,"O95639","Q14676"
13838,"A0A024R4A0","Q15293"
14049,"P31948","Q00526"
14065,"P10114","Q12967"
14189,"Q9BZI7","Q9H1J1"
14215,"P62847","Q8WUY3"
14388,"P07437","P68104"
15238,"P06681","P0C0L4"
15278,"P60604","Q9UKV5"
15495,"P52746","Q9NZZ3"
15975,"P60604","Q96B21"
16073,"A0A024RB89","P68104"
16305,"P20648","Q14108"
16589,"P68104","P83731"
16683,"P68104","Q96RK4"
16790,"A0A024R6Z0","Q8WUY3"
16930,"P63208","Q00526"
17089,"Q53T99","Q99536"
17179,"O95817","P15559"
17189,"A0A024R3Z2","P15559"
17194,"P15559","Q15843"
17207,"P01100","P15559"
17788,"P14136","Q96GD4"
18414,"P04406","P68104"
18440,"O95990","Q8ND90"
18621,"A4D1U3","P68104"
18991,"P07900","Q08345"
19247,"P63146","P63208"
19310,"Q13613","Q9BV73"
19405,"B2R4W8","P68104"
19521,"A0A024R4Q8","Q8WUY3"
19711,"P34931","Q9P035"
19724,"A0A024QZW3","P68104"
19919,"Q12967","Q13671"
20093,"P29972","Q15654"
20341,"A2A3R6","P68104"
20565,"P50539","P60369"
20806,"P68104","Q12931"
21026,"Q8WUY3","Q9UBQ5"
21419,"O95295","Q08345"
21439,"P68104","Q5VVJ2"
21475,"Q15293","Q99496"
22688,"P29972","Q9UKS7"
23095,"P29972","Q7Z3S9"
23383,"P50539","Q12834"
23498,"Q12967","Q15118"
23986,"P29972","Q6A162"
24011,"O95990","Q6A162"
24064,"P25788","P68104"
24157,"P68104","Q9UQ35"
24206,"A0A087X0F7","P14136"
24209,"P14136","Q8WUM4"
24214,"A0A024RDS3","P63146"
24224,"P15313","Q9NZZ3"
24246,"P05067","P14136"
24253,"P05067","Q8NB37"
24255,"A0M8W4","P63146"
24257,"O94888","P63146"
24259,"A0A024R0A8","P63146"
24260,"P63146","Q9BYN0"
24262,"P63146","Q16864"
24265,"P50225","P63146"
24266,"O95486","P63146"
24267,"P63146","Q53FN0"
24269,"O14810","P63146"
24271,"P63146","Q14166"
24273,"A0A024R5K8","P63146"
24274,"P22234","P63146"
24338,"P63146","Q9H8W5"
24341,"A0A024R1A3","P63146"
24342,"P05129","P14136"
24349,"P13646","P14136"
24356,"P45973","P63146"
24398,"P14136","P49768"
24414,"P14136","Q9GZQ5"
24419,"P46527","P63146"
24450,"P14136","P42224"
24483,"P63146","Q16777"
24487,"P63146","Q5VTR2"
24494,"P14136","Q9NR12"
24498,"P14136","P49715"
24503,"P14136","Q96HA1"
24601,"B0ZBD0","P68104"
25190,"E9KL36","Q08345"
26093,"Q8TCY9","Q9NZZ3"
26493,"Q86VP6","Q9P035"
26777,"P05067","Q6NSI8"
26802,"Q8IWE0","Q9NZZ3"
26818,"B7Z5Y8","P60604"
26837,"P60604","Q9NTX7"
27056,"A0A024R705","Q9NZZ3"
27244,"P60604","Q9BY78"
27679,"P05067","Q9H1J1"
27771,"P29972","Q9UJV3"
27778,"O95990","Q9UJV3"
27818,"P09012","P68104"
27934,"O95639","Q9H8V3"
27935,"O95639","P49760"
27937,"O95639","P06748"
28039,"P29972","Q9UFD9"
28115,"P32121","P68104"
28116,"O43396","P68104"
28118,"B2RBV7","P68104"
28119,"P68104","Q93034"
28120,"P68104","Q13617"
28121,"A0A024RB77","P68104"
28123,"P07900","P68104"
28124,"P04278","P68104"
28128,"A0A024R9D3","P68104"
28129,"P32969","P68104"
28130,"P62899","P68104"
28131,"P62847","P68104"
28132,"A0A024R3W7","P68104"
28133,"P68104","Q15029"
28134,"P68104","Q9UHX1"
28135,"A0A024RDF6","P68104"
28136,"P68104","Q15366"
28137,"P68104","Q9BWF3"
28138,"A0A024R8L0","P68104"
28139,"P28070","P68104"
28140,"P68104","Q9Y5B9"
28141,"P13929","P68104"
28142,"O15205","P68104"
28143,"P19320","P68104"
28144,"P11441","P68104"
28145,"P68104","Q546Y9"
28146,"B4DQB3","P68104"
28149,"P68104","Q01813"
28150,"A4D105","P68104"
28151,"A0A024RAG0","P68104"
28152,"P04637","P68104"
28153,"P68104","Q9BSJ2"
28154,"P05161","P68104"
28159,"O60333","P68104"
28160,"P68104","Q6PD56"
28161,"P56282","P68104"
28162,"O60828","P68104"
28163,"P25445","P68104"
28171,"F5GXF0","P68104"
28172,"P68104","Q86Y97"
28173,"Q12967","Q13158"
28175,"B4E1P5","P68104"
28176,"P08473","P68104"
28177,"P68104","Q15843"
28184,"P42575","P68104"
28185,"H6UYS5","P68104"
28186,"A0A024RBT2","P68104"
28187,"A0A024RAV5","P68104"
28188,"O14713","P68104"
28189,"A5JUZ3","P68104"
28733,"P62314","P68104"
28810,"P29353","Q08345"
28864,"A0A024R778","O60443"
28877,"A0A024RB77","Q01629"
29130,"B2R491","P68104"
29250,"P50539","Q9UQE7"
29584,"A0MNP2","Q08345"
30109,"O95229","Q15293"
30293,"P11441","P60604"
30687,"A0A024R2P0","P68104"
30770,"A0A024R2P0","Q8WUY3"
30947,"A0A0A6YY93","P17676"
31149,"F5H3S6","Q15293"
31197,"P49915","Q15293"
31386,"A0A090N7U0","Q00526"
31387,"A0A024R7W9","Q00526"
31389,"Q00526","Q7L5N1"
