SUID,ALSOD,AverageShortestPathLength,BetweennessCentrality,Cell.type,Cell.type.x,Cell.type.y,ClosenessCentrality,ClusteringCoefficient,DEG,Degree,Eccentricity,IsSingleNode,Matching.Attribute,Matching.Attribute.1,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,OG_Gene,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
93225,FALSE,3.66854249,4.00E-04,NA,NA,NA,0.27258782,0,FALSE,4,8,FALSE,SDHAF2,SDHAF2,SDHAF2,101.5,4,0,FALSE,0,0.73314575,FALSE,0,SDHAF2,84602,0.26728723
93226,FALSE,4.09229038,0,NA,NA,NA,0.24436194,0,FALSE,1,8,FALSE,UBR1,UBR1,UBR1,71,1,0,FALSE,0,0.69077096,FALSE,0,UBR1,0,0
93227,FALSE,,,,NA,,,,FALSE,,,,,MGRN1,MGRN1,,,,FALSE,,,FALSE,,MGRN1,,
93228,FALSE,,,,NA,,,,FALSE,,,,,MALT1,MALT1,,,,FALSE,,,FALSE,,MALT1,,
93229,FALSE,3.73044457,1.25E-04,NA,NA,NA,0.26806456,0,FALSE,2,8,FALSE,TFAP2C,TFAP2C,TFAP2C,156.5,2,0,FALSE,0,0.72695554,FALSE,0,TFAP2C,18192,0.50323625
93230,FALSE,3.74366911,0,NA,NA,NA,0.26711762,0,FALSE,1,8,FALSE,KCNE3,KCNE3,KCNE3,292,1,0,FALSE,0,0.72563309,FALSE,0,KCNE3,0,0
93231,FALSE,,,,NA,,,,FALSE,,,,,MPP5,MPP5,,,,FALSE,,,FALSE,,MPP5,,
93232,FALSE,,,,NA,,,,FALSE,,,,,LDOC1,LDOC1,,,,FALSE,,,FALSE,,LDOC1,,
93233,FALSE,4.2290377,0,NA,NA,NA,0.23646041,0,FALSE,2,8,FALSE,HOMEZ,HOMEZ,HOMEZ,28,2,0,FALSE,1,0.67709623,FALSE,0,HOMEZ,0,0
93234,FALSE,,,,NA,,,,FALSE,,,,,FAM50B,FAM50B,,,,FALSE,,,FALSE,,FAM50B,,
93235,FALSE,3.97439505,0,NA,NA,NA,0.25161062,0,FALSE,2,6,FALSE,TGFBR1,TGFBR1,TGFBR1,124,2,0,FALSE,1,0.7025605,FALSE,0,TGFBR1,0,0
93236,FALSE,3.70793472,6.50E-05,NA,NA,NA,0.26969191,0,FALSE,2,8,FALSE,RNF10,RNF10,RNF10,160.5,2,0,FALSE,0,0.72920653,FALSE,0,RNF10,17612,0.51785714
93237,FALSE,,,,NA,,,,FALSE,,,,,DLST,DLST,,,,FALSE,,,FALSE,,DLST,,
93238,FALSE,3.64472222,0,Neurons,Neurons,Neurons,0.27436933,0,FALSE,1,5,FALSE,NREP,NREP,NREP,311,1,0,FALSE,0,0.47105556,FALSE,0,NREP,0,0
93239,FALSE,,,,NA,,,,FALSE,,,,,VPS4B,VPS4B,,,,FALSE,,,FALSE,,VPS4B,,
93240,FALSE,3.53095104,0.00114098,NA,NA,NA,0.28320982,0,FALSE,4,7,FALSE,DYNLL1,DYNLL1,DYNLL1,149,4,0,FALSE,0,0.7469049,FALSE,0,DYNLL1,160984,0.26523297
93241,FALSE,3.73861111,0,NA,NA,NA,0.26747901,0,FALSE,1,5,FALSE,ABI2,ABI2,ABI2,64,1,0,FALSE,0,0.45227778,FALSE,0,ABI2,0,0
93242,FALSE,3.81888889,0,NA,NA,NA,0.26185627,0,FALSE,1,5,FALSE,CLDN1,CLDN1,CLDN1,38,1,0,FALSE,0,0.43622222,FALSE,0,CLDN1,0,0
93243,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,PAPSS1,PAPSS1,PAPSS1,311,1,0,FALSE,0,0.47105556,FALSE,0,PAPSS1,0,0
93244,FALSE,,,,NA,,,,FALSE,,,,,EIF2B2,EIF2B2,,,,FALSE,,,FALSE,,EIF2B2,,
93245,FALSE,4.08610017,0,NA,NA,NA,0.24473213,0,FALSE,1,8,FALSE,GATA1,GATA1,GATA1,55,1,0,FALSE,0,0.69138998,FALSE,0,GATA1,0,0
93246,FALSE,,,,NA,,,,FALSE,,,,,C12orf76,C12orf76,,,,TRUE,,,FALSE,,C12orf76,,
93247,FALSE,3.75773776,8.61E-04,NA,NA,NA,0.26611756,0,FALSE,4,6,FALSE,FKBP5,FKBP5,FKBP5,120.3333333,4,0,FALSE,1,0.72422622,FALSE,0,FKBP5,106626,0.34095238
93248,FALSE,,,,NA,,,,FALSE,,,,,HBS1L,HBS1L,,,,FALSE,,,FALSE,,HBS1L,,
93249,FALSE,3.31694444,2.12E-04,NA,NA,NA,0.30148229,0,FALSE,3,4,FALSE,SSR1,SSR1,SSR1,219.3333333,3,0,FALSE,0,0.53661111,FALSE,0,SSR1,87362,0.35910088
93250,FALSE,3.70793472,6.50E-05,Microglia,Microglia,Microglia,0.26969191,0,FALSE,2,8,FALSE,SERPINB9,SERPINB9,SERPINB9,160.5,2,0,FALSE,0,0.72920653,FALSE,0,SERPINB9,17612,0.51785714
93251,FALSE,3.70315138,4.37E-04,NA,NA,NA,0.27004027,0,FALSE,3,8,FALSE,CCND1,CCND1,CCND1,91.66666667,3,0,FALSE,0,0.72968486,FALSE,0,CCND1,185102,0.33957553
93252,FALSE,,,,NA,,,,FALSE,,,,,ROPN1,ROPN1,,,,FALSE,,,FALSE,,ROPN1,,
93253,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,ORMDL3,ORMDL3,ORMDL3,311,1,0,FALSE,0,0.47105556,FALSE,0,ORMDL3,0,0
93254,FALSE,3.22944444,3.98E-04,NA,NA,NA,0.30965078,0,FALSE,3,4,FALSE,HSPE1,HSPE1,HSPE1,232.6666667,3,0,FALSE,0,0.55411111,FALSE,0,HSPE1,120658,0.35751029
93255,FALSE,,,,NA,,,,FALSE,,,,,COL16A1,COL16A1,,,,FALSE,,,FALSE,,COL16A1,,
93256,FALSE,,,,NA,,,,FALSE,,,,,RAC3,RAC3,,,,FALSE,,,FALSE,,RAC3,,
93257,FALSE,3.53194444,3.40E-06,NA,NA,NA,0.28313016,0,FALSE,2,5,FALSE,HMGA1,HMGA1,HMGA1,65.5,2,0,FALSE,0,0.49361111,FALSE,0,HMGA1,588,0.516
93258,FALSE,4.01772651,2.53E-04,NA,NA,NA,0.24889698,0,FALSE,3,8,FALSE,A2M,A2M,A2M,13.33333333,3,0,FALSE,0,0.69822735,FALSE,0,A2M,50232,0.34259259
93259,FALSE,3.53388889,3.41E-04,NA,NA,NA,0.28297438,0,FALSE,2,5,FALSE,ZBTB16,ZBTB16,ZBTB16,224,2,0,FALSE,0,0.49322222,FALSE,0,ZBTB16,50194,0.50681818
93260,FALSE,,,,NA,,,,FALSE,,,,,BMP2,BMP2,,,,FALSE,,,FALSE,,BMP2,,
93261,FALSE,3.73100732,1.04E-04,Neurons,Neurons,Neurons,0.26802413,0,FALSE,2,8,FALSE,PTPN4,PTPN4,PTPN4,158,2,0,FALSE,0,0.72689927,FALSE,0,PTPN4,17974,0.50645161
93262,FALSE,3.74366911,0,NA,NA,NA,0.26711762,0,FALSE,1,8,FALSE,CKS2,CKS2,CKS2,292,1,0,FALSE,0,0.72563309,FALSE,0,CKS2,0,0
93263,FALSE,3.63477772,2.64E-04,NA,NA,NA,0.27511999,0,FALSE,3,7,FALSE,RPLP1,RPLP1,RPLP1,126,3,0,FALSE,0,0.73652223,FALSE,0,RPLP1,48156,0.34153005
93264,FALSE,3.57555556,8.87E-05,Neurons,Neurons,Neurons,0.27967682,0,FALSE,2,5,FALSE,STMN2,STMN2,STMN2,185.5,2,0,FALSE,0,0.48488889,FALSE,0,STMN2,17234,0.50826446
93265,FALSE,3.19611111,4.87E-04,NA,NA,NA,0.31288024,0.1,FALSE,5,4,FALSE,EIF3F,EIF3F,EIF3F,164.8,5,0,FALSE,0,0.56077778,FALSE,0,EIF3F,168688,0.2319209
93266,FALSE,3.74366911,0,NA,NA,NA,0.26711762,0,FALSE,1,8,FALSE,ANKRD24,ANKRD24,ANKRD24,292,1,0,FALSE,0,0.72563309,FALSE,0,ANKRD24,0,0
93267,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,LAMTOR5,LAMTOR5,LAMTOR5,311,1,0,FALSE,0,0.47105556,FALSE,0,LAMTOR5,0,0
93268,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,MAGED2,MAGED2,MAGED2,311,1,0,FALSE,0,0.47105556,FALSE,0,MAGED2,0,0
93269,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,RSRC1,RSRC1,RSRC1,311,1,0,FALSE,0,0.47105556,FALSE,0,RSRC1,0,0
93270,FALSE,3.5325,8.96E-05,NA,NA,NA,0.28308563,0,FALSE,2,4,FALSE,LSM3,LSM3,LSM3,219.5,2,0,FALSE,0,0.4935,FALSE,0,LSM3,33344,0.52147971
93271,FALSE,,,,NA,,,,FALSE,,,,,BTBD10,BTBD10,,,,FALSE,,,FALSE,,BTBD10,,
93272,FALSE,3.58277778,2.24E-05,NA,NA,NA,0.27911304,0,FALSE,2,4,FALSE,TRDMT1,TRDMT1,TRDMT1,166.5,2,0,FALSE,0,0.48344444,FALSE,0,TRDMT1,3238,0.50457317
93273,FALSE,,,,Microglia,,,,FALSE,,,,,TRIB1,TRIB1,,,,FALSE,,,FALSE,,TRIB1,,
93274,FALSE,,,,NA,,,,FALSE,,,,,FAM120B,FAM120B,,,,FALSE,,,FALSE,,FAM120B,,
93275,FALSE,3.70793472,6.50E-05,NA,NA,NA,0.26969191,0,FALSE,2,8,FALSE,PSMD11,PSMD11,PSMD11,160.5,2,0,FALSE,0,0.72920653,FALSE,0,PSMD11,17612,0.51785714
93276,FALSE,3.66601013,1.75E-04,NA,NA,NA,0.27277611,0,FALSE,2,6,FALSE,MNAT1,MNAT1,MNAT1,168.5,2,0,FALSE,0,0.73339899,FALSE,0,MNAT1,29782,0.50451807
93277,FALSE,3.46638889,3.14E-04,NA,NA,NA,0.28848465,0,FALSE,2,4,FALSE,ARIH2,ARIH2,ARIH2,270.5,2,0,FALSE,0,0.50672222,FALSE,0,ARIH2,83586,0.51235741
93278,FALSE,,,,NA,,,,FALSE,,,,,HLA-DQA1,HLA-DQA1,,,,FALSE,,,FALSE,,HLA-DQA1,,
93279,FALSE,3.64603264,1.13E-04,NA,NA,NA,0.27427072,0,FALSE,2,7,FALSE,ZNF16,ZNF16,ZNF16,168.5,2,0,FALSE,0,0.73539674,FALSE,0,ZNF16,21796,0.50757576
