hgnc_symbol,uniprotswissprot
AHCYL1,O43865
AIG1,Q9NVV5
AMACR,Q9UHK6
ANGPTL4,Q9BY76
APOC1,P02654
AQP1,P29972
ATP11C,Q8NB49
BTNL9,Q6UXG8
C12orf76,Q8N812
C4A,P0C0L4
C9orf72,Q96LT7
CAPS2,Q9BXY5
CD74,P04233
CD81,P60033
CDC14B,O60729
CDK3,Q00526
CEBPB,P17676
CEBPD,P49716
CHI3L1,P36222
CHMP5,Q9NZZ3
CISD2,Q8N5K1
CLASP2,O75122
CNOT2,Q9NZN8
CPSF4,O95639
CRTC3,Q6UUV7
CTNND2,Q9UQB3
CTSH,P09668
DDR1,Q08345
DFNA5,O60443
DLD,P09622
DLG5,Q8TDM6
DOCK4,Q8N1I0
DTNA,Q9Y4J8
EEF1A1,P68104
ELAVL3,Q14576
EML3,Q32P44
FAM107A,O95990
FGF1,P05230
GFAP,P14136
HAUS2,Q9NVX0
IFITM2,Q01629
ITGB5,P18084
KCNIP4,Q6PIL6
KCTD20,Q7Z5Y7
KIAA1211,Q6ZU35
KIAA1841,Q6NSI8
LGALS3,P17931
LRP10,Q7Z4F1
MAOA,P21397
MAST4,O15021
MED13,Q9UHV7
MID1,O15344
MTFP1,Q9UDX5
MTMR1,Q13613
MTMR4,Q9NYA4
MXI1,P50539
NAP1L1,P55209
NDRG4,Q9ULP0
NIPBL,Q6KC79
NOG,Q13253
NQO1,P15559
OR2L13,Q8N349
ORC6,Q9Y5N6
PDDC1,Q8NB37
PNMA6A,P0CW24
PRKAA1,Q13131
PRUNE2,Q8WUY3
PTEN,P60484
PYROXD1,Q8WU10
RALGDS,Q12967
RCN1,Q15293
RGS1,Q08116
RWDD1,Q9H446
SCARB2,Q14108
SCN1A,P35498
SEC61A2,Q9H9S3
SERPINA3,P01011
SLC17A6,Q9P2U8
SLC1A3,P43003
SMARCC2,Q8TAQ2
SSBP2,P81877
STOM,P27105
TCF7L2,Q9NQB0
UBE2B,P63146
UBE2G2,P60604
UPF3A,Q9H1J1
VAT1,Q99536
ZNF285,Q96NJ3
SELENOI,Q9C0D9
PATJ,Q8NI35
HACD3,Q9P035
