1	2	3	4	5	6	7	8	9	10
DERL1	HCFC2	ABI1	ASXL2	CMTM6	STX16	SLC11A2	PPP3CA	CRY1	EFEMP1
 SMC5	 FAM65B	 TRIM5	 CYP2E1	 CXorf56	 IMPDH1	 PPP4R2	 TGOLN2	 HIPK1	 CHD1
 CPSF6	 HLA-B	 ADAMTS1	 LRCH3	 RAP1B	 SPEN	 MAP3K7	 JMJD1C	 ZFX	 RAB27A
 BTG1	 SAMM50	 AKR1C1	 CENPU	 STAG2	 SUN1	 MED14	 KCNAB1	 SLC26A2	 ZCCHC6
 HEATR3	 RANGRF	 CEP57	 HMGN4	 EEF1A1	 IFITM2	 PROSER1	 CLCN6		 KCTD12
 NBPF1	 PPP1R12B	 LPCAT4	 DENND4A	 KCNE4		 SF3A1	 PHYH		 PCNA
 LAPTM5	 ZBTB5	 PRDX4	 NSMAF	 LPL		 RSAD1	 MARK4		 CCDC90B
 BCLAF1	 ZCCHC10	 ICE1	 KATNBL1	 RAP1A		 RFX7	 DIDO1		 NBR1
 PAPOLA	 KLF6	 NDEL1	 PPP1R11	 THUMPD2		 EPS8	 UPF3B		 TMEM43
 CPSF7	 SSBP3	 ALMS1	 SEPT6	 EIF1B		 RIT1			 ZCCHC8
 OAT	 ABL1	 EIF3E	 ZFYVE26	 SORBS1		 SENP7			
 ZNF83	 CLIC4	 TPP1		 SOCS2		 MUS81			
 PRPF4B	 CRISPLD2	 SMAD5		 WSB1		 U2SURP			
 SLC41A3	 HNMT	 RBM5		 TMOD2		 WASF1			
 POT1	 SLC12A5	 RCN2		 RBM12					
 TBC1D2B	 PIGA	 RPS6KA2							
 NUP43	 SLC35A3	 CEP170B							
	 NEK4	 PHF3							
	 ANKRD10	 PNN							
	 PALLD	 MCMBP							
	 MAP4K5	 ANKRD27							
	 PSAP								
	 SNAPC3								
