"SUID","name","selected","shared name"
"4847","""PPP3CA""","false","""PPP3CA"""
"4721","""ZBTB10""","false","""ZBTB10"""
"4724","""EEF1A1""","false","""EEF1A1"""
"4853","""EIF3E""","false","""EIF3E"""
"4854","""ATP8B1""","false","""ATP8B1"""
"4855","""ALMS1""","false","""ALMS1"""
"4729","""DDX21""","false","""DDX21"""
"4730","""GIN1""","false","""GIN1"""
"4731","""CTSH""","false","""CTSH"""
"4732","""PPP4R2""","false","""PPP4R2"""
"4733","""MYOF""","false","""MYOF"""
"4735","""CTBP2""","false","""CTBP2"""
"4739","""ROCK1""","false","""ROCK1"""
"4874","""CDIPT""","false","""CDIPT"""
"4748","""TARDBP""","false","""TARDBP"""
"4751","""CPSF7""","false","""CPSF7"""
"4754","""PLSCR1""","false","""PLSCR1"""
"4885","""TCF12""","false","""TCF12"""
"4758","""UBXN7""","false","""UBXN7"""
"4761","""CLK4""","false","""CLK4"""
"4893","""CEP57""","false","""CEP57"""
"4767","""NEK1""","false","""NEK1"""
"4768","""RBM12""","false","""RBM12"""
"4771","""CDK12""","false","""CDK12"""
"4773","""PALLD""","false","""PALLD"""
"4902","""REL""","false","""REL"""
"4774","""CDH11""","false","""CDH11"""
"4778","""CCNL1""","false","""CCNL1"""
"4781","""SSFA2""","false","""SSFA2"""
"4784","""MON2""","false","""MON2"""
"4785","""CPOX""","false","""CPOX"""
"4788","""SAV1""","false","""SAV1"""
"4789","""SASH1""","false","""SASH1"""
"4919","""MAP4K3""","false","""MAP4K3"""
"4920","""LRRC14""","false","""LRRC14"""
"4793","""BTG1""","false","""BTG1"""
"4799","""SLC11A2""","false","""SLC11A2"""
"4802","""AUTS2""","false","""AUTS2"""
"4678","""SEPT8""","false","""SEPT8"""
"4807","""LRBA""","false","""LRBA"""
"4681","""SEC24A""","false","""SEC24A"""
"4685","""PHF3""","false","""PHF3"""
"4814","""CEP170B""","false","""CEP170B"""
"4816","""TMX1""","false","""TMX1"""
"4690","""SAMM50""","false","""SAMM50"""
"4691","""LAPTM5""","false","""LAPTM5"""
"4951","""TNFAIP3""","false","""TNFAIP3"""
"4952","""STAG2""","false","""STAG2"""
"4825","""AUH""","false","""AUH"""
"4958","""AASS""","false","""AASS"""
"4831","""DOLPP1""","false","""DOLPP1"""
"4832","""ANKRD28""","false","""ANKRD28"""
"4704","""GOLGA7""","false","""GOLGA7"""
"4705","""PRR11""","false","""PRR11"""
"4835","""WSB1""","false","""WSB1"""
"4709","""HCLS1""","false","""HCLS1"""
"4838","""ANKRD10""","false","""ANKRD10"""
"4714","""KIAA0141""","false","""KIAA0141"""
"4844","""TRIT1""","false","""TRIT1"""
"4718","""PRPSAP1""","false","""PRPSAP1"""
