"SUID","name","selected","shared name"
"4784","""MON2""","false","""MON2"""
"4848","""PPP1R12B""","false","""PPP1R12B"""
"4849","""PPFIA1""","false","""PPFIA1"""
"4788","""SAV1""","false","""SAV1"""
"4789","""SASH1""","false","""SASH1"""
"4726","""DRG1""","false","""DRG1"""
"4854","""ATP8B1""","false","""ATP8B1"""
"4727","""SRSF4""","false","""SRSF4"""
"4855","""ALMS1""","false","""ALMS1"""
"4857","""ALDOA""","false","""ALDOA"""
"4793","""BTG1""","false","""BTG1"""
"4729","""DDX21""","false","""DDX21"""
"4795","""IFRD1""","false","""IFRD1"""
"4859","""FLNC""","false","""FLNC"""
"4861","""AKR1C1""","false","""AKR1C1"""
"4733","""MYOF""","false","""MYOF"""
"4734","""HCFC2""","false","""HCFC2"""
"4802","""AUTS2""","false","""AUTS2"""
"4675","""SMARCA2""","false","""SMARCA2"""
"4806","""MFN1""","false","""MFN1"""
"4807","""LRBA""","false","""LRBA"""
"4936","""SLC26A2""","false","""SLC26A2"""
"4681","""SEC24A""","false","""SEC24A"""
"4748","""TARDBP""","false","""TARDBP"""
"4685","""PHF3""","false","""PHF3"""
"4878","""RPRD1A""","false","""RPRD1A"""
"4944","""HEXB""","false","""HEXB"""
"4816","""TMX1""","false","""TMX1"""
"4881","""ADNP""","false","""ADNP"""
"4689","""RPS6KA2""","false","""RPS6KA2"""
"4690","""SAMM50""","false","""SAMM50"""
"4953","""SETD2""","false","""SETD2"""
"4697","""NDEL1""","false","""NDEL1"""
"4827","""DHX29""","false","""DHX29"""
"4955","""PHKB""","false","""PHKB"""
"4891","""ENPP2""","false","""ENPP2"""
"4957","""CMTM6""","false","""CMTM6"""
"4831","""DOLPP1""","false","""DOLPP1"""
"4767","""NEK1""","false","""NEK1"""
"4832","""ANKRD28""","false","""ANKRD28"""
"4897","""PABPC1""","false","""PABPC1"""
"4705","""PRR11""","false","""PRR11"""
"4771","""CDK12""","false","""CDK12"""
"4899","""ADAM17""","false","""ADAM17"""
"4709","""HCLS1""","false","""HCLS1"""
"4902","""REL""","false","""REL"""
"4839","""ZNF573""","false","""ZNF573"""
"4714","""KIAA0141""","false","""KIAA0141"""
