"","p.adj","p.vec","reg.mat"
"AASS:DRG1",0,0,-0.894117647058823
"ABCA8:CEP170B",0,0,-0.861764705882353
"ABCA8:CLCN6",0,0,-0.876470588235294
"ABCA8:GNB5",0,0,-0.867647058823529
"ABCA8:MCMBP",0,0,0.861764705882353
"ABCA8:RAP1A",0,0,0.908823529411765
"ABCA8:RPH3A",0,0,-0.894117647058823
"ABCA8:SLC41A3",0,0,-0.861764705882353
"ABCA8:SSBP3",0,0,-0.861764705882353
"ABCA8:TRIM5",0,0,0.861764705882353
"ABI1:ARMC1",0,0,0.894117647058823
"ABI1:ICE1",0,0,0.873529411764706
"ADAM17:MARK4",0,0,-0.861764705882353
"ADNP:NCOA6",0,0,0.9
"ADNP:TARDBP",0,0,0.9
"ALDOA:COX5A",0,0,0.955882352941177
"ALDOA:HABP4",0,0,0.93235294117647
"ALDOA:MGST3",0,0,0.885294117647059
"ALDOA:OAT",0,0,0.941176470588235
"ALDOA:TCEAL1",0,0,0.952941176470588
"ALDOA:VDAC1",0,0,0.967647058823529
"ALMS1:ATP8B1",0,0,0.894117647058823
"ALMS1:PRR11",0,0,0.917647058823529
"ANKRD10:ATM",0,0,0.891176470588235
"ANKRD10:NAA50",0,0,0.905882352941176
"ANKRD10:NEK4",0,0,0.882352941176471
"ANKRD10:OGT",0,0,0.920588235294118
"ANKRD10:ZFC3H1",0,0,0.914705882352941
"ANKRD28:PIGA",0,0,0.861764705882353
"ANXA1:RAP1B",0,0,0.855882352941176
"ANXA1:SLC26A2",0,0,0.879411764705882
"ANXA1:TRIM5",0,0,0.867647058823529
"ARMC1:AUH",0,0,0.885294117647059
"ASXL2:MARK4",0,0,-0.852941176470588
"ASXL2:PPFIA1",0,0,0.897058823529412
"ASXL2:ROCK1",0,0,0.867647058823529
"ASXL2:SLC41A3",0,0,-0.873529411764706
"ASXL2:SORBS1",0,0,0.920588235294118
"ASXL2:SRSF10",0,0,0.852941176470588
"ASXL2:STX2",0,0,0.888235294117647
"ATM:CHD1",0,0,0.911764705882353
"ATM:CLK4",0,0,0.9
"ATM:STX16",0,0,0.894117647058823
"ATM:ZFC3H1",0,0,0.888235294117647
"ATP8B1:PRR11",0,0,0.944117647058823
"BCLAF1:ICE1",0,0,0.885294117647059
"BCLAF1:MAP4K3",0,0,0.891176470588235
"BNIP3:ZFYVE26",0,0,-0.891176470588235
"CALD1:IFRD1",0,0,0.873529411764706
"CALD1:KAT6A",0,0,0.885294117647059
"CALD1:LPP",0,0,0.897058823529412
"CALD1:MARK4",0,0,-0.905882352941176
"CALD1:SORBS1",0,0,0.894117647058823
"CALD1:STX2",0,0,0.858823529411765
"CBLB:ZCCHC8",0,0,0.855882352941176
"CCNL1:ATM",0,0,0.873529411764706
"CCNL1:CHD1",0,0,0.9
"CCNL1:CLK4",0,0,0.926470588235294
"CCNL1:DDX21",0,0,0.905882352941176
"CCNL1:JMJD1C",0,0,0.876470588235294
"CCNL1:PIGA",0,0,0.885294117647059
"CCNL1:PLSCR1",0,0,0.855882352941176
"CDH22:GNB5",0,0,0.873529411764706
"CDIPT:PHYH",0,0,0.867647058823529
"CDIPT:STX2",0,0,-0.879411764705882
"CDK12:STX16",0,0,0.852941176470588
"CEP170B:ALDOA",0,0,0.905882352941176
"CEP170B:CLCN6",0,0,0.944117647058823
"CEP170B:COX5A",0,0,0.879411764705882
"CEP170B:CYP2E1",0,0,0.870588235294118
"CEP170B:EIF1B",0,0,0.867647058823529
"CEP170B:ESRRG",0,0,0.858823529411765
"CEP170B:GDI1",0,0,0.95
"CEP170B:HABP4",0,0,0.958823529411765
"CEP170B:LPP",0,0,-0.873529411764706
"CEP170B:LRCH3",0,0,-0.858823529411765
"CEP170B:MCMBP",0,0,-0.935294117647059
"CEP170B:MGST3",0,0,0.858823529411765
"CEP170B:NDEL1",0,0,0.93235294117647
"CEP170B:OAT",0,0,0.897058823529412
"CEP170B:RPH3A",0,0,0.920588235294118
"CEP170B:SEPT6",0,0,0.938235294117647
"CEP170B:SLC12A5",0,0,0.926470588235294
"CEP170B:SMARCA2",0,0,0.879411764705882
"CEP170B:TCEAL1",0,0,0.873529411764706
"CEP170B:TSPYL5",0,0,0.923529411764706
"CEP170B:UCHL1",0,0,0.882352941176471
"CEP170B:VDAC1",0,0,0.888235294117647
"CHD1:ANKRD28",0,0,0.908823529411765
"CHD1:CLK4",0,0,0.964705882352941
"CHD1:PIGA",0,0,0.882352941176471
"CLCN6:ALDOA",0,0,0.885294117647059
"CLCN6:COX5A",0,0,0.867647058823529
"CLCN6:HABP4",0,0,0.914705882352941
"CLCN6:MGST3",0,0,0.852941176470588
"CLCN6:OAT",0,0,0.855882352941176
"CLCN6:VDAC1",0,0,0.861764705882353
"CLK4:ANKRD28",0,0,0.941176470588235
"CLK4:PIGA",0,0,0.867647058823529
"CMTM6:TNFAIP3",0,0,0.926470588235294
"COX5A:ATF7IP",0,0,-0.864705882352941
"COX5A:HABP4",0,0,0.923529411764706
"COX5A:MGST3",0,0,0.920588235294118
"COX5A:OAT",0,0,0.891176470588235
"COX5A:VDAC1",0,0,0.944117647058823
"CRY1:AMD1",0,0,0.902941176470588
"CTBP2:PLSCR1",0,0,0.879411764705882
"CTBP2:TRIM5",0,0,0.947058823529412
"CXorf56:SH3GLB1",0,0,-0.867647058823529
"CYP2E1:ALDOA",0,0,0.885294117647059
"CYP2E1:ESRRG",0,0,0.879411764705882
"CYP2E1:HABP4",0,0,0.947058823529412
"CYP2E1:OAT",0,0,0.9
"CYP2E1:PRR11",0,0,-0.855882352941176
"CYP2E1:TCEAL1",0,0,0.855882352941176
"CYP2E1:VDAC1",0,0,0.885294117647059
"DDX21:LPL",0,0,0.870588235294118
"DDX21:PIGA",0,0,0.888235294117647
"DENND4A:ABI1",0,0,0.861764705882353
"DENND4A:BCLAF1",0,0,0.870588235294118
"DENND4A:MAP4K3",0,0,0.929411764705882
"DHX29:ABI1",0,0,0.891176470588235
"DHX29:ICE1",0,0,0.879411764705882
"DHX29:MAP4K3",0,0,0.864705882352941
"DHX29:STRN3",0,0,0.894117647058823
"DRG1:CLCN6",0,0,0.885294117647059
"DRG1:GDI1",0,0,0.894117647058823
"DRG1:LPP",0,0,-0.858823529411765
"DRG1:MARK4",0,0,0.876470588235294
"DRG1:MGST3",0,0,0.911764705882353
"DRG1:RPH3A",0,0,0.879411764705882
"DRG1:STX16",0,0,-0.864705882352941
"DRG1:STX2",0,0,-0.873529411764706
"EEF1A1:PABPC1",0,0,0.861764705882353
"EIF1B:ALDOA",0,0,0.902941176470588
"EIF1B:AUH",0,0,0.888235294117647
"EIF1B:COX5A",0,0,0.9
"EIF1B:CYP2E1",0,0,0.867647058823529
"EIF1B:FLNC",0,0,-0.902941176470588
"EIF1B:HABP4",0,0,0.941176470588235
"EIF1B:KCNAB1",0,0,0.897058823529412
"EIF1B:OAT",0,0,0.923529411764706
"EIF1B:TCEAL1",0,0,0.902941176470588
"EIF1B:TSPYL5",0,0,0.858823529411765
"EIF1B:VDAC1",0,0,0.95
"EIF3E:AHR",0,0,0.876470588235294
"ENPP2:SEPT8",0,0,0.861764705882353
"EPS8:CEP170B",0,0,-0.852941176470588
"EPS8:CLCN6",0,0,-0.911764705882353
"EPS8:CMTM6",0,0,0.897058823529412
"EPS8:HLA-B",0,0,0.876470588235294
"EPS8:LPP",0,0,0.902941176470588
"EPS8:MYOF",0,0,0.879411764705882
"EPS8:RPH3A",0,0,-0.855882352941176
"EPS8:TMX1",0,0,0.852941176470588
"EPS8:TNFAIP3",0,0,0.902941176470588
"EPS8:UCHL1",0,0,-0.873529411764706
"ESRRG:CLCN6",0,0,0.897058823529412
"ESRRG:HABP4",0,0,0.891176470588235
"ESRRG:SMARCA2",0,0,0.861764705882353
"FAM129A:HCLS1",0,0,0.902941176470588
"FAM129A:LAPTM5",0,0,0.914705882352941
"FAM129A:LYN",0,0,0.958823529411765
"FAM129A:MYOF",0,0,0.888235294117647
"FAM129A:TNFAIP3",0,0,0.870588235294118
"FLNC:AUH",0,0,-0.905882352941176
"FLNC:RPRD1A",0,0,-0.885294117647059
"GDI1:ALDOA",0,0,0.920588235294118
"GDI1:CLCN6",0,0,0.938235294117647
"GDI1:COX5A",0,0,0.897058823529412
"GDI1:CYP2E1",0,0,0.879411764705882
"GDI1:ESRRG",0,0,0.852941176470588
"GDI1:HABP4",0,0,0.929411764705882
"GDI1:LPP",0,0,-0.888235294117647
"GDI1:MCMBP",0,0,-0.897058823529412
"GDI1:MGST3",0,0,0.879411764705882
"GDI1:OAT",0,0,0.855882352941176
"GDI1:SLC12A5",0,0,0.920588235294118
"GDI1:SMARCA2",0,0,0.879411764705882
"GDI1:TCEAL1",0,0,0.867647058823529
"GDI1:TSPYL5",0,0,0.920588235294118
"GDI1:UCHL1",0,0,0.876470588235294
"GDI1:VDAC1",0,0,0.873529411764706
"GIN1:ABI1",0,0,0.876470588235294
"GIN1:BCLAF1",0,0,0.855882352941176
"GIN1:DHX29",0,0,0.885294117647059
"GNB5:AASS",0,0,-0.852941176470588
"GNB5:ALDOA",0,0,0.873529411764706
"GNB5:CEP170B",0,0,0.894117647058823
"GNB5:CLCN6",0,0,0.902941176470588
"GNB5:COX5A",0,0,0.858823529411765
"GNB5:DRG1",0,0,0.93235294117647
"GNB5:GDI1",0,0,0.908823529411765
"GNB5:HABP4",0,0,0.855882352941176
"GNB5:MGST3",0,0,0.902941176470588
"GNB5:NDEL1",0,0,0.864705882352941
"GNB5:RAP1A",0,0,-0.95
"GNB5:RPH3A",0,0,0.914705882352941
"GNB5:SEPT6",0,0,0.905882352941176
"GNB5:SLC12A5",0,0,0.876470588235294
"GNB5:SLC41A3",0,0,0.873529411764706
"GNB5:SSBP3",0,0,0.885294117647059
"GSAP:ICE1",0,0,0.852941176470588
"GSAP:MFN1",0,0,0.873529411764706
"GSAP:PRPF4B",0,0,0.864705882352941
"HABP4:FLNC",0,0,-0.885294117647059
"HABP4:OAT",0,0,0.95
"HABP4:VDAC1",0,0,0.938235294117647
"HCLS1:LAPTM5",0,0,0.944117647058823
"HCLS1:LYN",0,0,0.879411764705882
"HIPK1:SRSF10",0,0,0.876470588235294
"HLA-B:CMTM6",0,0,0.902941176470588
"HLA-B:MYOF",0,0,0.923529411764706
"HLA-B:TNFAIP3",0,0,0.9
"HNRNPA2B1:ATM",0,0,0.852941176470588
"HNRNPA2B1:DOLPP1",0,0,-0.870588235294118
"HNRNPA2B1:IFRD1",0,0,0.858823529411765
"HNRNPA2B1:SRSF10",0,0,0.923529411764706
"HNRNPA2B1:STAG2",0,0,0.873529411764706
"ITPR2:CALD1",0,0,0.897058823529412
"ITPR2:DRG1",0,0,-0.879411764705882
"ITPR2:EPS8",0,0,0.861764705882353
"ITPR2:LIMA1",0,0,0.902941176470588
"ITPR2:LPP",0,0,0.938235294117647
"ITPR2:MARK4",0,0,-0.894117647058823
"ITPR2:SLC41A3",0,0,-0.855882352941176
"ITPR2:SORBS1",0,0,0.876470588235294
