GeneSymbol,GeneSymbol.1,INT
SREBF1,FBXW7,PPI
NEDD4L,RNF11,PPI
LAPTM5,NEDD4L,PPI
MEF2A,HDAC9,PPI
PBX2,BAIAP2,PPI
GRIN1,GRIN2A,PPI
SREBF2,FBXW7,PPI
CCNE1,FBXW7,PPI
SREBF1,FBXW7,PPI
WIPF1,CRKL,PPI
CCNE1,FBXW7,PPI
LAMP2,SNCA,PPI
UBC,TRIM36,PPI
THRAP1,FBXW7,PPI
THRAP1,QKI,PPI
DNM2,SHANK2,PPI
PRKN,SYN1,PPI
RACK1,FBXW7,PPI
UBC,GAP43,PPI
EBNA1BP2,FBXW7,PPI
MAPK8,HDAC9,PPI
UBC,EDEM2,PPI
PKN1,HOMER3,PPI
IXL,FBXW7,PPI
IXL,QKI,PPI
FBXW7,TP63,PPI
GRK5,BAZ1A,PPI
SYN1,SYN2,PPI
UBC,KANK2,PPI
NOS1AP,SYN1,PPI
GNAZ,RGS7,PPI
XRCC5,BAZ1A,PPI
MAPK9,HDAC9,PPI
ADAR,HDAC9,PPI
NCOR1,HDAC9,PPI
MEF2A,HDAC9,PPI
CBX5,HDAC9,PPI
NOS1,SYN1,PPI
HOMER1,HOMER3,PPI
SYN1,PIK3R1,PPI
SYN1,RASA1,PPI
UBC,GRM7,PPI
ATP6V1D,ATP6V0A1,PPI
UBC,TNS1,PPI
UBC,MKL1,PPI
UBC,LAMP2,PPI
FBXW7,KLF2,PPI
SSRP1,MKL1,PPI
UBC,NUDT11,PPI
UBC,ISYNA1,PPI
UBC,SEPT10,PPI
CFLAR,UBC,PPI
SNCA,SYN1,PPI
UBC,PTK2B,PPI
SEPT11,SEPT9,PPI
MAD2L1BP,SEPT11,PPI
SUCLG1,SEPT11,PPI
OXCT1,SEPT11,PPI
TST,SEPT11,PPI
TOMM40,SEPT11,PPI
OBFC2B,SEPT11,PPI
CFTR,SEPT11,PPI
SEPT11,SEC23IP,PPI
CFLAR,MAP3K14,PPI
SYNGR1,UBC,PPI
UBC,SEPT11,PPI
HSP90AA1,PTK2B,PPI
SUMO3,BAZ1A,PPI
RBFOX2,MED7,PPI
UBC,TSPYL2,PPI
UBC,ITPR2,PPI
UBC,NCDN,PPI
MBD2,PTK2B,PPI
PRKAB2,MAST3,PPI
KANK2,STAC,PPI
DLG4,PTK2B,PPI
KCNA2,PTK2B,PPI
BCAR1,PTK2B,PPI
ASAP2,PTK2B,PPI
RASA1,PTK2B,PPI
XRCC1,SEPT11,PPI
STIM1,SEPT11,PPI
SF1,SEPT11,PPI
MPST,SEPT11,PPI
SIN3A,SEPT11,PPI
VDAC2,SEPT11,PPI
NDUFS6,SEPT11,PPI
TCOF1,SEPT11,PPI
TMEM9,SEPT11,PPI
FSCN1,SEPT11,PPI
TMEM177,SEPT11,PPI
SMARCA2,SEPT11,PPI
VCAM1,SEPT11,PPI
SUMO3,TSPYL2,PPI
NCOR1,BAZ1A,PPI
SMARCAD1,BAZ1A,PPI
U2AF2,QKI,PPI
RBFOX2,U2AF2,PPI
MVP,MKL1,PPI
EIF3E,FBXW7,PPI
SUMO2,MKL1,PPI
EXOC8,TLN2,PPI
NUP93,TLN2,PPI
HDAC3,HDAC9,PPI
CENPH,TRIM36,PPI
XRCC6,CFLAR,PPI
PLXNB2,ARHGEF11,PPI
RNF138,QKI,PPI
RBFOX2,PSMA3,PPI
RHOC,CIT,PPI
FBXW7,MED20,PPI
SIN3B,GATAD1,PPI
MED14,FBXW7,PPI
HINT1,HDAC9,PPI
TUBB,LAMP2,PPI
CFLAR,SPATS1,PPI
SIN3B,SAP25,PPI
ERC2,UNC13A,PPI
CHRAC1,BAZ1A,PPI
PA2G4,ATP6V0A1,PPI
CUL3,RBFOX2,PPI
MAGEB4,KANK2,PPI
RNF2,FKBP11,PPI
PPP1CA,FRMPD4,PPI
EIF6,HDAC9,PPI
GFI1B,TSPYL2,PPI
PSMD3,TSPYL2,PPI
NRIP1,HDAC9,PPI
CSNK2A1,KANK2,PPI
NCOA2,KANK2,PPI
GRK5,KANK2,PPI
KANK2,NCOA3,PPI
NCOA1,KANK2,PPI
UBD,KANK2,PPI
NOS3,KANK2,PPI
FBXW7,MED16,PPI
KANK2,DCP1A,PPI
KANK2,CEP70,PPI
KANK2,GPSM1,PPI
LMO1,KANK2,PPI
EIF4E,KANK2,PPI
FHL2,KANK2,PPI
PTEN,GFRA2,PPI
PTEN,PTK2B,PPI
CFLAR,TNFSF10,PPI
QKI,MED16,PPI
DYNLL2,HOMER3,PPI
SNCA,ENC1,PPI
KANK2,VPS52,PPI
SHARPIN,SHANK2,PPI
ENC1,RBX1,PPI
SKP1,FBXW7,PPI
XRCC6,BAZ1A,PPI
VCP,NCDN,PPI
RBFOX2,VCP,PPI
JAG1,FBXW7,PPI
RAC1,CIT,PPI
PCNA,LAMP2,PPI
CFLAR,FASLG,PPI
MED22,FBXW7,PPI
RBBP4,BAZ1A,PPI
SMARCA2,BAZ1A,PPI
SUMO2,BAZ1A,PPI
LMO4,KANK2,PPI
SNAPIN,RGS7,PPI
MED14,QKI,PPI
CDK4,TSPYL2,PPI
LAMP2,HP1BP3,PPI
UCHL1,LAMP2,PPI
LAMP2,SF3B3,PPI
LAMP2,HNRNPU,PPI
MCM7,LAMP2,PPI
NPM1,LAMP2,PPI
LAMP2,RFC1,PPI
BCAS2,LAMP2,PPI
LAMP2,SAFB,PPI
LAMP2,EEF1AKMT3,PPI
LAMP2,HSPA8,PPI
LAMP2,TUBG1,PPI
APEH,LAMP2,PPI
LAMP2,PXK,PPI
SIN3B,SUDS3,PPI
EIF4A2,TRIM36,PPI
BSN,UNC13A,PPI
RYR1,HOMER3,PPI
APOD,CUL2,PPI
SHBG,APOD,PPI
RBFOX2,C1orf94,PPI
RBFOX2,HNRNPAB,PPI
APOA1,APOD,PPI
RBFOX2,RPA2,PPI
APOD,VAPA,PPI
FBXW7,CSF3R,PPI
APOD,STK24,PPI
APOD,MYZAP,PPI
MYCN,FBXW7,PPI
LAMP2,ATP6V1B1,PPI
ATP6V1B1,ATP6V0A1,PPI
TXLNA,KANK2,PPI
PTK2B,GIT1,PPI
AES,KANK2,PPI
MAP4K1,FBXW7,PPI
PSEN1,KANK2,PPI
KANK2,DCP1B,PPI
GOLGA2,KANK2,PPI
LMO2,KANK2,PPI
HOMER3,TRPC5,PPI
RBFOX2,NR2E3,PPI
GFRA2,GDNF,PPI
NOS1AP,LRP2,PPI
FBXW7,AURKB,PPI
PLP1,PTPRN,PPI
RBFOX2,RNF8,PPI
CFLAR,DEDD,PPI
RBFOX2,DAB1,PPI
CLIC1,ATP6V0A1,PPI
RBPMS,RBFOX2,PPI
XK,NLRC4,PPI
TEAD1,VGLL1,PPI
TEAD1,VGLL4,PPI
SNRPA,QKI,PPI
TEAD1,SOX2,PPI
MEF2C,TEAD1,PPI
SHANK2,DLGAP4,PPI
DLGAP1,SHANK2,PPI
DLGAP2,SHANK2,PPI
CTTN,SHANK2,PPI
HIST1H4L,HDAC9,PPI
MKI67,HDAC9,PPI
PSEN1,FBXW7,PPI
QKI,DAZ1,PPI
HDAC9,SMC3,PPI
DKFZp451O0517,FBXW7,PPI
RFXANK,HDAC9,PPI
SHANK2,MYO5A,PPI
DLG4,HTR2A,PPI
PTK2B,TLN1,PPI
CFLAR,TICAM1,PPI
DLG4,SHANK2,PPI
SIN3B,ZBTB4,PPI
RPS4X,PTRF,PPI
HSP90AA1,TRIM36,PPI
CFLAR,TP53,PPI
RBFOX2,RBM23,PPI
GRB7,TRIM36,PPI
ISYNA1,POT1,PPI
LAMP2,PRPF19,PPI
SF3A1,RBFOX2,PPI
MED12,FBXW7,PPI
HEY2,HDAC9,PPI
SRC,SYN1,PPI
UBE2D2,TRIM36,PPI
ZNF417,TRIM36,PPI
MED6,FBXW7,PPI
