"SUID","name","selected","shared name"
"167799","SREBF1","false","SREBF1"
"167800","FBXW7","false","FBXW7"
"167802","NEDD4L","false","NEDD4L"
"167803","RNF11","false","RNF11"
"167805","LAPTM5","false","LAPTM5"
"167807","MEF2A","false","MEF2A"
"167808","HDAC9","false","HDAC9"
"167810","PBX2","false","PBX2"
"167811","BAIAP2","false","BAIAP2"
"167813","GRIN1","false","GRIN1"
"167814","GRIN2A","false","GRIN2A"
"167816","SREBF2","false","SREBF2"
"167818","CCNE1","false","CCNE1"
"167821","WIPF1","false","WIPF1"
"167822","CRKL","false","CRKL"
"167825","LAMP2","false","LAMP2"
"167826","SNCA","false","SNCA"
"167828","UBC","false","UBC"
"167829","TRIM36","false","TRIM36"
"167831","THRAP1","false","THRAP1"
"167833","QKI","false","QKI"
"167835","DNM2","false","DNM2"
"167836","SHANK2","false","SHANK2"
"167838","PRKN","false","PRKN"
"167839","SYN1","false","SYN1"
"167841","RACK1","false","RACK1"
"167843","GAP43","false","GAP43"
"167845","EBNA1BP2","false","EBNA1BP2"
"167847","MAPK8","false","MAPK8"
"167849","EDEM2","false","EDEM2"
"167851","PKN1","false","PKN1"
"167852","HOMER3","false","HOMER3"
"167854","IXL","false","IXL"
"167857","TP63","false","TP63"
"167859","GRK5","false","GRK5"
"167860","BAZ1A","false","BAZ1A"
"167862","SYN2","false","SYN2"
"167864","KANK2","false","KANK2"
"167866","NOS1AP","false","NOS1AP"
"167868","GNAZ","false","GNAZ"
"167869","RGS7","false","RGS7"
"167871","XRCC5","false","XRCC5"
"167873","MAPK9","false","MAPK9"
"167875","ADAR","false","ADAR"
"167877","NCOR1","false","NCOR1"
"167880","CBX5","false","CBX5"
"167882","NOS1","false","NOS1"
"167884","HOMER1","false","HOMER1"
"167886","PIK3R1","false","PIK3R1"
"167888","RASA1","false","RASA1"
"167890","GRM7","false","GRM7"
"167892","ATP6V1D","false","ATP6V1D"
"167893","ATP6V0A1","false","ATP6V0A1"
"167895","TNS1","false","TNS1"
"167897","MKL1","false","MKL1"
"167900","KLF2","false","KLF2"
"167902","SSRP1","false","SSRP1"
"167904","NUDT11","false","NUDT11"
"167906","ISYNA1","false","ISYNA1"
"167908","SEPT10","false","SEPT10"
"167910","CFLAR","false","CFLAR"
"167913","PTK2B","false","PTK2B"
"167915","SEPT11","false","SEPT11"
"167916","SEPT9","false","SEPT9"
"167918","MAD2L1BP","false","MAD2L1BP"
"167920","SUCLG1","false","SUCLG1"
"167922","OXCT1","false","OXCT1"
"167924","TST","false","TST"
"167926","TOMM40","false","TOMM40"
"167928","OBFC2B","false","OBFC2B"
"167930","CFTR","false","CFTR"
"167932","SEC23IP","false","SEC23IP"
"167934","MAP3K14","false","MAP3K14"
"167936","SYNGR1","false","SYNGR1"
"167939","HSP90AA1","false","HSP90AA1"
"167941","SUMO3","false","SUMO3"
"167943","RBFOX2","false","RBFOX2"
"167944","MED7","false","MED7"
