"SrNo","V1","V2"
27,"P36956","Q969H0"
42,"Q96PU5","Q9Y3C5"
43,"Q13571","Q96PU5"
278,"Q02078","Q9UKV0"
355,"A0A024RCR3","Q9UQB8"
439,"Q05586","Q12879"
537,"A0A024R1Q0","Q969H0"
910,"P24864","Q969H0"
936,"P36956","Q969H0"
1002,"O43516","P46109"
1032,"P24864","Q969H0"
1045,"P13473","P37840"
1190,"P0CG48","Q9NQ86"
1763,"A0A024QZ75","Q969H0"
1822,"A0A024QZ75","Q96PU8"
1941,"P50570","Q9UPX8"
2343,"O60260","P17600"
2354,"E9KL35","Q969H0"
2375,"P0CG48","P17677"
2478,"Q6IB29","Q969H0"
2709,"P45983","Q9UKV0"
2764,"P0CG48","Q9BV94"
3056,"Q16512","Q9NSC5"
3073,"B4DUA7","Q969H0"
3086,"B4DUA7","Q96PU8"
3152,"Q969H0","Q9H3D4"
3319,"P34947","Q9NRL2"
3320,"P17600","Q92777"
3685,"P0CG48","Q63ZY3"
3737,"O75052","P17600"
3796,"P19086","P49802"
3883,"P13010","Q9NRL2"
3936,"P45984","Q9UKV0"
3943,"P55265","Q9UKV0"
3944,"O75376","Q9UKV0"
3945,"Q02078","Q9UKV0"
3946,"P45973","Q9UKV0"
4103,"B4DG68","P17600"
4130,"Q86YM7","Q9NSC5"
4597,"P17600","P27986"
4602,"P17600","P20936"
4625,"P0CG48","Q14831"
4914,"A0A024R683","Q93050"
5381,"P0CG48","Q9HBL0"
5428,"P0CG48","Q969V6"
5482,"P0CG48","P13473"
5502,"Q969H0","Q9Y5W3"
5587,"A0A024R4Z6","Q969V6"
5817,"P0CG48","Q96G61"
6221,"P0CG48","Q9NPH2"
6730,"P0CG48","Q9P0V9"
6914,"O15519","P0CG48"
7070,"H6UYS5","P17600"
7409,"P0CG48","Q14289"
7548,"Q9NVA2","Q9UHD8"
7550,"Q15013","Q9NVA2"
7551,"P53597","Q9NVA2"
7552,"P55809","Q9NVA2"
7553,"Q16762","Q9NVA2"
7554,"A0A024R0P9","Q9NVA2"
7555,"A0A024RB89","Q9NVA2"
7564,"A0A024R730","Q9NVA2"
7592,"Q9NVA2","Q9Y6Y8"
7748,"O15519","Q99558"
7754,"O43759","P0CG48"
7823,"P0CG48","Q9NVA2"
7897,"P07900","Q14289"
8271,"P55854","Q9NRL2"
8278,"O43251","O43513"
8293,"P0CG48","Q9H2G4"
8294,"P0CG48","Q14571"
8638,"P0CG48","Q9UBB6"
8668,"A0A024R2B8","Q14289"
9326,"O43741","O60307"
9943,"Q63ZY3","Q99469"
10040,"B7Z647","Q14289"
10103,"P16389","Q14289"
10113,"P56945","Q14289"
10115,"O43150","Q14289"
10157,"P20936","Q14289"
10196,"P18887","Q9NVA2"
10200,"Q13586","Q9NVA2"
10203,"Q15637","Q9NVA2"
10204,"P25325","Q9NVA2"
10205,"Q96ST3","Q9NVA2"
10209,"A0A024QZT0","Q9NVA2"
10210,"O75380","Q9NVA2"
10211,"Q13428","Q9NVA2"
10212,"A0A024R967","Q9NVA2"
10213,"Q16658","Q9NVA2"
10214,"Q53S58","Q9NVA2"
10215,"B1ALF6","Q9NVA2"
10424,"P19320","Q9NVA2"
10439,"P55854","Q9H2G4"
10753,"O75376","Q9NRL2"
10754,"Q9H4L7","Q9NRL2"
10801,"P26368","Q96PU8"
10802,"O43251","P26368"
11206,"Q14764","Q969V6"
11310,"P60228","Q969H0"
11332,"P61956","Q969V6"
11553,"Q8IYI6","Q9Y4G6"
11556,"Q8N1F7","Q9Y4G6"
11744,"O15379","Q9UKV0"
11955,"Q9H3R5","Q9NQ86"
12283,"A0A024R1N4","O15519"
12422,"O15031","O15085"
12836,"Q8WVD3","Q96PU8"
12983,"O43251","P25788"
13384,"A0A024R0I3","O14578"
13440,"Q969H0","Q9H944"
13492,"O75182","Q8WUU5"
13938,"O60244","Q969H0"
13982,"P49773","Q9UKV0"
14390,"P07437","P13473"
14650,"O15519","Q496A3"
15183,"O75182","Q8TEE9"
15882,"O15083","Q9UPW8"
16037,"Q9NRG0","Q9NRL2"
16070,"A0A024RB85","Q93050"
16178,"A0A024R475","O43251"
16333,"O15481","Q63ZY3"
16370,"Q99496","Q9NYL4"
16646,"P62136","Q14CM0"
16731,"P56537","Q9UKV0"
16890,"A0A024R8F3","Q9H2G4"
17022,"O43242","Q9H2G4"
17272,"P48552","Q9UKV0"
17446,"P68400","Q63ZY3"
17447,"Q15596","Q63ZY3"
17448,"P34947","Q63ZY3"
17450,"Q63ZY3","Q9Y6Q9"
17451,"Q15788","Q63ZY3"
17452,"O15205","Q63ZY3"
17459,"A0A0A0MTA6","Q63ZY3"
17644,"Q969H0","Q9Y2X0"
17866,"Q63ZY3","Q9NPI6"
18255,"Q63ZY3","Q8NHQ1"
18329,"Q63ZY3","Q86YR5"
18433,"P25800","Q63ZY3"
18441,"P06730","Q63ZY3"
18476,"A0A0A0MSG2","Q63ZY3"
18480,"F6KD01","O00451"
18483,"F6KD01","Q14289"
18554,"O15519","P50591"
18572,"Q96PU8","Q9Y2X0"
18605,"Q96FJ2","Q9NSC5"
18692,"H6UYS5","O14682"
18894,"Q63ZY3","Q8N1B4"
19004,"Q9H0F6","Q9UPX8"
19009,"O14682","P62877"
19793,"P63208","Q969H0"
20124,"A0A024R1N4","Q9NRL2"
20209,"P55072","Q9UBB6"
20221,"O43251","P55072"
20311,"P78504","Q969H0"
20399,"A4D2P0","O14578"
20660,"P12004","P13473"
20745,"O15519","P48023"
20819,"Q15528","Q969H0"
21088,"Q09028","Q9NRL2"
21099,"B1ALF6","Q9NRL2"
21100,"P61956","Q9NRL2"
21214,"P61968","Q63ZY3"
21416,"O95295","P49802"
21444,"O60244","Q96PU8"
