"Gene.symbol","Cell.type","SUID","name","selected","OG_Gene","ALSOD","DEG"
"ACD","Neurons",168642,"ACD","false",FALSE,FALSE,FALSE
"AES","Neurons",168205,"AES","false",FALSE,FALSE,FALSE
"AMPH","Neurons",169017,"AMPH","false",FALSE,FALSE,FALSE
"APOD","Oligodendrocytes",168175,"APOD","false",TRUE,FALSE,FALSE
"BSN","Neurons",168171,"BSN","false",FALSE,FALSE,FALSE
"CACNG2","Neurons",168690,"CACNG2","false",FALSE,FALSE,FALSE
"CACNG3","Neurons",168872,"CACNG3","false",TRUE,FALSE,FALSE
"CAMK1G","Neurons",168597,"CAMK1G","false",TRUE,FALSE,FALSE
"CAMK2A","Neurons",170009,"CAMK2A","false",FALSE,FALSE,FALSE
"CASP1","Microglia",168548,"CASP1","false",FALSE,FALSE,FALSE
"CDK5","Neurons",169338,"CDK5","false",FALSE,FALSE,FALSE
"CIT","Neurons",168026,"CIT","false",TRUE,FALSE,FALSE
"CLGN","Neurons",170453,"CLGN","false",FALSE,FALSE,FALSE
"CSF3R","Microglia",168190,"CSF3R","false",FALSE,FALSE,FALSE
"CYP2E1","Neurons",168900,"CYP2E1","false",FALSE,FALSE,TRUE
"DAB1","Neurons",168234,"DAB1","false",FALSE,FALSE,FALSE
"DCC","Neurons",168754,"DCC","false",FALSE,FALSE,FALSE
"DLG3","Neurons",169047,"DLG3","false",FALSE,FALSE,FALSE
"DLGAP1","Neurons",168256,"DLGAP1","false",FALSE,FALSE,FALSE
"DNM1","Neurons",168821,"DNM1","false",FALSE,FALSE,FALSE
"ELAVL2","Neurons",169617,"ELAVL2","false",FALSE,FALSE,FALSE
"ELAVL4","Neurons",169589,"ELAVL4","false",TRUE,FALSE,FALSE
"ENC1","Neurons",168104,"ENC1","false",TRUE,FALSE,FALSE
"ENTPD6","Neurons",170503,"ENTPD6","false",TRUE,FALSE,FALSE
"ERBB3","Oligodendrocytes",169465,"ERBB3","false",FALSE,FALSE,FALSE
"ERC2","Neurons",168043,"ERC2","false",FALSE,FALSE,FALSE
"ERG","Endothelial",169005,"ERG","false",FALSE,FALSE,FALSE
"EVL","Neurons",170098,"EVL","false",FALSE,FALSE,FALSE
"FAM133A","Neurons",170410,"FAM133A","false",FALSE,FALSE,FALSE
"FAS","Astrocytes",168430,"FAS","false",FALSE,FALSE,FALSE
"FAT1","Astrocytes",170036,"FAT1","false",FALSE,FALSE,FALSE
"FBXL2","Neurons",170126,"FBXL2","false",TRUE,FALSE,FALSE
"FRMPD4","Neurons",168058,"FRMPD4","false",TRUE,FALSE,FALSE
"FRYL","Oligodendrocytes",168525,"FRYL","false",FALSE,FALSE,FALSE
"GAP43","Neurons",167843,"GAP43","false",TRUE,FALSE,FALSE
"GFRA2","Neurons",168096,"GFRA2","false",TRUE,FALSE,FALSE
"GLMN","Neurons",168749,"GLMN","false",FALSE,FALSE,FALSE
"GNB5","Neurons",168933,"GNB5","false",FALSE,FALSE,TRUE
"GRIN1","Neurons",167813,"GRIN1","false",TRUE,FALSE,FALSE
