"hgnc_symbol","uniprotswissprot"
"ISYNA1","Q9NPH2"
"GRIN1","Q05586"
"CSRNP3","Q8WYN3"
"CYB5B","O43169"
"HTR2A","P28223"
"SEPT11","Q9NVA2"
"PCDH8","O95206"
"PHYHIP","Q92561"
"NUDT11","Q96G61"
"ENTPD6","O75354"
"EAF2","Q96CJ1"
"SLC6A12","P48065"
"LAMP2","P13473"
"CACNG3","O60359"
"DLGAP2","Q9P1A6"
"PTPRN","Q16849"
"GRM7","Q14831"
"GAP43","P17677"
"CHRD","Q9H2X0"
"BCL11B","Q9C0K0"
"TNS1","Q9HBL0"
"ZER1","Q7Z7L7"
"NCDN","Q9UBB6"
"GATM","P50440"
"EVI2B","P34910"
"CDC42","P60953"
"RBFOX2","O43251"
"CFLAR","O15519"
"LRIF1","Q5T3J3"
"NDE1","Q9NXR1"
"ARHGEF40","Q8TER5"
"FKBP11","Q9NYL4"
"HOPX","Q9BPY8"
"TSPYL2","Q9H2G4"
"GFRA2","O00451"
"CDH22","Q9UJ99"
"SLC8A2","Q9UPR5"
"EDEM2","Q9BV94"
"CAMK1G","Q96NX5"
"TRIM36","Q9NQ86"
"HOMER3","Q9NSC5"
"PTRF","Q6NZI2"
"SIN3B","O75182"
"TLN2","Q9Y4G6"
"NOL4","O94818"
"XK","P51811"
"MKL1","Q969V6"
"ATP6V0A1","Q93050"
"NOL12","Q9UGY1"
"PTK2B","Q14289"
"UBE2O","Q9C0C9"
"LDB2","O43679"
"HDAC9","Q9UKV0"
"CPM","P14384"
"SYT1","P21579"
"APOD","P05090"
"PAK3","O75914"
"QKI","Q96PU8"
"FBXW7","Q969H0"
"LRP12","Q9Y561"
"DPP6","P42658"
"CCDC177","Q9NQR7"
"NOS1AP","O75052"
"UNC13A","Q9UPW8"
"PLK2","Q9NYY3"
"SHANK2","Q9UPX8"
"BAZ1A","Q9NRL2"
"GABBR2","O75899"
"WIPF1","O43516"
"VCAN","P13611"
"TEAD1","P28347"
"PLXNB2","O15031"
"GPR22","Q99680"
"ENC1","O14682"
"ABCA8","O94911"
"SYN1","P17600"
"RGS7","P49802"
"FRMPD4","Q14CM0"
"FBXL2","Q9UKC9"
"C1orf115","Q9H7X2"
"SEPT10","Q9P0V9"
"SYP","P08247"
"CIT","O14578"
"ELAVL4","P26378"
"EGR3","Q06889"
"NT5DC3","Q86UY8"
"KANK2","Q63ZY3"
"VEZF1","Q14119"
"MAST3","O60307"
"SSBP3","Q9BWW4"
"BAIAP2","Q9UQB8"
"NPTXR","O95502"
"NEDD4L","Q96PU5"
"SYNGR1","O43759"
"LRRC17","Q8N6Y2"
"ITPR2","Q14571"
"OPCML","Q14982"
"ST6GALNAC5","Q9BVH7"
