"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OG_Gene","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"126658","false","3.66854249","3.9972E-4","NA","NA","NA","0.27258782","0.0","false","4","8","false","SDHAF2","SDHAF2","SDHAF2","101.5","4","0","false","0","0.73314575","false","0","SDHAF2","84602","0.26728723"
"126659","false","4.09229038","0.0","NA","NA","NA","0.24436194","0.0","false","1","8","false","UBR1","UBR1","UBR1","71.0","1","0","false","0","0.69077096","false","0","UBR1","0","0.0"
"126660","false",,,"NA","NA",,,,"false",,,,,"MGRN1","MGRN1",,,,"false",,,"false",,"MGRN1",,
"126661","false",,,,"NA",,,,"false",,,,,"MALT1","MALT1",,,,"false",,,"false",,"MALT1",,
"126662","false","3.73044457","1.2471E-4","NA","NA","NA","0.26806456","0.0","false","2","8","false","TFAP2C","TFAP2C","TFAP2C","156.5","2","0","false","0","0.72695554","false","0","TFAP2C","18192","0.50323625"
"126663","false","3.74366911","0.0","NA","NA","NA","0.26711762","0.0","false","1","8","false","KCNE3","KCNE3","KCNE3","292.0","1","0","false","0","0.72563309","false","0","KCNE3","0","0.0"
"126664","false",,,,"NA",,,,"false",,,,,"MPP5","MPP5",,,,"false",,,"false",,"MPP5",,
"126665","false",,,"NA","NA",,,,"false",,,,,"LDOC1","LDOC1",,,,"false",,,"false",,"LDOC1",,
"126666","false","4.2290377","0.0","NA","NA","NA","0.23646041","0.0","false","2","8","false","HOMEZ","HOMEZ","HOMEZ","28.0","2","0","false","1","0.67709623","false","0","HOMEZ","0","0.0"
"126667","false",,,,"NA",,,,"false",,,,,"FAM50B","FAM50B",,,,"false",,,"false",,"FAM50B",,
"126668","false","3.97439505","0.0","NA","NA","NA","0.25161062","0.0","false","2","6","false","TGFBR1","TGFBR1","TGFBR1","124.0","2","0","false","1","0.7025605","false","0","TGFBR1","0","0.0"
"126669","false","3.70793472","6.495E-5","NA","NA","NA","0.26969191","0.0","false","2","8","false","RNF10","RNF10","RNF10","160.5","2","0","false","0","0.72920653","false","0","RNF10","17612","0.51785714"
"126670","false",,,,"NA",,,,"false",,,,,"DLST","DLST",,,,"false",,,"false",,"DLST",,
"126671","false","3.64472222","0.0","Neurons","Neurons","Neurons","0.27436933","0.0","false","1","5","false","NREP","NREP","NREP","311.0","1","0","false","0","0.47105556","false","0","NREP","0","0.0"
"126672","false",,,,"NA",,,,"false",,,,,"VPS4B","VPS4B",,,,"false",,,"false",,"VPS4B",,
"126673","false","3.53095104","0.00114098","NA","NA","NA","0.28320982","0.0","false","4","7","false","DYNLL1","DYNLL1","DYNLL1","149.0","4","0","false","0","0.7469049","false","0","DYNLL1","160984","0.26523297"
"126674","false","3.73861111","0.0","NA","NA","NA","0.26747901","0.0","false","1","5","false","ABI2","ABI2","ABI2","64.0","1","0","false","0","0.45227778","false","0","ABI2","0","0.0"
"126675","false","3.81888889","0.0","NA","NA","NA","0.26185627","0.0","false","1","5","false","CLDN1","CLDN1","CLDN1","38.0","1","0","false","0","0.43622222","false","0","CLDN1","0","0.0"
"126676","false","3.64472222","0.0","NA","NA","NA","0.27436933","0.0","false","1","5","false","PAPSS1","PAPSS1","PAPSS1","311.0","1","0","false","0","0.47105556","false","0","PAPSS1","0","0.0"
"126677","false",,,,"NA",,,,"false",,,,,"EIF2B2","EIF2B2",,,,"false",,,"false",,"EIF2B2",,
"126678","false","4.08610017","0.0","NA","NA","NA","0.24473213","0.0","false","1","8","false","GATA1","GATA1","GATA1","55.0","1","0","false","0","0.69138998","false","0","GATA1","0","0.0"
"126679","false",,,,"NA",,,,"false",,,,,"C12orf76","C12orf76",,,,"true",,,"false",,"C12orf76",,
"126680","false","3.75773776","8.6109E-4","NA","NA","NA","0.26611756","0.0","false","4","6","false","FKBP5","FKBP5","FKBP5","120.33333333","4","0","false","1","0.72422622","false","0","FKBP5","106626","0.34095238"
"126681","false",,,,"NA",,,,"false",,,,,"HBS1L","HBS1L",,,,"false",,,"false",,"HBS1L",,
"126682","false","3.31694444","2.1227E-4","NA","NA","NA","0.30148229","0.0","false","3","4","false","SSR1","SSR1","SSR1","219.33333333","3","0","false","0","0.53661111","false","0","SSR1","87362","0.35910088"
"126683","false","3.70793472","6.495E-5","Microglia","Microglia","Microglia","0.26969191","0.0","false","2","8","false","SERPINB9","SERPINB9","SERPINB9","160.5","2","0","false","0","0.72920653","false","0","SERPINB9","17612","0.51785714"
"126684","false","3.70315138","4.3669E-4","NA","NA","NA","0.27004027","0.0","false","3","8","false","CCND1","CCND1","CCND1","91.66666667","3","0","false","0","0.72968486","false","0","CCND1","185102","0.33957553"
"126685","false",,,"NA","NA",,,,"false",,,,,"ROPN1","ROPN1",,,,"false",,,"false",,"ROPN1",,
"126686","false","3.64472222","0.0","NA","NA","NA","0.27436933","0.0","false","1","5","false","ORMDL3","ORMDL3","ORMDL3","311.0","1","0","false","0","0.47105556","false","0","ORMDL3","0","0.0"
"126687","false","3.22944444","3.98E-4","NA","NA","NA","0.30965078","0.0","false","3","4","false","HSPE1","HSPE1","HSPE1","232.66666667","3","0","false","0","0.55411111","false","0","HSPE1","120658","0.35751029"
"126688","false",,,,"NA",,,,"false",,,,,"COL16A1","COL16A1",,,,"false",,,"false",,"COL16A1",,
"126689","false",,,,"NA",,,,"false",,,,,"RAC3","RAC3",,,,"false",,,"false",,"RAC3",,
"126690","false","3.53194444","3.4E-6","NA","NA","NA","0.28313016","0.0","false","2","5","false","HMGA1","HMGA1","HMGA1","65.5","2","0","false","0","0.49361111","false","0","HMGA1","588","0.516"
"126691","false","4.01772651","2.5265E-4","NA","NA","NA","0.24889698","0.0","false","3","8","false","A2M","A2M","A2M","13.33333333","3","0","false","0","0.69822735","false","0","A2M","50232","0.34259259"
"126692","false","3.53388889","3.4109E-4","NA","NA","NA","0.28297438","0.0","false","2","5","false","ZBTB16","ZBTB16","ZBTB16","224.0","2","0","false","0","0.49322222","false","0","ZBTB16","50194","0.50681818"
